code ,park,ent06,ent07,absolute variation
DOM-BAN,baní,8,6,-2
DOM-BAR,barahona,2,2,0
DOM-BAY,bayaguana,1,1,0
DOM-VIS,bella vista,2,1,-1
DOM-BON,bonao,8,5,-3
DOM-CIP,caribbean ind. park,16,16,0
DOM-CIB,cibernético,2,5,3
DOM-COT,cotuí,1,1,0
DOM-CHE,chemtec,9,7,-2
DOM-DPE,don pedro,3,1,-2
DOM-DOS,dos rios,1,1,0
DOM-LIM,el limonal,3,3,0
DOM-SEI,el seibo,2,1,-1
DOM-ESP,esperanza,6,6,0
DOM-EXC,excel boca chica,4,3,-1
DOM-GLO,global,1,0,-1
DOM-GUR,gurabo,6,9,3
DOM-HAI,hainamosa,10,11,1
DOM-HAT,hato mayor,2,2,0
DOM-HAN,hato nuevo,2,3,1
DOM-HIG,higüey,0,0,0
DOM-CRI,itabo,35,35,0
DOM-JAI,jaibón,1,1,0
DOM-ARM,la armería,9,8,-1
DOM-CAN,la canela,0,0,0
DOM-HIS,la hispaniola,1,1,0
DOM-PAL,la palma,4,4,0
DOM-ROM,la romana i,9,7,-2
DOM-RII,la romana ii,4,4,0
DOM-VEG,la vega,27,24,-3
DOM-LAG,laguna prieta,1,1,0
DOM-LAS,las américas,22,23,1
DOM-ALC,los alcarrizos,14,14,0
DOM-MIN,losmina,2,1,-1
DOM-MOC,moca,9,6,-3
DOM-MOI,montecristi,0,0,0
DOM-MUT,multiparques,0,2,2
DOM-MUL,multimodal caucedo,2,2,0
DOM-NAV,navarrete,2,1,-1
DOM-NIG,nigua,12,11,-1
DOM-PAB,palmar abajo,1,1,0
DOM-PAM,palmarejo,5,6,1
DOM-PED,pedernales,1,1,0
DOM-PIS,pisano,34,34,0
DOM-PON,pontezuela,1,0,-1
DOM-PUE,puerto plata,8,7,-1
DOM-QUI,quisqueya,1,1,0
DOM-KEP,silver key park,1,0,-1
DOM-SAL,salcedo,2,2,0
DOM-FRA,san fco. de macorís,4,2,-2
DOM-ISI,san isidro,35,38,3
DOM-MAC,san pedro de macorís,42,40,-2
DOM-S12,santiago,74,68,-6
DOM-JAN,santiago - jánico,3,3,0
DOM-SLI,santiago - licey,7,7,0
DOM-TAM,tamboril,4,3,-1
DOM-ALT,villa altagracia,7,9,2
DOM-MEL,villa mella,5,2,-3
DOM-ZOF,zofinma (mao),1,0,-1
DOM-LUN,zona franca ind. luna,1,1,0
DOM-ZFE,zonas francas especiales,75,72,-3
