code ,park_04,ele04,tss04,inf04,wat04,com04
DOM-AZU,Azua,60000,35000,50000,0,35000
DOM-BAN,Baní,9353623.31,5952381.83,1168661.01,301136,1913874.03
DOM-BAR,Barahona,42455245.6,2887882.12,0,58860,1840320.55
DOM-BAY,Bayaguana,527539.35,255295.9,0,24000,261622.87
DOM-VIS,Bella Vista,145500,56400,0,90000,185000
DOM-BON,Bonao,10814822.07,5068724.17,606118.14,234589.08,1602793.17
DOM-CIP,Caribbean Ind. Park,87363210.07,7421156.14,4221563.57,3830485.58,13649317.18
DOM-CHE,Chemtec,11929849.17,1408059.15,365370.54,246924,1394311.58
DOM-CIB,Cibernético,0,0,0,0,0
DOM-COT,Cotuí,1468666,1235538,23802,36132,375912
DOM-DPE,Don Pedro,0,0,0,15000,60000
DOM-RAF,Don Rafael,0,0,0,0,0
DOM-ESP,Esperanza,40428423.28,11827736.77,3719079.72,1502703.85,2235950.78
DOM-EXC,Excel Boca Chica,1159680,527458,160057.47,9504,1205420
DOM-SEI,El Seibo,0,200000,85000,38450,95540
DOM-GLO,Global,0,0,29100,480000,372000
DOM-GUR,Gurabo,36051786.93,3136495.38,1408057.59,391412.56,5330115.02
DOM-HAI,Hainamosa,6239029.97,1762905.5,942991,229300,2510288.69
DOM-HAT,Hato Mayor,1033823,5143272,141385,37290,168289
DOM-HAN,Hato Nuevo,0,990426.23,368472,0,951456
DOM-HIG,Higüey,3369000,959000,182000,77000,406000
DOM-CRI,Itabo,276169513.3,19644115.67,10553964.55,4237565.02,40445759.79
DOM-JAI,Jaibón,900000,47576,67833.84,2700,256701.6
DOM-CAN,La Canela,0,188000,9518.51,0,0
DOM-PAL,La Palma,0,10000,0,1600,22000
DOM-ARM,La Armería,11063851.64,2319144.38,701344.07,343650,1630871.96
DOM-ROM,La Romana I,74764835.34,17815676.7,3405629.58,1184616.42,4027088.78
DOM-RII,La Romana II,33819992.38,3524698.92,1168742.04,455013,1576320.37
DOM-VEG,La Vega,62456738.43,16118619.59,3806124.69,1579188.62,8066854.47
DOM-LAG,Laguna Prieta,0,0,0,0,0
DOM-LAS,Las Américas,139655957,32545714.87,6526259,3096066.94,18415056.64
DOM-ALC,Los Alcarrizos,31941101.51,4234373.33,1253120.81,1017732,4507834.03
DOM-MIN,Los Mina,300000,31134.14,11677.8,0,84472.53
DOM-MOI,Montecristi,480000,73050.95,34136,48000,96000
DOM-MOC,Moca,36782141.58,6253512.68,2040067.26,820971.78,5421317.15
DOM-MUL,Multimodal Caucedo,382589.57,32500,332000,3521.56,3144743.46
DOM-NAV,Navarrete,5612278.31,3470640,586616.15,0,1044087.52
DOM-NIG,Nigua,26029161.91,2070366.9,1074832.3,456582.8,20879863.65
DOM-PAB,Palmar Abajo,0,0,0,0,0
DOM-PAM,Palmarejo,3836872.93,2455634.74,864067.44,0,1088923.16
DOM-PED,Pedernales,250361,65767,0,23192,83351
DOM-PEV,PEVISA,5266520,1090912,0,24256,479159
DOM-PIS,PISANO,46965030.16,6310733.08,13792609.54,3813733.08,8742694.21
DOM-PON,Pontezuela,0,162240,74648.96,0,0
DOM-PUE,Puerto Plata,14868005.65,3581763.78,791875.3,756115,3495653.66
DOM-QUI,Quisqueya,1119632.6,92963.06,186975.75,0,1827111.81
DOM-SAL,Salcedo,32140,165000,0,22164,340126
DOM-FRA,San Fco. de Macorís,4597762.1,1513103,872913,199660,802987.27
DOM-S12,Santiago,308988769.2,81698044.19,24149543.55,23892849.44,33352697.87
DOM-ISI,San Isidro,168897478.6,15039551.66,8347091.28,2365592.24,40913432.72
DOM-JAN,Santiago-Jánico,30313416,3798224,754210.42,956347,1659158.07
DOM-SLI,Santiago-Licey,7994044.26,831191,438906.89,167367.5,1613941
DOM-MAC,San Pedro de Macorís,168840272.3,29957206.33,8752216.53,1792134.44,20734780.03
DOM-TAM,Tamboril,7464937.92,695833.11,283577.59,292089.01,2384349.3
DOM-ALT,Villa Altagracia,9043136.54,3725000,635384,237188,2003650.38
DOM-MEL,Villa Mella,9187007.94,2849658.83,1500863.91,135455,2418371.44
DOM-LUN,Zona Franca Ind. Luna,0,137444.19,363593.65,12420,257639.2
DOM-ZOF,ZOFINMA (Mao),2400000,1683150,189731.16,36672,456000
DOM-ZFE,Zonas Francas Especiales,114718485.9,16204661.54,4151535.51,7121176.42,25334126.13
