code,park_07,ele07,tss07,inf07,wat07,com07
DOM-BAN,Baní,5868480.39,12644412.11,600845.44,353703.8,1879179.61
DOM-BAR,Barahona,40000000,10000000,600000,400000,700000
DOM-BAY,Bayaguana,86000,12000,0,0,15000
DOM-VIS,Bella Vista,146663382.3,24860776.08,1448370,7642081,4297577.79
DOM-BON,Bonao,13822918.11,12613973.54,571084.69,262747.91,992152.02
DOM-CIP,Caribbean Ind. Park,106637497.1,43130318.51,7510872.95,9876949.39,14166523.46
DOM-CHE,Chemtec,14349462.98,5514547.5,579777.27,244401.23,2545750.57
DOM-CIB,Cibernético,12222517.82,1060673.08,33644.72,0,680065.78
DOM-COT,Cotuí,1344448.8,1858074.08,59092.16,55920,203065
DOM-DPE,Don Pedro,0,0,0,0,0
DOM-DOS,Dos Rios,128144640,9285912.29,1148196,944179,3151994.17
DOM-LIM,El Limonal,0,1068882.06,147455.11,0,368812.75
DOM-SEI,El Seibo,612457,135016,10458,20245,165365.25
DOM-ESP,Esperanza,32366169.94,47197889.84,3934617.92,1555832.35,2138450.21
DOM-EXC,Excel Boca Chica,2048091,1186469.88,241752,68000,3239228.8
DOM-GUR,Gurabo,19780486.01,30275394.53,2750516.63,954563.18,7168606.93
DOM-HAI,Hainamosa,4742077.77,9867398.78,628093.65,313017.28,3298443.24
DOM-HAT,HatoMayor,1550157.69,5178699.49,269957.19,167537,951364.95
DOM-HAN,Hato Nuevo,155154.69,320032.51,30655.81,23301.6,508099.03
DOM-CRI,Itabo,348712686.5,125415337.4,64069530.79,6883000.37,51177281.17
DOM-JAI,Jaibón,0,350000,23000,12000,47000
DOM-ARM,La Armería,6545460.79,5735152.92,566717.5,341660,3265433.59
DOM-HIS,La Hispaniola,3254154.21,882409.67,48254.65,0,245254.36
DOM-PAL,La Palma,552220.44,2501557.57,94067.3,4800,485693.58
DOM-ROM,La Romana I,27082637.86,29683401.14,2499426.1,788032.45,2589712.94
DOM-RII,La Romana II,23672777.38,14539918.06,1127332.21,601015.8,6003856.2
DOM-VEG,La Vega,37044662.79,23892615.3,2169976.68,882786,6660364.34
DOM-LAG,Laguna Prieta,0,0,0,0,0
DOM-LAS,Las Américas,226515732.7,82758069.47,11418837.77,5390349.74,26473088.44
DOM-ALC,Los Alcarrizos,13412951.03,7169903.25,962618.42,936269,3178531.56
DOM-MIN,Los Mina,300025,40000,5000,9500,90900
DOM-MOC,Moca,20431567.78,7078101.48,711877.12,620213,1666301.56
DOM-MUL,Multimodal Caucedo,0,0,0,0,0
DOM-MUT,Multiparques,24000531,4455748,624874,53568,4765447
DOM-NAV,Navarrete,4609725.13,7451357.93,288897.66,59141.6,391405.44
DOM-NIG,Nigua,32203441.29,14666424.93,1122435.19,790876.5,3114229.16
DOM-PAB,Palmar Abajo,0,0,0,0,0
DOM-PAM,Palmarejo,5613195,7694138.54,1980443.18,555796.56,1501098.49
DOM-PED,Pedernales,823787.63,402857.74,121956.5,249547,261733.27
DOM-PIS,PISANO,65925107.98,34647947.79,4444121.98,4813419.12,12123035.85
DOM-PUE,Puerto Plata,11371193.78,20366645.86,913969.94,401389.02,1756401.01
DOM-QUI,Quisqueya,805363.73,852461.2,18491.48,0,607350.4
DOM-SAL,Salcedo,0,68170.35,0,2000,92910.81
DOM-FRA,San Fco. de Macorís,3714134.71,4880664.06,280707.02,131864.66,394075.88
DOM-ISI,San Isidro,146519634.5,94221029.94,10692956.55,2717371.32,66325717.37
DOM-MAC,San Pedro de Macorís,112400543.1,132387488.3,9183358.85,2290715,16454189.5
DOM-S12,Santiago,161897027.3,177824716.7,16283965.76,17583117.16,25846482.74
DOM-JAN,Santiago-Jánico,31935192.65,9462968.92,1135998.67,1471836,3663069.4
DOM-SLI,Santiago-Licey,3788948.8,1888681.38,146439.83,110292.36,1449649.33
DOM-TAM,Tamboril,7647898.55,1767131.69,15015,125577,737265.01
DOM-ALT,Villa Altagracia,1234774.4,1647202.68,93743.3,81919.6,1371434.34
DOM-MEL,VillaMella,3067631.8,323221.17,44156.88,39862,381924.69
DOM-LUN,Zona Franca Ind. Luna,0,325000,40000,9000,260000
DOM-ZFE,Zonas Francas Especiales,255728777.2,126626165.6,11226984.43,30175966.65,96304776.48
