code,park_19,tss_19,elec_2019,infotep_19,water_19,com_19
DOM-AND,Andrés,5657654.23,1966322.88,252129.69,154042.8,1734118.74
DOM-BAN,Baní,37546180.15,4780396.86,635581.2,491110.19,2250000.02
DOM-BAR,Barahona,1556578.13,102791238.9,1602742,144000.48,3747637.58
DOM-VIS,Bella Vista,105337304.5,305399199.7,5262989.18,20475243.27,7145427.2
DOM-BON,Bonao,8912452.38,3332202.71,793773,173065,1310535.33
DOM-CIP,Caribbean Industrial Park,213933432.6,89315767.95,8608710.32,9763126.96,21298167.98
DOM-CHE,Chemtec,41255261.47,30384647.93,3315292.36,710374.37,2677432.98
DOM-CIB,Cibernético,127805618.6,54779341.56,4814063.03,115871.81,31026043.65
DOM-CON,Conacado Industrial Park,76051.45,10160661.23,514197.08,256795.22,3986362.95
DOM-DOS,Dos Ríos,151833888.8,328800987.9,7102931,2518346.29,3680059.26
DOM-ECO,Ecopark Industrial Free Zone,24189099.24,27648425.71,554325.46,1867890.05,2057191.38
DOM-LIM,El Limonal,4433756.89,12501512.2,1430695.21,267756.61,2840547.29
DOM-SEI,El Seibo,4487664.26,600000,204000,21600,38693
DOM-ESP,Esperanza,110247674.3,39543451.15,7025187.44,2434146.67,15227156.75
DOM-EXC,Excel Boca Chica,11268582.9,11394000,700500,840000,4937000
DOM-GLO,Global Zona Franca Industrial,517723.21,521430,20801,0,270377
DOM-GUR,Gurabo,72291784.25,25201002.33,3048693.02,2014551.69,37636946.72
DOM-HAI,Hainamosa,24818988.89,2972960.42,1152760.68,991581.08,4341050.6
DOM-HAT,Hato Mayor,1662815.35,1013494.09,76196,29585,130511
DOM-HAN,Hato Nuevo,10968996.67,7144403.37,511450.02,3154,2904392.31
DOM-TAL,Intercontinental,5499172.92,1344864,267436,100000,203403.38
DOM-INT,Interexport Free Zone,12322872.14,6689939.3,555287.24,202815,2562063.53
DOM-ARM,La Armería,16707260.03,5093636.47,665209.54,657895,1382951.54
DOM-FLO,La Flor Dominicana,13028659.3,1939364.08,546238,245301.63,976892.62
DOM-HIP,La Herradura Industrial Park,405937.79,4788000,18197,123000,59800
DOM-HIS,La Hispaniola,2419736.65,13125465,110475,89254,435562.46
DOM-PAL,La Palma,32579754.4,4023272.7,1383277.83,176170,2344027.48
DOM-ROM,La Romana I,199115555.4,101461793.1,9444619.6,2517462,14967055.87
DOM-RII,La Romana II,152164454.7,92589511.77,5446235.2,1741199.68,8928232.27
DOM-VEG,La Vega,127817788.9,63028311.36,5643708.69,1441708.4,4980407.44
DOM-LAS,Las Américas,598231173.6,408222180.3,30717678.88,4834443.49,47515035.65
DOM-ALC,Los Alcarrizos,32927736.42,10493017.48,1303479,453229,1974809.47
DOM-CAD,Los Candelones,50540958.96,124281.86,9986,0,3004.81
DOM-RIE,Los Rieles,32467714.63,1532363.42,1127723,820000,3640000
DOM-MOC,Moca,41741369.79,36922179.33,2724329.38,667084.2,2973944.81
DOM-MUL,Multimodal Caucedo,110080445.3,1795884,199182.11,82045.1,585339.32
DOM-MUT,Multiparques,24780046.92,35601187.4,1038566.13,2288391.85,3883082.23
DOM-NAV,Navarrete,38394949.85,21642261.71,1586997.33,1036286.66,1976040.76
DOM-NIG,Nigua,88343954.28,44579570.91,3358221.4,1541203,8580088.73
DOM-NII,Nigua II,40305105.07,23846149.62,393693.57,298950.21,1626742.5
DOM-PAM,Palmarejo,36191830.81,12701093.85,1883850.45,128266.62,3630547.29
DOM-CDF,Parque Industrial CDF,18708294.91,2049236,826115,764052.3,977820
DOM-CTQ,Parque Industrial CTQ,10824963.06,1246035.68,533769.8,183770.4,373365.06
DOM-LEO,Parque Ind. Eduardo León Jiménes,83828796.43,2750175.65,183500.01,123142.46,194099.53
DOM-ELV,Parque Industrial Elva María,790518.13,13346.38,42861.98,415.71,4869.86
DOM-INE,Parque Industrial INETAB,51428854.65,32471000,668430.88,1949885,2350000
DOM-KGC,Parque Ind. KG Compañía Comercial,6067590.89,194718.75,273914,0,333300.55
DOM-YAQ,Parque Ind. y de Servicios Yaque,13921240.15,17595139.9,599843,4300010.4,877514.23
DOM-SLI,Parque Tecnológico de Santiago,13274803.06,7801574.38,669032.89,508044.58,903248.23
DOM-HER,Parque Z.F. Tecnológica de Herrera,112229.47,6300784.06,61889.66,15522.6,442483.83
DOM-PED,Pedernales,15616661.25,1592410,538864,0,201683
DOM-PER,PERLAV,43209643.91,52416848.05,2150448.86,2737282.97,10668985.13
DOM-PUE,Puerto Plata,31111542.29,13594840.42,1445052.67,673916.39,3057619.08
DOM-QUI,Quisqueya,0,6358616.5,957351,267622,619876.6
DOM-CRI,San Cristóbal (Itabo),898391894,825721586.6,45318236.63,13308600.36,116218692.2
DOM-FRA,San Francisco De Macorís,3203150.67,1114031.94,147770,99690,218756.14
DOM-ISI,San Isidro,468162626.8,342337969.2,106674780.2,3652351.87,55346662.95
DOM-MAC,San Pedro de Macorís,384515465.6,226470430.3,14982028.93,3379269.45,23488181.68
DOM-S12,Santiago,731162174.4,451991691.8,40030098.37,42208374.64,88761257.93
DOM-PIS,Santiago-Navarrete (PISANO),307832850.3,135084461.4,14778311.13,9544499.15,15433640.77
DOM-TAM,Tamboril,84980283.52,77947924.96,4522599.17,4557060.67,4325408.48
DOM-ALT,Villa Altagracia,14259957.83,7072325.55,667377.47,462740.86,1879744.03
DOM-MEL,Villa Mella,15495273.34,7455257.54,510378.62,162441,555363.72
DOM-6NO,Zona Franca 6 de Noviembre,1883168.95,1250000,11500,8500,19500
DOM-MAI,Zona Franca Bahía de Maimón,13324556.5,3782123.33,158331.58,131052.65,275194.1
DOM-HIT,Zona Franca Hit,83663433.02,0,0,0,0
DOM-NOR,Zona Franca Industrial del Norte,1670706.77,779017.68,429509.97,21780,246153.17
DOM-SUR,Zona Franca Industrial del Sur,569437.24,121775.75,48886.03,33150,0
DOM-EMI,Zona Franca Industrial Emimar,5045123.4,9453329.27,1647567.73,425004.52,1459378.79
DOM-VER,Zona Franca Industrial Luperon Verde,653583.28,85000,29113,1225,24385
DOM-RIO,Zona Franca Industrial Riosur,3737524.54,9000000,50000,8000,51680
DOM-SAG,Zona Franca Industrial SAG,6490971.05,1592498.9,280453.09,146828,839955.47
DOM-INF,Z.F. Ind. y de Servicios Norte Infiesto,751772.59,1265773,30648,57600,0
DOM-ZFE,Zona Franca Jobo Industrial,1516216.08,968220.82,72498,76655.2,303259
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
