code,year,ele,tss,inf,wat,com
DOM-6NO,0,0,0,0,0,0
DOM-6NO,1,0,0,0,0,0
DOM-6NO,3,0,0,0,0,0
DOM-6NO,4,0,0,0,0,0
DOM-6NO,5,0,0,0,0,0
DOM-6NO,6,0,0,0,0,0
DOM-6NO,7,0,0,0,0,0
DOM-6NO,8,0,0,0,0,0
DOM-6NO,9,0,0,0,0,0
DOM-6NO,10,0,0,0,0,0
DOM-6NO,11,0,0,0,0,0
DOM-6NO,12,0,0,0,0,0
DOM-6NO,14,0,0,0,0,0
DOM-6NO,15,0,0,0,0,0
DOM-6NO,16,6280.98,2104.8999,184.03999,162.55,359.26001
DOM-ALC,0,9812248,5638114,766893.44,464354,0
DOM-ALC,1,9991975,5522546,664740.88,303304.5,0
DOM-ALC,3,15851376,4545853,737730.25,449473.78,4158720.3
DOM-ALC,4,31941102,4234373.5,1253120.8,1017732,4507834
DOM-ALC,5,30035568,5501331,1407623.3,920207.19,4420023
DOM-ALC,6,27144132,5145038,1543898,877829,4708623
DOM-ALC,7,13412951,7169903,962618.44,936269,3178531.5
DOM-ALC,8,18897770,15433681,978345.31,1435004.4,5586756
DOM-ALC,9,14666398,14541633,1066418.4,1217425,5051923.5
DOM-ALC,10,9379610,18714116,871198.13,1261781.9,3955706.8
DOM-ALC,11,14013520,22596916,933492,1493500.5,3314118.5
DOM-ALC,12,10572679,23296070,980049,1192078.8,3355000.8
DOM-ALC,14,9756788,24852524,1022784.3,747952.06,3432905.3
DOM-ALC,15,12778331,28271408,1141928.4,1435953.4,4495590.5
DOM-ALC,16,11783.2,29103.43,1256.74,669.41998,3847.24
DOM-ALT,0,4272000,7560000,793343.19,72000,0
DOM-ALT,1,1175000,3806394,290000,139000,0
DOM-ALT,3,11150215,10935678,1017692.6,325540,2487089
DOM-ALT,4,9043137,3725000,635384,237188,2003650.4
DOM-ALT,5,6987870.5,2107920.5,408213.28,266100,2286140.8
DOM-ALT,6,4751696,1201401.9,381967.25,250468.59,2163662
DOM-ALT,7,1234774.4,1647202.6,93743.297,81919.602,1371434.4
DOM-ALT,8,318255.38,1941581.4,98723.578,114598,1877264.5
DOM-ALT,9,610390.38,1062869.5,118837.53,84833.602,1900434.9
DOM-ALT,10,1399795,5322537,219223,49118,1394800
DOM-ALT,11,1520517,7561303.5,356764,55852.5,1552829.9
DOM-ALT,12,1288332.8,7936020.5,387770.81,76099,1397401.3
DOM-ALT,14,1385432,7894656,186447.94,131185.34,543196.13
DOM-ALT,15,2953904,12614560,672375.31,215511.23,1074811
DOM-ALT,16,5659.7598,11903.82,550.26001,294.29999,1155.99
DOM-AND,0,0,0,0,0,0
DOM-AND,1,0,0,0,0,0
DOM-AND,3,0,0,0,0,0
DOM-AND,4,0,0,0,0,0
DOM-AND,5,0,0,0,0,0
DOM-AND,6,0,0,0,0,0
DOM-AND,7,0,0,0,0,0
DOM-AND,8,0,0,0,0,0
DOM-AND,9,1764000,2725541.5,0,156000,324000
DOM-AND,10,1430112,3396051.8,135976,0,1158574
DOM-AND,11,1270858,3452591.3,147725,70000,778647.56
DOM-AND,12,2316650,4182936.8,183133,97718,894234
DOM-AND,14,1890308,3818311,174472,131630,965470
DOM-AND,15,2710157.5,3607344.3,190443.41,62040,1151974.5
DOM-AND,16,1982.3199,4093.9399,215.33,201.45,1029.41
DOM-ARM,0,3561896,3980122.5,678543.19,86750,0
DOM-ARM,1,2419200,2921492.8,281005.91,81700,0
DOM-ARM,3,3817908.5,2976086.5,550258.5,37178,730369
DOM-ARM,4,11063852,2319144.5,701344.06,343650,1630872
DOM-ARM,5,8102430.5,2895184.5,460677.16,179433,1957018.5
