code,inv0,inv1,inv2,inv3,inv4,inv5,inv6,inv7,inv8,inv9,inv10,inv11,inv12,inv14,inv15,inv16
DOM-6NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890354
DOM-ALC,0,0,0,16110722.99,23755065.7,20419701.5,22705077.88,40192104.07,37723217.65,28511505.5,21776166.76,22307044.2,23142258.73,28846815.7,27461136.4,25518598.92
DOM-ALT,0,0,0,2.30E+07,23100000,18054631.52,6644269.47,11473401.61,13288869.47,10076670.56,7527225,5827436,5826800,5407289.4,5949306.9,11435533.57
DOM-AND,0,0,0,0,0,0,0,0,0,148803,150803,884314,746667,789922,803290,935650
DOM-ARM,0,0,0,7131271,8576310,9207504.27,11921351.15,16658481.31,16097596.35,7922821.33,8538776.22,7005128.7,7648324.93,2728910.8,5452953.6,7167910.28
DOM-BAN,0,0,0,8464186.23,11476981.97,11633110.54,11181251.34,10623336.78,30910851.47,28193395,10800470.35,11832510.3,10903773.99,4170565.5,5021427.1,7576911.08
DOM-BAR,0,0,0,18400000,1.30E+07,2.60E+07,25800000,3.30E+07,3.30E+07,5000000,8.00E+06,8000000,8.00E+06,14978000,14978000,17700000
DOM-BON,0,0,0,6515255.25,9978904.25,12456822.73,16068093.86,7902683.75,5229793.4,3090140.81,2710115,2502840,2674382,3326537,3198062,3087012.18
DOM-CAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM-CHE,0,0,0,11701944,12451195,12578026,11544005.88,13078586.88,11670132.56,9529543.84,9674380.13,12627628.3,22727726.14,10086381.8,13252725.1,11888282
DOM-CIB,0,0,0,850000,200022,447688.04,687068,4812539.37,27578537.13,26346861.1,28720043.69,23317650.2,8287450.3,14723507.1,13991905,14983445.16
DOM-CIP,0,0,0,41356877,87086690.8,67237667.9,80945068.95,106653235.4,94008689.99,97436928.19,98848558.18,74088828.3,90022192.1,81632133.9,86613144.4,75017908.83
DOM-CON,0,0,0,0,0,0,0,0,0,0,0,0,0,18200000,17036793.9,14670572.54
DOM-CRI,0,0,0,54751310,160500579.5,227382639.8,255296543.6,192590839.4,176024106.6,170061663.1,223399295.8,303716964.3,353293339.5,457875277.8,327128636.3,400875948.6
DOM-CTQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7972912.2,4417394.92
DOM-DOS,0,0,0,0,0,0,7.00E+07,7.00E+07,1.10E+08,110000000,1.10E+08,65161871.9,96729338.25,208986256,208986256,211987405
DOM-ECO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM-EMI,0,0,0,0,0,0,0,0,0,0,0,0,0,4030000,4030000,7121521.1
DOM-ESP,0,0,0,12821702.37,16494059.37,16458862.26,15128216.15,26105748.75,28691078,25574506,28160673,22456491.7,21562882,22563480,21882449,19795843.72
DOM-EXC,0,0,0,2429044,3270065.43,2866943.55,1955626.55,2329221.93,3069408,3108964,3323751.86,5980000,8.00E+06,7930600,8330000,8330000
DOM-FLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM-FRA,0,0,0,5152726.27,5617302.37,2347939.3,1990981.67,645107.69,596096.89,999000,131939.96,1053438.3,588095,344510.7,291266.4,3353902.07
DOM-GLO,0,0,0,8888888,7733334,4600000,4900000,0,0,0,0,0,187420,440900,428211,728733
