code,year,inv
DOM-6NO,0,0
DOM-6NO,1,0
DOM-6NO,2,0
DOM-6NO,3,0
DOM-6NO,4,0
DOM-6NO,5,0
DOM-6NO,6,0
DOM-6NO,7,0
DOM-6NO,8,0
DOM-6NO,9,0
DOM-6NO,10,0
DOM-6NO,11,0
DOM-6NO,12,0
DOM-6NO,14,0
DOM-6NO,15,0
DOM-6NO,16,1890354
DOM-ALC,0,0
DOM-ALC,1,0
DOM-ALC,2,0
DOM-ALC,3,16110723
DOM-ALC,4,23755066
DOM-ALC,5,20419702
DOM-ALC,6,22705078
DOM-ALC,7,40192104
DOM-ALC,8,37723216
DOM-ALC,9,28511506
DOM-ALC,10,21776166
DOM-ALC,11,22307044
DOM-ALC,12,23142258
DOM-ALC,14,28846816
DOM-ALC,15,27461136
DOM-ALC,16,25518598
DOM-ALT,0,0
DOM-ALT,1,0
DOM-ALT,2,0
DOM-ALT,3,23000000
DOM-ALT,4,23100000
DOM-ALT,5,18054632
DOM-ALT,6,6644269.5
DOM-ALT,7,11473402
DOM-ALT,8,13288869
DOM-ALT,9,10076671
DOM-ALT,10,7527225
DOM-ALT,11,5827436
DOM-ALT,12,5826800
DOM-ALT,14,5407289.5
DOM-ALT,15,5949307
DOM-ALT,16,11435534
DOM-AND,0,0
DOM-AND,1,0
DOM-AND,2,0
DOM-AND,3,0
DOM-AND,4,0
DOM-AND,5,0
DOM-AND,6,0
DOM-AND,7,0
DOM-AND,8,0
DOM-AND,9,148803
DOM-AND,10,150803
DOM-AND,11,884314
DOM-AND,12,746667
DOM-AND,14,789922
DOM-AND,15,803290
DOM-AND,16,935650
DOM-ARM,0,0
DOM-ARM,1,0
DOM-ARM,2,0
DOM-ARM,3,7131271
DOM-ARM,4,8576310
DOM-ARM,5,9207504
DOM-ARM,6,11921351
DOM-ARM,7,16658481
DOM-ARM,8,16097596
DOM-ARM,9,7922821.5
DOM-ARM,10,8538776
DOM-ARM,11,7005128.5
DOM-ARM,12,7648325
DOM-ARM,14,2728910.8
DOM-ARM,15,5452953.5
DOM-ARM,16,7167910.5
DOM-BAN,0,0
DOM-BAN,1,0
DOM-BAN,2,0
DOM-BAN,3,8464186
DOM-BAN,4,11476982
DOM-BAN,5,11633111
DOM-BAN,6,11181251
DOM-BAN,7,10623337
DOM-BAN,8,30910852
DOM-BAN,9,28193396
DOM-BAN,10,10800470
DOM-BAN,11,11832510
DOM-BAN,12,10903774
DOM-BAN,14,4170565.5
DOM-BAN,15,5021427
DOM-BAN,16,7576911
DOM-BAR,0,0
DOM-BAR,1,0
DOM-BAR,2,0
DOM-BAR,3,18400000
DOM-BAR,4,13000000
DOM-BAR,5,26000000
DOM-BAR,6,25800000
DOM-BAR,7,33000000
DOM-BAR,8,33000000
DOM-BAR,9,5000000
DOM-BAR,10,8000000
DOM-BAR,11,8000000
DOM-BAR,12,8000000
DOM-BAR,14,14978000
DOM-BAR,15,14978000
DOM-BAR,16,17700000
DOM-BON,0,0
DOM-BON,1,0
DOM-BON,2,0
DOM-BON,3,6515255
DOM-BON,4,9978904
