code,park,inv08
DOM-BAN,Baní,30910851.47
DOM-BAR,Barahona,33000000
DOM-VIS,Bella Vista,131602799.7
DOM-BON,Bonao,5229793.4
DOM-CIP,Caribbean Ind. Park,94008689.99
DOM-CHE,Chemtec,11670132.56
DOM-CIB,Cibernético,27578537.13
DOM-COT,Cotuí,350200
DOM-DOS,Dos Ríos,110000000
DOM-ESP,Esperanza,28691078
DOM-EXC,Excel Boca Chica,3069408
DOM-LIM,El Limonal,2848669.88
DOM-SEI,El Seibo,485000
DOM-GUR,Gurabo,12312060.73
DOM-HAI,Hainamosa,11086818.52
DOM-HAT,Hato Mayor,480000
DOM-HAN,Hato Nuevo,16168567.63
DOM-CRI,San Cristóbal (Itabo),176024106.6
DOM-ARM,La Armería,16097596.35
DOM-HIS,La Hisponiola,3679944.94
DOM-PAL,La Palma,5836575
DOM-ROM,La Romana I,142417240.5
DOM-RII,La Romana II,5014887.93
DOM-VEG,La Vega,29048057.92
DOM-LAS,Las Américas,368203479.7
DOM-ALC,Los Alcarrizos,37723217.65
DOM-MIN,LosMina,310000
DOM-MOC,Moca,12960052.24
DOM-MUL,Multimodal Caucedo,15925000
DOM-MUT,Multiparques,17400000
DOM-NAV,Navarrete,3300000
DOM-NIG,Nigua,64419418.85
DOM-PAB,Palmar Abajo,100000
DOM-PAM,Palmarejo,66846200.86
DOM-PED,Pedernales,2050000
DOM-PIS,PISANO,46345306.82
DOM-PUE,Puerto Plata,3893221.55
DOM-QUI,Quisqueya,3350000
DOM-SAL,Salcedo,1137281.22
DOM-FRA,San Fco. de Macorís,596096.89
DOM-ISI,San Isidro,133164130.9
DOM-MAC,San Pedro de Macorís,98933247.8
DOM-S12,Santiago,310274473.9
DOM-SLI,Santiago - Licey,8454945.33
DOM-JAN,Santiago - Jánico,285600
DOM-TAM,Tamboril,19152530.4
DOM-ALT,Villa Artagracia,13288869.47
DOM-MEL,Villa Mella,8685092.14
DOM-ZFE,Zonas Francas Especiales,476832894.9
