code ,park,inv14
DOM-AND,Andrés,733390.96
DOM-BAN,Baní,4495089.35
DOM-BAR,Barahona,10125453.56
DOM-VIS,Bella Vista,151900000
DOM-BON,Bonao,3091531.17
DOM-CIP,Caribbean Ind. Park,92176467.35
DOM-CHE,Chemtec,15744854.67
DOM-CIB,Cibernético,3113738.42
DOM-CON,Conacado Ind. Park,17850000
DOM-DOS,Dos Ríos,208986256
DOM-LIM,El Limonal,5396532.18
DOM-SEI,El Seibo,400000
DOM-ESP,Esperanza,13765140
DOM-EXC,Excel Boca Chica,6732500
DOM-GLO,Global Z ona Franca Industrial,402925
DOM-GUR,Gurabo,14981963.52
DOM-HAI,Hainamosa,14223911.22
DOM-HAT,Hato Mayor,1141975
DOM-HAN,Hato Nuevo,20061888.25
DOM-INT,Interexport Free Zone,15267843
DOM-ARM,La Armería,2234206.89
DOM-HIS,La Hispaniola,3545762.3
DOM-PAL,La Palma,4224751.57
DOM-ROM,La Ramona II,23976243.91
DOM-RII,La Romana I,130033620.4
DOM-VEG,La Vega,43884802.95
DOM-LAS,Las Américas,405978614.9
DOM-ALC,Los Alcarrizos,29017608.73
DOM-RIE,Los Rieles,5676067
DOM-ROB,Los Robles,16653346.41
DOM-MOC,Moca,9242927.02
DOM-MUL,Multimodal Caucedo,20842858.13
DOM-MUT,Multiparques,18405634
DOM-NAV,Navarrete,2969340
DOM-NIG,Nigua,68094863.96
DOM-PAB,Palmar Abajo,0
DOM-PAM,Palmarejo,34233001.47
DOM-YAQ,Parque Ind. y de Servicios Yaque,10877463.4
DOM-SLI,Parque Tecnológico de Santiago,9760616.35
DOM-HER,Parque Z.F. Ind. Tecnológica de Herrera,1553488.63
DOM-PED,Pedernales,11500000
DOM-PER,PERLAV,70975499.21
DOM-PIS,PISANO,55441461.3
DOM-PUE,Puerto Plata,8095878.26
DOM-QUI,Quisqueya,2119000
DOM-CRI,San Cristóbal (Itabo),393731783.8
DOM-FRA,San Francisco de Macorís,572061.16
DOM-ISI,San Isidro,193516526.9
DOM-MAC,San Pedro de Macorís,125926492.5
DOM-S12,Santiago,309542374.3
DOM-JAN,Santiago-Jánico,17103479.83
DOM-TAM,Tamboril,119387204.2
DOM-ALT,Villa Altagracia,3726034.41
DOM-MEL,Villa Mella,15267810.99
DOM-SAG,Zona Franca Ind. SAG,4000000
