code,park, inv02
 DOM-AZU,Azua,450000
 DOM-BAN,Baní,9491743
 DOM-BAR,Barahona,14750000
DOM-BAY,Bayaguana,90000
 DOM-BON,Bonao,8030856
 DOM-CIP,Caribbean Ind. Park,46506866.87
 DOM-CHE,Chemtec,10843940
 DOM-CIB,Cibernético,370000
DOM-COT,Cotui,707666
DOM-RAF,Don Rafael,2000000
 DOM-ESP,Esperanza,12978335.35
 DOM-EXC,Excel Boca Chica,2366666
 DOM-SEI,El Seibo,1000000
 DOM-GLO,Global,8388888
 DOM-GUR,Gurabo,6173123.44
 DOM-HAI,Hainamosa,6319385
 DOM-HAT,Hato Mayor,1351975
 DOM-HAN,Hato Nuevo,5500000
DOM-HIG,Higuey,1254400
 DOM-CRI,Itabo,167406327
DOM-JAI,Jaibón,1000000
 DOM-ARM,La Armería,10355021
 DOM-ROM,La Romana I,30360202
 DOM-RII,La Romana II,9024669.41
 DOM-VEG,La Vega,33358579.75
DOM-LAG,Laguna Prieta,1290526
 DOM-LAS,Las Américas,135824379.2
 DOM-ALC,Los Alcarrizos,14683246
DOM-MIN,Los Mina,2694942.2
DOM-LUN,Luna,1000000
 DOM-MOI,Montecristi,727777
 DOM-MOC,Moca,23064181.66
DOM-MUL,Multimodal Caucedo,1103830.66
 DOM-NAV,Navarrete,5604925
 DOM-NIG,Nigua,48719440
 DOM-PAB,Palmar Abajo,0
 DOM-PAM,Palmarejo,25313062
 DOM-PED,Pedernales,150000
 DOM-PIS,PISANO,31358261
DOM-PON,Pontezuela,1567020
 DOM-PUE,Puerto Plata,7908010
DOM-QUI,Quisqueya,800000
DOM-SAL,Salcedo,108000
 DOM-FRA,San Fco. de Macorís,5276529
 DOM-ISI,San Isidro,80359019.37
 DOM-MAC,San Pedro de Macorís,69008769.12
DOM-S12,Santiago I y II,224106287.1
DOM-SLI,Santiago - Licey,5266436
DOM-JAN,Santiago - Jánico,18042060
 DOM-TAM,Tamboril,1712597
 DOM-MEL,Villa Mella,9791777
 DOM-ALT,Villa Artagracia,4400000
DOM-ZOF,Zofinma (Mao),593364
DOM-ZFE,Zonas Francas Especiales,103819228.7
