code,park,inv09
DOM-AND,Andres,148803
DOM-BAN,Baní,28193395
DOM-BAR,Barahona,5000000
DOM-VIS,Bella Vista,131602799.7
DOM-BON,Bonao,3090140.81
DOM-CIP,Caribbean Ind. Park,97436928.19
DOM-CHE,Chemtec,9529543.84
DOM-CIB,Cibernético,26346861.1
DOM-COT,Cotuí,350200
DOM-DOS,Dos Ríos,110000000
DOM-ESP,Esperanza,25574506
DOM-EXC,Excel Boca Chica,3108964
DOM-LIM,El Limonal,3777074.21
DOM-SEI,El Seibo,100000
DOM-GUR,Gurabo,10867492.33
DOM-HAI,Hainamosa,12415013.52
DOM-HAN,Hato Nuevo,14974244.52
DOM-CRI,San Cristóbal (Itabo),170061663.1
DOM-ARM,La Armería,7922821.33
DOM-HIS,La Hisponiola,3679944.94
DOM-PAL,La Palma,2483896.54
DOM-ROM,La Romana I,149027694.1
DOM-RII,La Romana II,3984599.93
DOM-VEG,La Vega,31272807.25
DOM-LAS,Las Américas,410015315.9
DOM-ALC,Los Alcarrizos,28511505.5
DOM-MIN,LosMina,310000
DOM-MOC,Moca,12862324.05
DOM-MUL,Multimodal Caucedo,15815800
DOM-MUT,Multiparques,17900000
DOM-NAV,Navarrete,4050000
DOM-NIG,Nigua,65395527.47
DOM-PAB,Palmar Abajo,N/D
DOM-PAM,Palmarejo,75855965.24
DOM-PED,Pedernales,2050000
DOM-PIS,PISANO,34759834.05
DOM-PUE,Puerto Plata,4699014.8
DOM-SAL,Salcedo,1200000
DOM-FRA,San Fco. de Macorís,999000
DOM-ISI,San Isidro,127627579.5
DOM-MAC,San Pedro de Macorís,110444428.2
DOM-S12,Santiago,300025234.2
DOM-SLI,Parque Tecnológico de Santiago,8538773.87
DOM-JAN,Santiago - Jánico,4657734.25
DOM-TAM,Tamboril,25009980.96
DOM-ALT,Villa Artagracia,10076670.56
DOM-MEL,Villa Mella,11636577.68
DOM-ZFE,Zonas Francas Especiales,614755059.9
