parks, enterprise, employment, investmentUS$, divisasUS$
San Isidro,4,2415,21166315.79,15009528.80
Las Américas,2,2382,14733644.36,16795563.13
Dos Ríos,1,2216,41570631.00,39354939.95
Caribbean Industrial Park,5,717,4974705.77,10108908.34
Esperanza,2,710,1896680.55,4675688.91
La Vega,3,497,2237773.70,3347553.94
Baní,4,293,4017549.79,11588560.62
San Pedro De Macorís,2,281,1036230.30,1299908.34
Navarrete,4,280,4044229.29,1864105.71
Pisano,3,239,3433012.71,1627268.79
Villa Altagracia,2,223,1319109.95,1246217.41
Biodiversity Free Zone Industrial Park,1,214,51333261.33,5909348.78
Riosur,1,203,2763887.43,1738315.53
Bonao,1,184,1246365.82,912581.89
Zona Franca Industrial Gautier,1,150,2803822.37,1157573.00
Cotuí,1,119,587649.63,611930.38
La Armería,1,119,1393069.82,1018282.27
San Francisco De Macorís,1,112,247491.94,639935.81
Cibernético,1,99,580231.23,946883.78
Hispaniola Industrial Free Zone Park,2,91,7402175.53,1513304.36
Chemtec,1,77,786213.91,1046190.00
Multimodal Caucedo,3,73,14656919.82,3303122.10
San Cristóbal (Itabo),1,60,121555.00,1598989.00
Salcedo,1,59,535285.00,448624.19
Elva María,1,53,604467.24,530980.61
Interlogística Free Zone & Logistics Park,1,50,1131749.46,487884.20
Nigua,2,44,354709.01,331605.60
Zona Franca Jobo Industrial,1,43,258088.77,353184.55
Gurabo,2,42,690450.78,621591.84
Los Candelones,1,38,876883.31,299601.25
Hainamosa,1,35,1764400.00,787938.00
La Herradura,1,30,4195106.27,2194896.71
Punta Cana Free Zone,1,30,3004366.96,7821504.00
Andrés,1,24,571768.66,276534.44
Eduardo León Jiménez,2,20,701981.66,117965.59
PID Free Zone Park,1,19,424392.94,1380390.01
Villa Mella,1,18,351364.44,884669.73
Santiago,1,17,437045.49,489926.00
Zona Franca Industrial Del Sur,1,12,266209.75,210265.25
Ecopark Industrial Free Zone,1,11,516050.00,641800.00
ZFS. Distrito Nacional,14,5035,27939182.12,48833498.01
ZFS. Santiago,5,331,1922609.98,5037656.31
ZFS. Santo Domingo,1,184,446826.45,1258286.60
