id,shapeName,pop_density_2000,pop_density_2001,pop_density_2002,pop_density_2003,pop_density_2004,pop_density_2005,pop_density_2006,pop_density_2007,pop_density_2008,pop_density_2009,pop_density_2010,pop_density_2011,pop_density_2012,pop_density_2013,pop_density_2014,pop_density_2015,pop_density_2016,pop_density_2017,pop_density_2018,pop_density_2019,pop_density_2020,pop_density_2021,pop_density_2022
0,Santiago,314.0196932,317.1400771,320.1476462,323.3547564,326.3767799,329.4097324,331.7442914,334.0513518,336.463471,338.6954391,340.8530201,343.7844393,346.692238,349.7019224,352.536039,355.2985888,357.9740597,360.6248524,363.3764732,365.9581669,368.4700565,370.9093217,373.3239086
1,Duarte,173.4033077,174.4236459,175.3735945,176.4394057,177.406796,178.3866447,178.9354346,179.4680288,180.0610459,180.556265,181.0109945,181.5722428,182.119164,182.7202791,183.2292024,183.7019964,184.2221322,184.7310555,185.2879434,185.7594917,186.1980254,186.6153798,187.0252593
2,Elías Piña,43.94124246,44.04781938,44.13826953,44.2553639,44.34931987,44.44608049,44.43205721,44.41522928,44.41172346,44.3857804,44.34861871,44.38227458,44.41382695,44.45659795,44.47693171,44.48885149,44.48815033,44.48043753,44.49025382,44.47973636,44.45519562,44.3857804,44.31075585
3,Hato Mayor,64.6721182,64.71951192,64.74283264,64.80451971,64.83009727,64.86244537,64.73530983,64.60140376,64.48780928,64.34261899,64.17937395,64.2215017,64.26663858,64.32682108,64.35089409,64.36593971,64.4028015,64.43514959,64.487057,64.50661631,64.51714825,64.50586403,64.49307525
4,La Vega,165.1536349,166.1788881,167.1394344,168.2088456,169.1825082,170.1701614,170.7498994,171.3147724,171.9360452,172.4615694,172.9516798,173.7111103,174.4565503,175.2548924,175.9636068,176.6377818,177.2922824,177.9393505,178.6340743,179.2435424,179.8193456,180.334814,180.8393522
5,Sánchez Ramírez,123.9873592,124.4772725,124.915352,125.4395425,125.8876544,126.3516507,126.5029721,126.6375728,126.8164832,126.925167,127.0062619,127.0413751,127.06562,127.1258141,127.124142,127.095717,127.1065854,127.0990611,127.1341744,127.1082575,127.0580957,126.982853,126.9017582
6,Samaná,105.5625835,107.0642116,108.5342142,110.0639539,111.5304425,112.9887319,114.2642959,115.5340033,116.8388502,118.0792747,119.2939302,120.5753508,121.8450582,123.1522478,124.3950149,125.615527,126.7809872,127.9382482,129.1294774,130.2703399,131.3748917,132.4009652,133.4235247
7,Valverde,188.6055041,189.8953096,191.1049576,192.4457723,193.6687799,194.9136486,195.697005,196.4585003,197.285579,198.0094246,198.6846899,200.3825694,202.0695183,203.813549,205.4579902,207.0611382,208.5962739,210.122908,211.7054094,213.1883213,214.627511,216.0181204,217.3917268
8,Barahona,101.0860192,101.9162,102.710736,103.5702377,104.3705228,105.1759822,105.742276,106.3033955,106.8955605,107.4313836,107.9436351,108.0683922,108.1816509,108.3294047,108.4202417,108.4903816,108.5559222,108.6185882,108.7054008,108.7450701,108.7611678,108.7168991,108.6663064
9,La Romana,329.606239,334.6815506,339.6727579,344.8459362,349.814206,354.7610674,359.184953,363.5782552,368.0908326,372.4137931,376.6434743,380.8792721,385.0860158,389.4135637,393.5377322,397.5869715,401.484823,405.3582078,409.3371053,413.1294441,416.8468537,420.3593547,423.8473889
10,Monseñor Nouel,165.6667238,166.0576991,166.3841836,166.817481,167.1540423,167.5107569,167.4472738,167.3666603,167.3424762,167.2306251,167.0764518,167.984361,168.8811858,169.8273864,170.6869275,171.5132156,172.3515956,173.182922,174.0555628,174.8536362,175.6144258,176.3006479,176.9788087
11,Monte Cristi,56.59781225,56.73967833,56.85867955,57.01405669,57.13721516,57.26712916,57.25413776,57.23231221,57.22971393,57.19749526,57.15280484,57.57268688,57.98841167,58.42232442,58.82505781,59.21687843,59.56504794,59.90490295,60.2645049,60.59448645,60.91459454,61.18221737,61.44412399
12,Pedernales,10.02829557,10.51659894,11.02177361,11.51248717,11.99838036,12.46306392,13.02897524,13.59006618,14.16079787,14.72092474,15.27815939,15.44783638,15.61606725,15.78863646,15.9563853,16.11883174,16.27115539,16.42299702,16.57773086,16.72378804,16.86984522,17.00626166,17.13978588
13,Peravia,210.2558277,212.849444,215.3786932,218.029104,220.5646637,223.0863403,225.19531,227.2903967,229.4536367,231.4944531,233.4873096,235.139399,236.7813916,238.4902755,240.0779978,241.6152361,243.1562606,244.68214,246.2761728,247.7515682,249.1815279,250.5256648,251.8559186
14,Puerto Plata,165.5291705,166.6371634,167.682012,168.8353392,169.8909817,170.9622754,171.627179,172.27913,172.9839711,173.5970641,174.171299,174.8173134,175.448756,176.132549,176.727832,177.2885747,177.8196341,178.3361218,178.9038804,179.386907,179.8375519,180.2255923,180.6028388
15,San José de Ocoa,71.53846154,71.47533318,71.38414777,71.33504793,71.24970774,71.16904372,70.91302315,70.6523264,70.41501052,70.13794716,69.84568623,69.23661445,68.61935936,68.02431611,67.38718728,66.74772036,66.12695815,65.49801263,64.89478606,64.25064297,63.60182371,62.9331307,62.25040917
