id,shapeName,area
0,Santiago,2836.51
1,Duarte,1605.35
2,Elías Piña,1426.2
3,Hato Mayor,1329.29
4,La Vega,2287.24
5,Sánchez Ramírez,1196.13
6,Samaná,853.74
7,Valverde,823.38
8,Barahona,1739.38
9,La Romana,653.95
10,Monseñor Nouel,992.39
11,Monte Cristi,1924.35
12,Pedernales,2074.53
13,Peravia,792.33
14,Puerto Plata,1852.9
15,San José de ocoa,855.4
16,San Juan,3569.39
17,Santiago Rodríguez,1111.14
18,Distrito Nacional,104.44
19,El Seibo,1786.8
20,Espaillat,838.62
21,Hermanas Mirabal,440.43
22,Independencia,2006.44
23,Baoruco,1282.23
24,Azua,2531.77
25,Dajabón,1020.73
26,La Altagracia,3010.34
27,María Trinidad Sánchez,1271.71
28,Santo Domingo,1301.84
29,Monte Plata,2632.14
30,San Cristóbal,1265.77
31,San Pedro de Macorís,1255.46
