id,drop_m2020,drop_m2019,drop_m2018,drop_m2017,drop_m2016,drop_m2015,drop_m2014,drop_m2013,drop_m2012,drop_m2011,drop_m2010,scho_count2008,scho_count2009,scho_count2010,scho_count2011,scho_count2012,scho_count2013,scho_count2014,scho_count2015,scho_count2016,scho_count2017,scho_count2018,scho_count2019,scho_count2020,class2008,class2009,class2010,class2011,class2012,class2013,class2014,class2015,class2016,class2017,class2018,class2019,class2020,stu2008,stu2009,stu2010,stu2011,stu2012,stu2013,stu2014,stu2015,stu2016,stu2017,stu2018,stu2019,stu2020
0,7.4,2.5,3.7,3.9,5.1,5.4,5.6,5.8,5.6,5.4,5.0,935,958,972,978,991,1001,1014,967,954,944,932,920,854,11099,11522,12702,11394,13747,14041,14255,11079,10893,11066,10919,10587,9707,281842,267164,259497,256424,260695,268160,263982,259242,254548,252177,257874,251884,216162
1,6.9,4.6,7.9,8.3,7.6,8.0,7.2,7.1,6.5,6.9,6.4,425,422,425,425,433,432,429,410,402,407,403,393,381,4186,4143,4793,4226,5100,5467,5585,3948,3853,3894,3889,3767,3661,80409,77939,76064,75640,75409,74346,74417,72331,71172,70795,72958,71104,62030
2,5.5,2.3,4.4,6.8,6.6,8.5,6.7,5.9,4.4,3.9,4.4,149,142,143,142,143,142,140,138,140,138,139,144,143,989,991,1213,974,1321,1395,1381,946,972,971,984,1020,1005,19996,20937,21172,20980,20920,22104,22165,21650,22340,21615,22217,22096,19800
3,5.8,2.9,2.9,4.4,5.4,6.9,8.9,6.0,5.5,5.7,4.8,137,128,129,132,136,138,142,133,131,142,141,141,141,1188,1168,1401,1222,1516,1614,1833,1163,1144,1165,1178,1197,1151,24791,25872,26425,24891,26122,27498,28846,29487,28690,27377,27490,27120,24014
4,7.4,2.0,4.0,4.7,5.0,5.9,6.0,7.4,7.4,9.0,8.3,443,432,436,433,439,441,452,435,437,442,454,447,444,4537,4568,5477,4588,5773,6203,6160,4705,4660,4740,4820,4674,4527,110874,108695,105942,103982,105770,105728,105039,102894,101196,103914,105568,102551,92278
5,3.1,1.0,2.0,3.7,4.7,6.6,7.8,7.3,6.1,6.8,4.5,292,271,273,269,271,272,282,264,262,264,263,261,255,2705,2515,3007,2566,3168,3220,3331,2302,2276,2236,2231,2248,2147,47761,42734,41371,40896,41174,40799,40775,40368,40053,40681,42071,41751,37224
6,3.0,3.9,3.5,4.7,5.8,6.3,8.2,6.7,6.8,7.6,7.7,146,146,147,142,144,143,145,142,140,144,141,145,143,1440,1469,1647,1347,1711,1896,1816,1309,1253,1279,1300,1356,1313,30832,34131,29150,28502,29110,30251,31145,31018,30120,29264,29875,29589,27332
7,7.5,2.0,3.7,4.6,5.2,7.2,7.1,9.3,5.7,3.2,4.5,176,177,179,175,176,176,180,174,176,177,180,181,174,1940,2021,2391,2058,2534,2515,2691,1757,1698,1711,1697,1694,1626,46746,42416,40936,41540,42328,42402,41172,40284,39683,39300,40290,39924,34348
8,5.1,2.1,3.3,5.4,6.6,6.7,8.5,7.9,8.4,7.7,8.3,233,224,224,227,232,239,240,236,247,253,253,248,241,2535,2485,2826,2494,3078,3217,3421,2351,2408,2457,2405,2410,2406,60822,60370,60162,60700,60987,61728,62165,62550,63751,63402,62666,60328,55771
9,7.0,2.1,4.4,5.3,5.9,6.6,6.2,5.1,3.8,4.3,5.2,244,271,267,284,296,291,282,265,265,260,248,232,215,2892,3213,3547,3344,4040,4143,4019,3281,3312,3415,3363,3196,2920,71304,74565,73228,74136,77944,79999,81821,81503,80079,79876,81461,79533,67071
