,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Distrito Nacional,10486,10660,11449,10539,12230,12448,12218,10716,11158,11892,11797,11728,10452
Santo Domingo,27990,29156,32426,30132,35466,35661,35485,29474,29641,30518,30460,30192,26933
Espaillat,2730,2785,3251,2779,3421,3639,3732,2684,2610,2685,2680,2714,2624
Puerto Plata,4544,4730,5431,4687,5799,5959,5962,4614,4485,4475,4462,4447,4237
Santiago,11099,11522,12702,11394,13747,14041,14255,11079,10893,11066,10919,10587,9707
La Vega,4537,4568,5477,4588,5773,6203,6160,4705,4660,4740,4820,4674,4527
Sánchez Ramírez,2705,2515,3007,2566,3168,3220,3331,2302,2276,2236,2231,2248,2147
Monseñor Nouel,2347,2530,3009,2573,3151,3203,3366,2397,2384,2336,2264,2226,2122
Duarte,4186,4143,4793,4226,5100,5467,5585,3948,3853,3894,3889,3767,3661
María Trinidad Sánchez,2154,2163,2450,2153,2782,2926,2831,2002,1969,1921,1975,1980,1928
Hermanas Mirabal,1505,1494,1769,1513,1802,1791,2064,1362,1361,1363,1362,1297,1250
Samaná,1440,1469,1647,1347,1711,1896,1816,1309,1253,1279,1300,1356,1313
Dajabón,938,979,1124,980,1245,1327,1353,929,914,914,952,959,948
Monte Cristi,1354,1342,1545,1356,1730,1732,1877,1183,1179,1179,1186,1207,1205
Santiago Rodríguez,950,949,1100,949,1203,1225,1245,872,867,857,896,878,865
Valverde,1940,2021,2391,2058,2534,2515,2691,1757,1698,1711,1697,1694,1626
Azua,2590,2604,3061,2611,3167,3353,3456,2577,2554,2613,2625,2634,2604
Peravia,1773,1891,2227,1935,2406,2392,2474,2100,2095,2127,2081,2073,1919
San Cristóbal,7015,7620,9089,7738,9799,9492,10027,7490,7639,7618,7676,7623,7112
San José de Ocoa,830,966,1248,1001,1275,1287,1338,925,909,853,836,844,812
Baoruco,1383,1488,1676,1462,1858,1909,2076,1410,1407,1354,1429,1461,1453
Barahona,2535,2485,2826,2494,3078,3217,3421,2351,2408,2457,2405,2410,2406
Independencia,662,618,738,658,803,764,962,589,604,617,664,682,690
Pedernales,285,284,340,314,421,386,392,259,265,280,288,289,292
Elías Piña,989,991,1213,974,1321,1395,1381,946,972,971,984,1020,1005
San Juan,3335,3348,3958,3303,4364,4557,4298,3111,3181,3170,3203,3227,3236
El Seibo,1223,1360,1701,1344,1845,1983,1935,1271,1283,1316,1320,1310,1344
La Altagracia,2289,2415,2850,2649,3378,3485,3627,2924,3059,3160,3331,3457,3366
La Romana,2892,3213,3547,3344,4040,4143,4019,3281,3312,3415,3363,3196,2920
San Pedro de Macorís,3397,3629,4026,3584,4290,4375,4742,3639,3592,3609,3619,3583,3461
Monte Plata,2972,3016,3566,2905,3783,4071,3994,2972,2944,2987,2953,2932,2953
Hato Mayor,1188,1168,1401,1222,1516,1614,1833,1163,1144,1165,1178,1197,1151
