,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Distrito Nacional,234693,250370,242301,244904,253853,256011,254953,255827,255062,256302,263165,255560,210206
Santo Domingo,627191,651122,655566,661582,685307,711500,727718,729535,724894,726990,751025,743241,623832
Espaillat,61406,59939,57899,56621,56777,55849,55419,54802,53968,55348,56233,55180,49182
Puerto Plata,97259,90957,86866,85919,87281,88440,89646,87778,86200,84372,88079,86388,75835
Santiago,281842,267164,259497,256424,260695,268160,263982,259242,254548,252177,257874,251884,216162
La Vega,110874,108695,105942,103982,105770,105728,105039,102894,101196,103914,105568,102551,92278
Sánchez Ramírez,47761,42734,41371,40896,41174,40799,40775,40368,40053,40681,42071,41751,37224
Monseñor Nouel,55512,52680,50162,50142,51030,51344,50658,49313,48730,48257,49184,48510,42704
Duarte,80409,77939,76064,75640,75409,74346,74417,72331,71172,70795,72958,71104,62030
María Trinidad Sánchez,40882,37301,35987,35443,34923,35147,35875,35547,34824,33696,35383,35387,31604
Hermanas Mirabal,26478,25194,24005,23646,23332,22837,22594,22232,21898,21258,22125,21359,18738
Samaná,30832,34131,29150,28502,29110,30251,31145,31018,30120,29264,29875,29589,27332
Dajabón,19115,19041,18122,18053,18748,18855,19053,18507,18571,17667,18818,18665,16903
Monte Cristi,28827,27184,25041,25012,25544,25839,25503,25952,25499,25242,26291,26145,24222
Santiago Rodríguez,15994,14916,14249,13849,14022,13833,13896,13380,13368,13057,14129,13750,12380
Valverde,46746,42416,40936,41540,42328,42402,41172,40284,39683,39300,40290,39924,34348
Azua,63532,62351,63097,62378,62463,64558,66415,66771,66403,64666,65372,64200,58556
Peravia,51858,52538,50826,51921,52696,54250,54698,55337,55201,54154,55146,53647,46920
San Cristóbal,171656,186554,184466,188586,188777,194817,198856,198572,195588,194027,194011,192592,169134
San José de Ocoa,15436,16256,16413,15646,15614,15696,15454,15360,14591,14186,14545,14060,12513
Baoruco,31300,32549,31645,31853,32828,33965,33461,33962,33555,32820,33763,32476,29105
Barahona,60822,60370,60162,60700,60987,61728,62165,62550,63751,63402,62666,60328,55771
Independencia,14834,15516,16031,15715,15415,15830,17020,17434,17587,18152,19845,19539,16918
Pedernales,7177,6948,7045,7274,7533,7744,8430,8462,8555,8597,8531,8340,7867
Elías Piña,19996,20937,21172,20980,20920,22104,22165,21650,22340,21615,22217,22096,19800
San Juan,74775,72002,74076,72680,71806,72655,72946,71092,71072,68842,69617,68234,62176
El Seibo,25757,25691,24401,24244,24200,25555,25522,25696,25559,25373,25726,25150,23164
La Altagracia,60891,66808,64646,68876,75541,81540,85380,88899,92633,95268,100684,102115,86862
La Romana,71304,74565,73228,74136,77944,79999,81821,81503,80079,79876,81461,79533,67071
San Pedro de Macorís,90328,91142,92866,92553,94102,96909,96581,95428,93285,91801,93999,92640,80619
Monte Plata,60595,60207,56343,56856,58462,59874,61221,62042,60469,58221,59138,58060,53083
Hato Mayor,24791,25872,26425,24891,26122,27498,28846,29487,28690,27377,27490,27120,24014
