asdf_id,oco2_v10r_xco2_yearly.2015.mean,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2020.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,399.5796309,402.9791059,406.5375051,408.1421585,410.5890109,413.0710082,ADM1,0,0,DOM,DOM-ADM1-4615305B20080102,DO-25,Santiago,ADM1
1,399.6089139,404.1141226,406.1005766,407.2068718,410.9357988,412.2018156,ADM1,1,1,DOM,DOM-ADM1-4615305B6356787,DO-06,Duarte,ADM1
2,400.2313317,402.2039264,405.1169585,407.5789505,412.1608159,412.7684295,ADM1,2,2,DOM,DOM-ADM1-4615305B31488483,DO-07,Elías Piña,ADM1
3,400.6438593,404.0617837,407.0861915,409.63268,411.9314239,413.6654479,ADM1,3,3,DOM,DOM-ADM1-4615305B72510429,DO-30,Hato Mayor,ADM1
4,400.4769825,403.3035124,405.9341092,407.5203226,410.2640398,413.2500192,ADM1,4,4,DOM,DOM-ADM1-4615305B24860958,DO-13,La Vega,ADM1
5,400.4881613,404.8213313,407.1982799,407.5448655,411.2588858,411.7635913,ADM1,5,5,DOM,DOM-ADM1-4615305B47159676,DO-24,Sánchez Ramírez,ADM1
6,399.9409053,404.7499451,406.7562948,408.3979297,411.4453521,412.8300235,ADM1,6,6,DOM,DOM-ADM1-4615305B90191036,DO-20,Samaná,ADM1
7,398.6932631,403.7898187,407.1206566,409.1820381,411.641277,413.1091969,ADM1,7,7,DOM,DOM-ADM1-4615305B17340173,DO-27,Valverde,ADM1
8,401.80139,402.7878092,405.4260824,408.2441132,411.1205811,412.2644711,ADM1,8,8,DOM,DOM-ADM1-4615305B21667931,DO-04,Barahona,ADM1
9,399.7789526,404.6217586,406.3754942,408.7490128,410.0195876,414.2148249,ADM1,9,9,DOM,DOM-ADM1-4615305B97931442,DO-12,La Romana,ADM1
10,401.5483767,403.9732632,407.363769,407.599996,410.9040822,412.4974773,ADM1,10,10,DOM,DOM-ADM1-4615305B93141447,DO-28,Monseñor Nouel,ADM1
11,399.5515451,403.1779234,405.8444423,408.0355954,411.2460731,412.078524,ADM1,11,11,DOM,DOM-ADM1-4615305B58029258,DO-15,Monte Cristi,ADM1
12,402.8652401,403.1606766,405.8860684,407.32659,410.7576103,411.7614419,ADM1,12,12,DOM,DOM-ADM1-4615305B97890631,DO-16,Pedernales,ADM1
13,402.3381276,403.4910544,405.8375461,407.922056,412.4363826,413.5229948,ADM1,13,13,DOM,DOM-ADM1-4615305B97705953,DO-17,Peravia,ADM1
14,400.2995962,403.910265,405.8841484,407.8060043,410.8365541,413.4272504,ADM1,14,14,DOM,DOM-ADM1-4615305B21660189,DO-18,Puerto Plata,ADM1
15,400.8374081,403.0510367,406.2553109,406.2963087,411.2582899,413.5913624,ADM1,15,15,DOM,DOM-ADM1-4615305B99755788,DO-31,San José de Ocoa,ADM1
16,400.1404367,402.5393392,405.9209533,408.5535586,411.0492942,412.2804623,ADM1,16,16,DOM,DOM-ADM1-4615305B25601215,DO-22,San Juan,ADM1
17,399.7003319,402.7378888,406.2699996,408.2186544,410.756327,412.4260124,ADM1,17,17,DOM,DOM-ADM1-4615305B72382162,DO-26,Santiago Rodríguez,ADM1
18,399.092694,402.5527303,405.8216425,409.3489774,410.7051546,412.1104033,ADM1,18,18,DOM,DOM-ADM1-4615305B44377477,DO-01,Distrito Nacional,ADM1
19,399.0617377,403.4738594,406.809537,408.1978419,410.4156778,413.8849689,ADM1,19,19,DOM,DOM-ADM1-4615305B34403945,DO-08,El Seibo,ADM1
20,400.0751458,404.0226976,405.5395534,406.5022045,410.4763094,413.1989848,ADM1,20,20,DOM,DOM-ADM1-4615305B8300711,DO-09,Espaillat,ADM1
21,400.1148987,404.3712906,405.5856446,406.635405,410.430732,413.2302031,ADM1,21,21,DOM,DOM-ADM1-4615305B61878568,DO-19,Hermanas Mirabal,ADM1
22,402.0776541,403.417134,405.1350854,407.5083332,411.5477519,411.6182715,ADM1,22,22,DOM,DOM-ADM1-4615305B73620585,DO-10,Independencia,ADM1
23,401.1354187,402.7222406,405.5990091,408.2337822,411.7668128,411.1455101,ADM1,23,23,DOM,DOM-ADM1-4615305B81528587,DO-03,Baoruco,ADM1
