asdf_id,surface_pm25_annual_v5gl03.1998.mean,surface_pm25_annual_v5gl03.1999.mean,surface_pm25_annual_v5gl03.2000.mean,surface_pm25_annual_v5gl03.2001.mean,surface_pm25_annual_v5gl03.2002.mean,surface_pm25_annual_v5gl03.2003.mean,surface_pm25_annual_v5gl03.2004.mean,surface_pm25_annual_v5gl03.2005.mean,surface_pm25_annual_v5gl03.2006.mean,surface_pm25_annual_v5gl03.2007.mean,surface_pm25_annual_v5gl03.2008.mean,surface_pm25_annual_v5gl03.2009.mean,surface_pm25_annual_v5gl03.2010.mean,surface_pm25_annual_v5gl03.2011.mean,surface_pm25_annual_v5gl03.2012.mean,surface_pm25_annual_v5gl03.2013.mean,surface_pm25_annual_v5gl03.2014.mean,surface_pm25_annual_v5gl03.2015.mean,surface_pm25_annual_v5gl03.2016.mean,surface_pm25_annual_v5gl03.2017.mean,surface_pm25_annual_v5gl03.2018.mean,surface_pm25_annual_v5gl03.2019.mean,surface_pm25_annual_v5gl03.2020.mean,surface_pm25_annual_v5gl03.2021.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,10.9008956,10.36846422,10.92152765,13.15513359,12.81316008,14.02391911,11.20423288,14.87615596,12.35119805,13.05310206,11.45909522,10.89625504,13.30171369,12.30011899,12.05915929,11.76809314,12.52681012,12.55749321,13.09512286,14.22483429,13.30863676,11.90440755,12.72908743,13.03008274,ADM1,0,0,DOM,DOM-ADM1-4615305B20080102,DO-25,Santiago,ADM1
1,10.27617696,9.674494365,12.44708595,13.31495406,12.53435357,12.77961844,9.91798741,11.94665838,11.21358935,11.91917786,9.486701928,9.308724679,11.23592909,9.345884237,9.70452575,9.881621501,10.54714859,10.81550973,11.08990817,11.94445756,11.66434718,11.21996894,10.23206748,11.18553083,ADM1,1,1,DOM,DOM-ADM1-4615305B6356787,DO-06,Duarte,ADM1
2,10.20396856,10.07690468,10.96333914,12.34318566,12.92709935,14.40903285,11.97810828,15.16684208,12.90735355,13.077817,12.46567444,12.02940917,14.43982435,13.58298891,13.3979216,13.36684444,13.69623997,13.80622399,13.68236489,14.59272393,13.8004187,12.45162389,14.42007549,14.13688632,ADM1,2,2,DOM,DOM-ADM1-4615305B31488483,DO-07,Elías Piña,ADM1
3,8.838685813,8.931569675,10.13709718,11.21566576,10.79016399,11.03122487,8.727137666,10.27289869,10.15166141,10.70631184,8.456073665,8.35156043,9.867761384,8.122012156,8.85135857,8.646620616,9.399163899,9.79437995,9.92508891,10.53820854,10.49118181,10.21639905,9.462742202,10.15270795,ADM1,3,3,DOM,DOM-ADM1-4615305B72510429,DO-30,Hato Mayor,ADM1
4,11.41995129,11.23958776,12.45275318,15.81407102,15.45181541,16.48017747,13.9847573,16.6086198,14.54130221,15.39717756,14.44424448,14.03060625,16.34448616,15.62704252,14.95770929,15.36484844,16.21033032,15.75603186,16.95143447,18.1961011,16.69873165,15.34739519,16.31818249,16.71326302,ADM1,4,4,DOM,DOM-ADM1-4615305B24860958,DO-13,La Vega,ADM1
5,10.1073671,9.773222816,12.56806263,14.92430041,14.31809488,14.33114207,11.53789319,13.59873323,12.67473117,13.41106013,11.39933377,11.2156218,13.06940163,11.28839273,11.49752351,12.12189023,12.82418984,13.01625304,13.63371679,14.43101288,13.71471498,12.86124069,12.57292177,13.57711869,ADM1,5,5,DOM,DOM-ADM1-4615305B47159676,DO-24,Sánchez Ramírez,ADM1
6,9.312502482,9.497901726,9.841682005,9.564624984,9.372259908,9.733079596,7.619655117,8.925755935,8.768688282,9.16039047,7.015940248,6.922915132,8.479703737,6.73928469,7.392908895,6.904116606,7.522647148,7.846920514,7.744216327,8.473893584,8.719303389,8.46904787,7.474533495,8.054018441,ADM1,6,6,DOM,DOM-ADM1-4615305B90191036,DO-20,Samaná,ADM1
7,11.47964548,10.43124217,11.11925382,11.92304063,11.89948457,12.63915214,9.902065742,13.48499658,11.3409427,12.16199698,9.894696286,9.644901796,11.65707412,10.3342835,10.4592273,10.12457286,10.96190647,11.12064577,10.88122775,12.12870987,11.78443734,10.9250015,10.62376561,11.42822068,ADM1,7,7,DOM,DOM-ADM1-4615305B17340173,DO-27,Valverde,ADM1
8,10.96811732,11.44536563,12.33356511,12.24554936,12.99574831,13.48711618,11.34437348,12.24839692,12.71907797,12.30741688,11.88694887,11.22813767,13.15945344,12.35502228,12.17684681,12.91503432,13.13323335,14.00967208,13.33060944,14.20235252,13.2903642,12.5825047,13.00776839,13.98505068,ADM1,8,8,DOM,DOM-ADM1-4615305B21667931,DO-04,Barahona,ADM1
9,9.086929136,10.39359851,10.15052015,10.9339662,10.95777429,10.77028817,8.758555882,10.23587665,10.25162831,10.52912058,8.767210094,8.947238508,10.65593869,8.764850884,9.379572934,9.089834665,9.545388231,9.746124038,9.866255236,10.85514962,10.73994332,10.35410623,9.655550236,10.53377125,ADM1,9,9,DOM,DOM-ADM1-4615305B97931442,DO-12,La Romana,ADM1
