id,ShapeName,emergencies_2009,emergencies_2010,emergencies_2011,emergencies_2012,emergencies_2013,emergencies_2014,emergencies_2015,emergencies_2016,emergencies_2017,emergencies_2018,emergencies_2019,emergencies_2020,emergencies_2021
0,Santiago,419088,388543,330585,301364,325122,415367,365666,400331,372322,334222,345459,263131,283744
1,Duarte,46959,55538,79009,109922,117607,117477,115215,123345,105587,109351,140119,124140,155778
2,Elías Piña,57392,59916,49133,51738,50305,37609,32556,36970,40910,33719,33576,24592,28594
3,Hato Mayor,56434,49192,69719,72040,79432,69010,66251,65704,65720,63843,67663,45357,60797
4,La Vega,131960,137678,125616,197252,194101,174960,192358,209185,163789,163324,180312,123307,106526
5,Sanchez Ramírez,52685,49554,52738,54801,58965,63192,56224,53048,51926,62292,62134,43277,52145
6,Samaná,38977,40646,43043,38801,44249,55112,50890,56396,61669,70536,72215,57204,74911
7,Valverde,74846,75785,75557,88116,91103,95534,94650,116951,102034,104832,108135,60840,76928
8,Barahona,139209,120182,76738,141413,151215,165007,192870,151096,144894,166672,191584,151486,141545
9,La Romana,65187,66326,69622,54590,49617,58388,73302,93896,92158,92988,111977,93737,129077
10,Monseñor Nouel,60772,41843,24392,74733,91739,116237,105754,106105,83176,76780,87065,71339,87303
11,Monte Cristi,58493,60963,55784,60470,69647,81488,64708,62943,58840,74798,78648,59397,63912
12,Pedernales,14420,2378,13640,7247,10158,15445,9836,9427,12065,9984,22918,14815,13748
13,Peravia,119312,125062,123331,125756,139030,157013,144029,155509,117859,141467,135917,89221,107150
14,Puerto Plata,92413,42930,100079,90917,113046,170996,190564,170176,138667,145492,143954,107646,149600
15,San José de Ocoa,46892,53383,53156,49934,55377,67502,60196,59526,59595,58363,63436,36908,41627
16,San Juan,89561,109153,118772,141892,159622,181893,174680,186225,174346,167065,176172,141156,152815
17,Santiago Rodríguez,59872,51782,52599,54298,54630,60772,50061,49342,45874,45390,53246,33752,38996
18,Distrito Nacional,466648,467553,491295,417395,561907,624022,582903,569902,558499,482808,448004,286619,348223
19,El Seibo,36617,16568,40582,37695,40195,60453,55378,62283,28084,33291,29405,25600,26510
20,Espaillat,74432,26848,52398,56919,63317,93452,87120,99324,86291,77323,86524,60572,78875
21,Hermanas Mirabal,66311,73370,48748,45215,41805,41044,40096,44756,41055,51961,77928,60255,58050
22,Independencia,16552,26243,13772,19823,17666,40742,20480,22074,25762,32420,45012,32405,30882
23,Baoruco,47945,58340,59012,63155,77424,91870,78387,99323,109610,131876,127036,96988,109305
24,Azua,80918,76848,78529,83052,102263,100568,115805,142252,101847,70352,101612,78628,94635
25,Dajabón,33592,43705,42633,34729,28920,35935,31172,31482,28652,32346,33417,21857,36851
26,La Altagracia,15147,58723,63655,58955,58529,70106,81505,88607,58879,104860,117484,87583,98951
27,María Trinidad Sánchez,34401,43778,47862,53710,29917,63643,81563,93004,93640,89829,109788,86468,97333
28,Santo Domingo,828386,787018,828829,827773,744673,1142446,1006142,1223304,1060897,1250465,1083932,620918,705153
29,Monte Plata,84497,49642,48232,110768,128448,146853,176136,185157,154858,176349,128992,98534,115045
30,San Cristóbal,248479,259992,244677,273540,339217,406564,409347,402834,339409,361354,441905,316420,365240
31,San Pedro de Macorís,136363,132477,125663,124355,159925,161976,163276,164796,163957,171493,197691,171757,181837
