id,medical_checks_2009,medical_checks_2010,medical_checks_2011,medical_checks_2012,medical_checks_2013,medical_checks_2014,medical_checks_2015,medical_checks_2016,medical_checks_2017,medical_checks_2018,medical_checks_2019,medical_checks_2020,medical_checks_2021,emergencies_2009,emergencies_2010,emergencies_2011,emergencies_2012,emergencies_2013,emergencies_2014,emergencies_2015,emergencies_2016,emergencies_2017,emergencies_2018,emergencies_2019,emergencies_2020,emergencies_2021,deaths_2005,deaths_2006,deaths_2007,deaths_2008,deaths_2009,deaths_2010,deaths_2011,deaths_2012,deaths_2013,deaths_2014,deaths_2015,deaths_2016,deaths_2017,deaths_2018,deaths_2019,deaths_2020,deaths_2021,births_2001,births_2002,births_2003,births_2004,births_2005,births_2006,births_2007,births_2008,births_2009,births_2010,births_2011,births_2012,births_2013,births_2014,births_2015,births_2016,births_2017,births_2018,births_2019,births_2020,births_2021
0,699669,786189,751405,740849,844993,900346,855450,872801,841216,942305,961871,463595,757138,419088,388543,330585,301364,325122,415367,365666,400331,372322,334222,345459,263131,283744,511,442,437,434,484,434,400,384,409,388,256,255,348,451,403,277,408,"22,442","20,473","19,712","18,850","18,862","18,565","18,172","18,917","17,558","19,600","20,458","19,404","19,529","17,903","19,276","18,965","19,553","20,625","20,759","17,826","19,044"
1,110856,143595,157960,163353,123577,215683,245192,256607,233800,219770,198051,92270,126892,46959,55538,79009,109922,117607,117477,115215,123345,105587,109351,140119,124140,155778,94,74,81,92,91,96,50,66,69,55,54,49,54,68,83,68,73,"5,971","4,970","4,181","4,930","4,361","4,347","4,582","4,496","5,066","5,286","5,313","5,320","5,322","5,197","5,082","4,720","4,778","4,912","4,989","4,355","4,560"
2,37685,42032,37048,36471,40116,57428,64154,57720,79814,66646,64329,32334,48249,57392,59916,49133,51738,50305,37609,32556,36970,40910,33719,33576,24592,28594,7,14,15,15,17,8,14,15,30,23,19,12,24,32,34,20,26,"1,310","1,363","1,108","1,019",965,905,861,809,823,805,789,700,715,820,779,705,651,823,880,710,834
3,60928,69398,68848,59679,57196,67470,73600,65949,68589,69089,70294,39670,54855,56434,49192,69719,72040,79432,69010,66251,65704,65720,63843,67663,45357,60797,22,19,27,17,8,21,16,21,16,19,9,7,16,16,25,14,20,"1,387","1,527","1,379","1,334","1,418","1,289","1,066","1,251",995,"1,364","1,423","1,357",998,921,"1,443","1,291","1,299","1,376","1,260","1,132","1,203"
4,124898,189339,244670,314135,318478,349913,409669,412510,398154,413027,391597,149657,234633,131960,137678,125616,197252,194101,174960,192358,209185,163789,163324,180312,123307,106526,114,141,104,122,119,61,98,107,130,129,69,96,110,169,123,115,108,"7,334","7,151","6,673","6,558","5,856","6,168","5,977","6,149","6,029","6,061","6,477","6,533","6,423","6,460","6,369","6,342","6,506","6,589","6,743","5,601","4,848"
5,120741,106917,112196,138162,143790,154944,168772,161540,152879,151944,182166,83356,134605,52685,49554,52738,54801,58965,63192,56224,53048,51926,62292,62134,43277,52145,46,34,35,24,28,38,40,36,43,35,19,27,33,37,36,33,28,"3,216","3,180","3,159","2,749","2,623","2,355","2,162","2,338","2,480","2,553","2,665","2,444","2,371","2,485","2,246","2,148","2,251","2,204","2,170","2,066","2,199"
6,67834,70170,78225,79371,84197,87982,99770,91382,99509,105047,84530,32679,51415,38977,40646,43043,38801,44249,55112,50890,56396,61669,70536,72215,57204,74911,19,23,23,33,23,27,21,22,24,17,29,18,21,39,25,14,15,"1,818","1,758","1,797","1,713","1,684","1,493","1,531","1,634","1,840","1,627","1,740","1,562","1,531","1,450","1,370","1,386","1,556","1,510","1,537","1,381","1,250"
7,94657,94619,77299,79455,79301,83199,72432,82506,77737,84585,99249,31538,52906,74846,75785,75557,88116,91103,95534,94650,116951,102034,104832,108135,60840,76928,57,50,46,73,64,70,57,73,69,54,51,48,77,76,77,54,72,"3,165","3,207","2,938","2,636","2,462","2,253","2,378","2,548","2,542","2,655","2,782","2,782","2,738","2,917","2,771","2,806","3,092","3,350","3,670","3,149","3,761"
8,75151,63089,40863,95254,85587,87235,99946,113268,102915,91158,86582,43728,69696,139209,120182,76738,141413,151215,165007,192870,151096,144894,166672,191584,151486,141545,67,38,66,98,75,27,81,61,75,80,48,33,34,90,53,40,79,"4,775","5,072","4,142","3,881","3,945","3,581","3,730","4,156","4,376","4,485","4,749","4,705","4,863","4,876","4,386","4,120","4,370","4,477","4,473","3,782","3,711"
9,60014,65915,75498,82983,65046,76798,110153,109340,121759,111221,98798,64139,94885,65187,66326,69622,54590,49617,58388,73302,93896,92158,92988,111977,93737,129077,28,42,34,37,28,33,24,81,70,60,64,24,37,85,71,55,65,"5,462","5,269","5,033","4,829","4,885","4,721","4,530","4,742","4,799","4,658","4,845","4,601","4,809","4,962","4,611","4,307","4,858","4,908","4,614","4,271","3,965"
