id,shapeName,medical_checks_2009,medical_checks_2010,medical_checks_2011,medical_checks_2012,medical_checks_2013,medical_checks_2014,medical_checks_2015,medical_checks_2016,medical_checks_2017,medical_checks_2018,medical_checks_2019,medical_checks_2020,medical_checks_2021
0,Santiago,699669,786189,751405,740849,844993,900346,855450,872801,841216,942305,961871,463595,757138
1,Duarte,110856,143595,157960,163353,123577,215683,245192,256607,233800,219770,198051,92270,126892
2,Elías Piña,37685,42032,37048,36471,40116,57428,64154,57720,79814,66646,64329,32334,48249
3,Hato Mayor,60928,69398,68848,59679,57196,67470,73600,65949,68589,69089,70294,39670,54855
4,La Vega,124898,189339,244670,314135,318478,349913,409669,412510,398154,413027,391597,149657,234633
5,Sanchez Ramírez,120741,106917,112196,138162,143790,154944,168772,161540,152879,151944,182166,83356,134605
6,Samaná,67834,70170,78225,79371,84197,87982,99770,91382,99509,105047,84530,32679,51415
7,Valverde,94657,94619,77299,79455,79301,83199,72432,82506,77737,84585,99249,31538,52906
8,Barahona,75151,63089,40863,95254,85587,87235,99946,113268,102915,91158,86582,43728,69696
9,La Romana,60014,65915,75498,82983,65046,76798,110153,109340,121759,111221,98798,64139,94885
10,Monseñor Nouel,100708,89549,126073,117482,104673,110051,126610,134871,113492,129493,139212,66209,113480
11,Monte Cristi,89150,85816,76193,67387,68870,94408,78671,66103,57212,63474,76293,32013,47579
12,Pedernales,6640,1074,7931,6765,14351,16978,14853,16751,14285,16974,9635,9239,11932
13,Peravia,108189,102434,104736,108486,107784,116222,110237,124004,139090,143203,117303,55786,85992
14,Puerto Plata,259607,256735,237076,277370,185703,261756,257247,239663,216425,262385,269349,142318,184655
15,San José de Ocoa,24031,25979,23063,28187,29445,34123,34639,32695,35043,37360,32874,15068,25191
16,San Juan,96304,132532,164172,170609,180865,177991,185571,169858,154979,162658,161204,80289,114861
17,Santiago Rodríguez,59371,54232,51345,44975,41929,37964,34206,34439,33889,30106,30665,12813,26142
18,Distrito Nacional,1059773,1044692,1027816,814098,1259926,1550459,1709411,1538809,1696081,1290915,1336201,557400,853404
19,El Seibo,60532,35509,76099,65326,66889,61786,50158,59525,53809,99393,120003,77822,91372
20,Espaillat,153357,225870,204230,197654,187611,188422,182282,176902,163042,163509,183157,91441,140352
21,Hermanas Mirabal,88196,94015,115664,118045,127622,117565,122503,128284,110251,79706,82169,37098,43050
22,Independencia,20190,24323,16597,22335,23522,24672,24231,21496,22989,25484,29586,13554,15510
23,Baoruco,19278,27759,27060,24509,21057,20985,18706,16861,17419,19296,30467,14194,34665
24,Azua,109958,140076,142623,137059,138050,119847,123520,91275,95424,91694,106827,46616,76368
25,Dajabón,42498,37188,30209,44080,40580,43605,53129,47856,39854,42600,50176,22302,26289
26,La Altagracia,18529,76482,81233,79619,72291,83524,80312,86513,71916,109510,119131,77111,125365
27,María Trinidad Sánchez,75340,92083,104680,105674,65894,106407,118441,121379,110093,87935,99169,48894,67372
28,Santo Domingo,1161555,1188752,1199873,1074895,835100,1393037,1347213,1543957,1344905,1502154,1394158,546473,911685
29,Monte Plata,171129,72290,65017,134583,132016,124957,151146,141196,161247,181658,125508,69789,92476
30,San Cristóbal,224960,256709,260769,302491,325734,343822,410747,404739,425203,405837,420928,224229,361575
31,San Pedro de Macorís,172371,171560,171042,142590,153965,153199,212076,210769,162007,204680,217077,97658,175346
