asdf_id,viirs_ntl_annual_v20_avg_masked.2019.sum,oco2_v10r_xco2_yearly.2019.mean,cru_ts_405_tmp_yearly_mean.2019.mean,cru_ts_405_pre_yearly_mean.2019.mean,esa_landcover.2019.count,esa_landcover.2019.categorical_count,esa_landcover.2019.categorical_mosaic_cropland,esa_landcover.2019.categorical_rainfed_cropland,esa_landcover.2019.categorical_bare_areas,esa_landcover.2019.categorical_grassland,esa_landcover.2019.categorical_urban,esa_landcover.2019.categorical_wetland,esa_landcover.2019.categorical_forest,esa_landcover.2019.categorical_water_bodies,esa_landcover.2019.categorical_no_data,esa_landcover.2019.categorical_sparse_vegetation,esa_landcover.2019.categorical_shrubland,esa_landcover.2019.categorical_irrigated_cropland,esa_landcover.2019.categorical_snow_ice,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,29826.2695312,410.589010888,22.8293641648,104.600835903,31345.2796555,31254,3419,5633,34,3692,1084,90,17199,103,0,0,0,0,0,ADM1,0,0,DOM,DOM-ADM1-4615305B20080102,DO-25,Santiago,ADM1
1,7727.4375,410.935798845,25.8416671857,115.064678195,18450.2402344,18376,2395,4214,0,32,224,0,11511,0,0,0,0,0,0,ADM1,1,1,DOM,DOM-ADM1-4615305B6356787,DO-06,Duarte,ADM1
2,983.156433105,412.160815877,23.4505925388,115.863231118,15574.609375,15497,3318,2088,0,5270,10,913,3898,0,0,0,0,0,0,ADM1,2,2,DOM,DOM-ADM1-4615305B31488483,DO-07,Elías Piña,ADM1
3,1572.60571289,411.931423924,25.8672322006,110.199947016,14706.4296875,14644,1572,2189,0,932,51,0,9868,32,0,0,0,0,0,ADM1,3,3,DOM,DOM-ADM1-4615305B72510429,DO-30,Hato Mayor,ADM1
4,13479.2382812,410.264039822,22.0917307,96.8538869517,25584.300293,25505,3095,3892,0,1840,262,399,15981,33,0,0,3,0,0,ADM1,4,4,DOM,DOM-ADM1-4615305B24860958,DO-13,La Vega,ADM1
5,4369.43945312,411.258885752,25.1019696385,106.750492844,13242.5791016,13204,3053,2678,0,127,178,31,6808,329,0,0,0,0,0,ADM1,5,5,DOM,DOM-ADM1-4615305B47159676,DO-24,Sánchez Ramírez,ADM1
6,1783.53625488,411.445352138,26.1999684408,112.669329867,9602.93066406,9550,668,150,2,208,45,1,8381,95,0,0,0,0,0,ADM1,6,6,DOM,DOM-ADM1-4615305B90191036,DO-20,Samaná,ADM1
7,5292.36230469,411.641276978,25.5276365473,96.6862393428,9216.58984375,9186,2477,3484,0,825,193,10,2197,0,0,0,0,0,0,ADM1,7,7,DOM,DOM-ADM1-4615305B17340173,DO-27,Valverde,ADM1
8,2886.19946289,411.120581088,25.1975769262,89.6820920284,18339.8203125,18282,1904,1410,0,1130,163,1558,11737,284,0,9,87,0,0,ADM1,8,8,DOM,DOM-ADM1-4615305B21667931,DO-04,Barahona,ADM1
9,7159.24707031,410.019587618,26.4618705115,84.1781227666,7234.39990234,7197,195,2249,0,2802,303,29,1529,81,0,9,0,0,0,ADM1,9,9,DOM,DOM-ADM1-4615305B97931442,DO-12,La Romana,ADM1
10,4818.79980469,410.904082204,23.3086913186,98.6559080113,11062.4707031,11031,1462,928,0,42,144,200,8201,54,0,0,0,0,0,ADM1,10,10,DOM,DOM-ADM1-4615305B93141447,DO-28,Monseñor Nouel,ADM1
11,3835.29760742,411.246073134,27.0474362313,81.8453309048,20912.8886719,20870,5022,8313,2,1058,166,2874,3253,182,0,0,0,0,0,ADM1,11,11,DOM,DOM-ADM1-4615305B58029258,DO-15,Monte Cristi,ADM1
12,557.723876953,410.757610322,25.2455005069,98.7600206178,22269.2695312,22207,2469,952,0,2147,64,1100,14920,497,0,55,3,0,0,ADM1,12,12,DOM,DOM-ADM1-4615305B97890631,DO-16,Pedernales,ADM1
13,4678.36279297,412.436382582,25.9285823905,78.2974266054,8697.6796875,8660,1006,1605,0,171,249,1328,4220,72,0,4,5,0,0,ADM1,13,13,DOM,DOM-ADM1-4615305B97705953,DO-17,Peravia,ADM1
14,9441.4296875,410.836554148,26.4277197785,104.590440046,20202.3203125,20124,602,1688,0,5913,311,62,11413,135,0,0,0,0,0,ADM1,14,14,DOM,DOM-ADM1-4615305B21660189,DO-18,Puerto Plata,ADM1
15,731.951049805,411.258289873,22.2200904903,91.5540508627,9509.12011719,9466,1337,804,0,2,38,109,7157,19,0,0,0,0,0,ADM1,15,15,DOM,DOM-ADM1-4615305B99755788,DO-31,San José de Ocoa,ADM1
16,5822.82910156,411.049294168,22.6119743958,98.4147656943,37421.5290527,37350,7795,8078,0,7349,120,1460,12502,46,0,0,0,0,0,ADM1,16,16,DOM,DOM-ADM1-4615305B25601215,DO-22,San Juan,ADM1
17,1839.65649414,410.756326972,22.0412302598,105.758938524,12827.71875,12765,1354,4135,2,556,33,13,6667,5,0,0,0,0,0,ADM1,17,17,DOM,DOM-ADM1-4615305B72382162,DO-26,Santiago Rodríguez,ADM1
18,23954.0878906,410.705154559,26.302824675,95.1838063483,1014.83001709,1006,30,39,0,4,886,0,47,0,0,0,0,0,0,ADM1,18,18,DOM,DOM-ADM1-4615305B44377477,DO-01,Distrito Nacional,ADM1
19,1452.17553711,410.415677775,25.8793349812,105.281303603,19930.6601562,19873,2283,3912,0,3831,32,47,9587,181,0,0,0,0,0,ADM1,19,19,DOM,DOM-ADM1-4615305B34403945,DO-08,El Seibo,ADM1
20,5445.85009766,410.476309386,25.705708723,113.762544358,9446.16992188,9389,1154,1313,0,1070,131,1,5692,28,0,0,0,0,0,ADM1,20,20,DOM,DOM-ADM1-4615305B8300711,DO-09,Espaillat,ADM1
21,2301.08496094,410.430731985,25.7827298241,111.686783649,4796.41992188,4769,805,903,0,257,53,0,2751,0,0,0,0,0,0,ADM1,21,21,DOM,DOM-ADM1-4615305B61878568,DO-19,Hermanas Mirabal,ADM1
22,1091.57543945,411.547751877,23.8642740211,111.851713123,19681.9001465,19606,1996,1792,0,2433,48,4956,7470,749,0,72,90,0,0,ADM1,22,22,DOM,DOM-ADM1-4615305B73620585,DO-10,Independencia,ADM1
23,1810.92602539,411.766812845,23.8857479998,95.439332999,14285.9394531,14245,2862,2146,0,900,69,3572,4104,450,0,56,86,0,0,ADM1,23,23,DOM,DOM-ADM1-4615305B81528587,DO-03,Baoruco,ADM1
24,4210.79492188,411.029616507,22.3774498281,89.1220981219,29784.2318726,29712,7251,5242,0,619,262,2741,13498,90,0,5,4,0,0,ADM1,24,24,DOM,DOM-ADM1-4615305B49477683,DO-02,Azua,ADM1
25,1676.97412109,410.720735925,25.2162444678,102.702126322,11418.5703125,11378,1408,3693,2,3016,32,24,3193,10,0,0,0,0,0,ADM1,25,25,DOM,DOM-ADM1-4615305B84168094,DO-05,Dajabón,ADM1
