asdf_id,viirs_ntl_annual_v20_avg_masked.2019.count,viirs_ntl_annual_v20_avg_masked.2014.count,viirs_ntl_annual_v20_avg_masked.2012.count,viirs_ntl_annual_v20_avg_masked.2016.count,viirs_ntl_annual_v20_avg_masked.2015.count,viirs_ntl_annual_v20_avg_masked.2013.count,viirs_ntl_annual_v20_avg_masked.2017.count,viirs_ntl_annual_v20_avg_masked.2020.count,viirs_ntl_annual_v20_avg_masked.2018.count,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,13949.9697266,13949.9697266,13949.9697266,13949.9697266,13949.9697266,13949.9697266,13949.9697266,13949.9697266,13949.9697266,ADM1,0,0,DOM,DOM-ADM1-4615305B20080102,DO-25,Santiago,ADM1
1,8216.19921875,8216.19921875,8216.19921875,8216.19921875,8216.19921875,8216.19921875,8216.19921875,8216.19921875,8216.19921875,ADM1,1,1,DOM,DOM-ADM1-4615305B6356787,DO-06,Duarte,ADM1
2,6937.91992188,6937.91992188,6937.91992188,6937.91992188,6937.91992188,6937.91992188,6937.91992188,6937.91992188,6937.91992188,ADM1,2,2,DOM,DOM-ADM1-4615305B31488483,DO-07,Elías Piña,ADM1
3,6551.19042969,6551.19042969,6551.19042969,6551.19042969,6551.19042969,6551.19042969,6551.19042969,6551.19042969,6551.19042969,ADM1,3,3,DOM,DOM-ADM1-4615305B72510429,DO-30,Hato Mayor,ADM1
4,11388.5087891,11388.5087891,11388.5087891,11388.5087891,11388.5087891,11388.5087891,11388.5087891,11388.5087891,11388.5087891,ADM1,4,4,DOM,DOM-ADM1-4615305B24860958,DO-13,La Vega,ADM1
5,5896.3203125,5896.3203125,5896.3203125,5896.3203125,5896.3203125,5896.3203125,5896.3203125,5896.3203125,5896.3203125,ADM1,5,5,DOM,DOM-ADM1-4615305B47159676,DO-24,Sánchez Ramírez,ADM1
6,4281.39013672,4281.39013672,4281.39013672,4281.39013672,4281.39013672,4281.39013672,4281.39013672,4281.39013672,4281.39013672,ADM1,6,6,DOM,DOM-ADM1-4615305B90191036,DO-20,Samaná,ADM1
7,4103.95019531,4103.95019531,4103.95019531,4103.95019531,4103.95019531,4103.95019531,4103.95019531,4103.95019531,4103.95019531,ADM1,7,7,DOM,DOM-ADM1-4615305B17340173,DO-27,Valverde,ADM1
8,8164.56005859,8164.56005859,8164.56005859,8164.56005859,8164.56005859,8164.56005859,8164.56005859,8164.56005859,8164.56005859,ADM1,8,8,DOM,DOM-ADM1-4615305B21667931,DO-04,Barahona,ADM1
9,3224.06982422,3224.06982422,3224.06982422,3224.06982422,3224.06982422,3224.06982422,3224.06982422,3224.06982422,3224.06982422,ADM1,9,9,DOM,DOM-ADM1-4615305B97931442,DO-12,La Romana,ADM1
10,4924.60009766,4924.60009766,4924.60009766,4924.60009766,4924.60009766,4924.60009766,4924.60009766,4924.60009766,4924.60009766,ADM1,10,10,DOM,DOM-ADM1-4615305B93141447,DO-28,Monseñor Nouel,ADM1
11,9308.08007812,9308.08007812,9308.08007812,9308.08007812,9308.08007812,9308.08007812,9308.08007812,9308.08007812,9308.08007812,ADM1,11,11,DOM,DOM-ADM1-4615305B58029258,DO-15,Monte Cristi,ADM1
12,9911.5703125,9911.5703125,9911.5703125,9911.5703125,9911.5703125,9911.5703125,9911.5703125,9911.5703125,9911.5703125,ADM1,12,12,DOM,DOM-ADM1-4615305B97890631,DO-16,Pedernales,ADM1
13,3874.09985352,3874.09985352,3874.09985352,3874.09985352,3874.09985352,3874.09985352,3874.09985352,3874.09985352,3874.09985352,ADM1,13,13,DOM,DOM-ADM1-4615305B97705953,DO-17,Peravia,ADM1
