shapeName,id,year,total_sol
Santiago,0,1992,1.8756771963786325
Duarte,1,1992,0.6018760919606719
Elías Piña,2,1992,0.15825761573413852
Hato Mayor,3,1992,0.3412251548108376
La Vega,4,1992,0.7779809633720963
Sánchez Ramírez,5,1992,0.46043981300108755
Samaná,6,1992,0.25639806542726845
Valverde,7,1992,0.6229476855073173
Barahona,8,1992,0.38886107444818363
La Romana,9,1992,2.496671670703213
Monseñor Nouel,10,1992,0.9175806645927843
Monte Cristi,11,1992,0.21231229233891216
Pedernales,12,1992,0.14078914930377043
Peravia,13,1992,1.081131227126484
Puerto Plata,14,1992,0.568595973067444
San José de Ocoa,15,1992,0.23347330309232978
San Juan,16,1992,0.2959917215096897
Santiago Rodríguez,17,1992,0.19276343092118756
Distrito Nacional,18,1992,30.26850393925386
El Seibo,19,1992,0.2121738976662637
Espaillat,20,1992,0.9407599480937959
Hermanas Mirabal,21,1992,0.5643052103380979
Independencia,22,1992,0.17521769647564428
Baoruco,23,1992,0.27287690193323494
Azua,24,1992,0.27833279161717495
Dajabón,25,1992,0.22226157733490873
La Altagracia,26,1992,0.7177440574502328
María Trinidad Sánchez,27,1992,0.29502747947200114
Santo Domingo,28,1992,6.945306850197166
Monte Plata,29,1992,0.21879883718458124
San Cristóbal,30,1992,1.886109390116761
San Pedro de Macorís,31,1992,1.3163604230259194
Santiago,0,1993,2.118839221725624
Duarte,1,1993,0.6865116809916705
Elías Piña,2,1993,0.16511032100647444
Hato Mayor,3,1993,0.3725190884496088
La Vega,4,1993,0.8755202733828229
Sánchez Ramírez,5,1993,0.4939892054621795
Samaná,6,1993,0.2758838851876547
Valverde,7,1993,0.7196107264678888
Barahona,8,1993,0.4137277728552896
La Romana,9,1993,2.7132463089769407
Monseñor Nouel,10,1993,0.9355587396015331
Monte Cristi,11,1993,0.22612018731167605
Pedernales,12,1993,0.14801626936604115
Peravia,13,1993,1.1696905172885397
Puerto Plata,14,1993,0.6460876111647472
San José de Ocoa,15,1993,0.24658199447444995
San Juan,16,1993,0.3231277495180003
Santiago Rodríguez,17,1993,0.20212814671038207
Distrito Nacional,18,1993,31.79915140101779
El Seibo,19,1993,0.22581660729410485
Espaillat,20,1993,1.071469727708433
Hermanas Mirabal,21,1993,0.6354891908177384
Independencia,22,1993,0.18375330292466505
Baoruco,23,1993,0.29307231432137215
Azua,24,1993,0.3036780369790553
Dajabón,25,1993,0.23222049291375235
La Altagracia,26,1993,0.7784101774980291
María Trinidad Sánchez,27,1993,0.32109615644416917
Santo Domingo,28,1993,7.386293699996108
Monte Plata,29,1993,0.231496479931398
San Cristóbal,30,1993,1.9680717486765018
San Pedro de Macorís,31,1993,1.4603164072629005
Santiago,0,1994,2.208424428514324
Duarte,1,1994,0.7214303460491369
Elías Piña,2,1994,0.16703743036032526
Hato Mayor,3,1994,0.38286104377809604
La Vega,4,1994,0.9177885781959144
Sánchez Ramírez,5,1994,0.5099530056886606
Samaná,6,1994,0.28141940750822997
Valverde,7,1994,0.7927563960830181
Barahona,8,1994,0.43756942415995326
La Romana,9,1994,2.807650704157382
Monseñor Nouel,10,1994,1.0126341192726185
Monte Cristi,11,1994,0.2311888941376161
Pedernales,12,1994,0.14940059982054804
Peravia,13,1994,1.2155006805809225
Puerto Plata,14,1994,0.7102536070120595
San José de Ocoa,15,1994,0.25568394758727186
San Juan,16,1994,0.3322332360622374
Santiago Rodríguez,17,1994,0.2082377315165655
Distrito Nacional,18,1994,32.30077466430756
El Seibo,19,1994,0.23056950726244904
Espaillat,20,1994,1.1048711279196797
Hermanas Mirabal,21,1994,0.6488386361507591
Independencia,22,1994,0.18642219870869325
Baoruco,23,1994,0.30326945449444576
Azua,24,1994,0.31282855617291233
Dajabón,25,1994,0.23351224907665072
La Altagracia,26,1994,0.8549881762412836
María Trinidad Sánchez,27,1994,0.3393681132656596
Santo Domingo,28,1994,7.567262373228287
Monte Plata,29,1994,0.23575245081352675
San Cristóbal,30,1994,2.0347144286229226
San Pedro de Macorís,31,1994,1.5117247082216525
Santiago,0,1995,2.310541062686299
Duarte,1,1995,0.7721380966622419
Elías Piña,2,1995,0.17381956127914844
Hato Mayor,3,1995,0.4016009880376088
La Vega,4,1995,1.0157808776678425
Sánchez Ramírez,5,1995,0.5494069835229888
Samaná,6,1995,0.2933394571827714
Valverde,7,1995,0.8252781464638405
Barahona,8,1995,0.4673694273813662
La Romana,9,1995,2.96830288405761
Monseñor Nouel,10,1995,1.0707126180689879
Monte Cristi,11,1995,0.24018767744105254
Pedernales,12,1995,0.15522433374738304
Peravia,13,1995,1.2835579937215214
Puerto Plata,14,1995,0.7512359508599263
San José de Ocoa,15,1995,0.2655648677636062
San Juan,16,1995,0.34677299685986046
Santiago Rodríguez,17,1995,0.217241177350477
Distrito Nacional,18,1995,33.47756483040984
El Seibo,19,1995,0.23982554607593026
Espaillat,20,1995,1.1586545574826133
Hermanas Mirabal,21,1995,0.6868406986179112
Independencia,22,1995,0.1940939142856369
Baoruco,23,1995,0.3157236677129251
Azua,24,1995,0.3275754603069628
Dajabón,25,1995,0.24425617724382276
La Altagracia,26,1995,0.9196811706166287
María Trinidad Sánchez,27,1995,0.35744300197804685
Santo Domingo,28,1995,7.906477674487298
Monte Plata,29,1995,0.24504595491150932
San Cristóbal,30,1995,2.136073926853897
San Pedro de Macorís,31,1995,1.5867298151016331
Santiago,0,1996,2.4843804158050697
Duarte,1,1996,0.8281734139999689
Elías Piña,2,1996,0.18183793785475974
Hato Mayor,3,1996,0.46034063848686757
La Vega,4,1996,1.0912639432036197
Sánchez Ramírez,5,1996,0.5863405507957424
Samaná,6,1996,0.30912835512681414
Valverde,7,1996,0.9040564506889823
Barahona,8,1996,0.5182527003477951
La Romana,9,1996,3.1316632637352773
Monseñor Nouel,10,1996,1.1281681726428203
Monte Cristi,11,1996,0.25341977321506537
Pedernales,12,1996,0.1624279405020729
