asdf_id,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2020.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,1.153426002,1.316300441,1.463515395,1.564286664,1.482417046,1.722270338,1.968474843,2.13947363,2.110503528,ADM1,0,0,DOM,DOM-ADM1-4615305B20080102,DO-25,Santiago,ADM1
1,0.415408852,0.499036302,0.538609612,0.644609333,0.62993992,0.772074236,0.835732301,0.942543367,1.04574301,ADM1,1,1,DOM,DOM-ADM1-4615305B6356787,DO-06,Duarte,ADM1
2,0.056305571,0.079068374,0.082200849,0.092783837,0.117003514,0.147138119,0.146057364,0.142559982,0.146853042,ADM1,2,2,DOM,DOM-ADM1-4615305B31488483,DO-07,Elías Piña,ADM1
3,0.142507209,0.16214718,0.172465278,0.192396914,0.176884785,0.224593674,0.240849824,0.24080265,0.258016227,ADM1,3,3,DOM,DOM-ADM1-4615305B72510429,DO-30,Hato Mayor,ADM1
4,0.467600583,0.546917627,0.578661426,0.697467259,0.728187045,0.907198758,1.02033235,1.185775958,1.20561945,ADM1,4,4,DOM,DOM-ADM1-4615305B24860958,DO-13,La Vega,ADM1
5,0.4910819,0.599095514,0.510551034,0.561021713,0.54132506,0.640481001,0.717279791,0.742961962,0.70832247,ADM1,5,5,DOM,DOM-ADM1-4615305B47159676,DO-24,Sánchez Ramírez,ADM1
6,0.260332599,0.274427183,0.262182171,0.265588122,0.269081497,0.348075483,0.364463651,0.422474063,0.484967836,ADM1,6,6,DOM,DOM-ADM1-4615305B90191036,DO-20,Samaná,ADM1
7,0.463822133,0.55509878,0.649859229,0.791630124,0.817869329,1.064621556,1.187587834,1.292485962,1.299911737,ADM1,7,7,DOM,DOM-ADM1-4615305B17340173,DO-27,Valverde,ADM1
8,0.25440461,0.326519719,0.357953323,0.343023237,0.335303683,0.349212088,0.346779282,0.356197057,0.38197534,ADM1,8,8,DOM,DOM-ADM1-4615305B21667931,DO-04,Barahona,ADM1
9,1.615959595,1.862453985,1.840136914,1.973591376,1.937650063,2.030528614,2.142139519,2.232637192,2.170327567,ADM1,9,9,DOM,DOM-ADM1-4615305B97931442,DO-12,La Romana,ADM1
