shapeName,id,year,total_sol
Santiago,0,2000,0.41105038627840845
Duarte,1,2000,0.10654140667896857
Elías Piña,2,2000,0.0010456690537411705
Hato Mayor,3,2000,0.01676990802212825
La Vega,4,2000,0.09672023944231005
Sánchez Ramírez,5,2000,0.036246567472980704
Samaná,6,2000,0.011276672370958956
Valverde,7,2000,0.048242443204254325
Barahona,8,2000,0.06264202524304119
La Romana,9,2000,0.3938473708849402
Monseñor Nouel,10,2000,0.12744618119626802
Monte Cristi,11,2000,0.014306829150551445
Pedernales,12,2000,0.002408279681468477
Peravia,13,2000,0.18452360210848906
Puerto Plata,14,2000,0.15388622126013013
San José de Ocoa,15,2000,0.004571306245337845
San Juan,16,2000,0.022752144728700553
Santiago Rodríguez,17,2000,0.00666029825068463
Distrito Nacional,18,2000,24.684198770474925
El Seibo,19,2000,0.006848212219239003
Espaillat,20,2000,0.09622601328110439
Hermanas Mirabal,21,2000,0.025132858831030728
Independencia,22,2000,0.004425543311446216
Baoruco,23,2000,0.015639925263301848
Azua,24,2000,0.02188546910824534
Dajabón,25,2000,0.008796064459212289
La Altagracia,26,2000,0.10230607269265311
María Trinidad Sánchez,27,2000,0.027781727293312432
Santo Domingo,28,2000,2.558781465035988
Monte Plata,29,2000,0.013103385948384151
San Cristóbal,30,2000,0.5178644284872541
San Pedro de Macorís,31,2000,0.28558480147810383
Santiago,0,2001,0.6583556744052561
Duarte,1,2001,0.17226448318870677
Elías Piña,2,2001,0.0041593142938459145
Hato Mayor,3,2001,0.025781897992289814
La Vega,4,2001,0.12653818693171903
Sánchez Ramírez,5,2001,0.036687757192829476
Samaná,6,2001,0.013612215831832513
Valverde,7,2001,0.04246976846782914
Barahona,8,2001,0.09906246920144152
La Romana,9,2001,0.4738194197819296
Monseñor Nouel,10,2001,0.10864470486349902
Monte Cristi,11,2001,0.01630163605133733
Pedernales,12,2001,0.005363449936697889
Peravia,13,2001,0.1621963321891756
Puerto Plata,14,2001,0.199912133120228
San José de Ocoa,15,2001,0.011162378356341493
San Juan,16,2001,0.021427162037183548
Santiago Rodríguez,17,2001,0.006105578262740356
Distrito Nacional,18,2001,25.195435039348467
El Seibo,19,2001,0.023211231881306884
Espaillat,20,2001,0.09428682371439692
Hermanas Mirabal,21,2001,0.029899432013154294
Independencia,22,2001,0.009974719611445458
Baoruco,23,2001,0.022109892969220144
Azua,24,2001,0.03370811415236519
Dajabón,25,2001,0.009897756877070403
La Altagracia,26,2001,0.11028415094961673
María Trinidad Sánchez,27,2001,0.03879950177885087
Santo Domingo,28,2001,2.4147683192727074
Monte Plata,29,2001,0.01186680916941451
San Cristóbal,30,2001,0.4585034629839188
San Pedro de Macorís,31,2001,0.29619322629853606
Santiago,0,2002,0.7837492913076344
Duarte,1,2002,0.2208211264602372
Elías Piña,2,2002,1.87592736728E-4
Hato Mayor,3,2002,0.056533252824347235
La Vega,4,2002,0.19642634532648232
Sánchez Ramírez,5,2002,0.028387851103589625
Samaná,6,2002,0.02056041929108961
Valverde,7,2002,0.06239082159900328
Barahona,8,2002,0.12567351647021624
La Romana,9,2002,0.6241717040755046
Monseñor Nouel,10,2002,0.15712862730014934
Monte Cristi,11,2002,0.02155839649387652
Pedernales,12,2002,0.006116406153558316
Peravia,13,2002,0.22990326029866176
Puerto Plata,14,2002,0.24186336022721416
San José de Ocoa,15,2002,0.03204510018077547
San Juan,16,2002,0.03253012478692207
Santiago Rodríguez,17,2002,0.013803556443489615
Distrito Nacional,18,2002,24.670988204316973
El Seibo,19,2002,0.03529097747638262
Espaillat,20,2002,0.20600819145755317
Hermanas Mirabal,21,2002,0.06507138381106366
Independencia,22,2002,0.017385151936324755
Baoruco,23,2002,0.0422108469281425
Azua,24,2002,0.06687690587049376
Dajabón,25,2002,0.01592645376567041
La Altagracia,26,2002,0.163042160925931
María Trinidad Sánchez,27,2002,0.07379635055962203
Santo Domingo,28,2002,2.2709400056375793
Monte Plata,29,2002,0.029956280247970063
San Cristóbal,30,2002,0.4398414983380442
San Pedro de Macorís,31,2002,0.27955092133242393
Santiago,0,2003,0.6098852506431257
Duarte,1,2003,0.12017055538884998
Elías Piña,2,2003,0.002702159434771392
Hato Mayor,3,2003,0.028171255721859797
La Vega,4,2003,0.12383199279439383
Sánchez Ramírez,5,2003,0.028340994439311717
Samaná,6,2003,0.010288632012017457
Valverde,7,2003,0.10360312134023922
Barahona,8,2003,0.06569924180300893
La Romana,9,2003,0.50201439335912
Monseñor Nouel,10,2003,0.1378905482022404
Monte Cristi,11,2003,0.02153729292560271
Pedernales,12,2003,0.003544816790069699
Peravia,13,2003,0.2041065687649323
Puerto Plata,14,2003,0.1764307566112891
San José de Ocoa,15,2003,0.012345594537913831
San Juan,16,2003,0.031051657641446965
Santiago Rodríguez,17,2003,0.020666082865498918
Distrito Nacional,18,2003,22.241922688488575
El Seibo,19,2003,0.01834485857167933
Espaillat,20,2003,0.16993301257922996
Hermanas Mirabal,21,2003,0.034962703722572444
Independencia,22,2003,0.017023518127540823
Baoruco,23,2003,0.03732583515521579
Azua,24,2003,0.04824716587872559
Dajabón,25,2003,0.01471828903499279
La Altagracia,26,2003,0.11102257489336664
María Trinidad Sánchez,27,2003,0.03285673067260986
Santo Domingo,28,2003,2.493121891747178
Monte Plata,29,2003,0.017046728251748296
San Cristóbal,30,2003,0.4233121364074183
San Pedro de Macorís,31,2003,0.25768248678702016
Santiago,0,2004,0.3678404320230994
Duarte,1,2004,0.1366128553349933
Elías Piña,2,2004,0.002795793679306088
Hato Mayor,3,2004,0.04676307980648375
La Vega,4,2004,0.08754625925152765
Sánchez Ramírez,5,2004,0.028798123873429754
Samaná,6,2004,0.021298893800953497
Valverde,7,2004,0.0664755978639528
Barahona,8,2004,0.04567076319216132
La Romana,9,2004,0.44706860665074716
Monseñor Nouel,10,2004,0.11512679755108259
Monte Cristi,11,2004,0.020527928724099438
Pedernales,12,2004,0.0065133904356772365
Peravia,13,2004,0.1027253747794064
Puerto Plata,14,2004,0.12682132178214356
San José de Ocoa,15,2004,0.023466470050204292
San Juan,16,2004,0.023669030936994663
Santiago Rodríguez,17,2004,0.01574958260360063
Distrito Nacional,18,2004,18.049736079685673
El Seibo,19,2004,0.03397815287251882
Espaillat,20,2004,0.15017698786316513
Hermanas Mirabal,21,2004,0.05223431745806522
Independencia,22,2004,0.014227074333445746
Baoruco,23,2004,0.013286916544000061
Azua,24,2004,0.03229296315158794
Dajabón,25,2004,0.02009923413257046
La Altagracia,26,2004,0.13987870830268992
María Trinidad Sánchez,27,2004,0.023406445001334514
Santo Domingo,28,2004,1.5247856958934047
Monte Plata,29,2004,0.013795009710974204
San Cristóbal,30,2004,0.3255462980194158
San Pedro de Macorís,31,2004,0.20652519727420854
Santiago,0,2005,0.37678339967694674
Duarte,1,2005,0.1749067888945477
Elías Piña,2,2005,0.0022788808253586504
Hato Mayor,3,2005,0.031994138591068165
La Vega,4,2005,0.07315874271944142
Sánchez Ramírez,5,2005,0.012421643453312294
