asdf_id,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2014.sum,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,13894.9199219,13894.9199219,13894.9199219,13894.9199219,13894.9199219,13894.9199219,13894.9199219,13894.9199219,13894.9199219,ADM1,0,0,DOM,DOM-ADM1-4615305B20080102,DO-25,Santiago,ADM1
1,8168.43017578,8168.43017578,8168.43017578,8168.43017578,8168.43017578,8168.43017578,8168.43017578,8168.43017578,8168.43017578,ADM1,1,1,DOM,DOM-ADM1-4615305B6356787,DO-06,Duarte,ADM1
2,6889.00976562,6889.00976562,6889.00976562,6889.00976562,6889.00976562,6889.00976562,6889.00976562,6889.00976562,6889.00976562,ADM1,2,2,DOM,DOM-ADM1-4615305B31488483,DO-07,Elías Piña,ADM1
3,6505.67041016,6505.67041016,6505.67041016,6505.67041016,6505.67041016,6505.67041016,6505.67041016,6505.67041016,6505.67041016,ADM1,3,3,DOM,DOM-ADM1-4615305B72510429,DO-30,Hato Mayor,ADM1
4,11334.5800781,11334.5800781,11334.5800781,11334.5800781,11334.5800781,11334.5800781,11334.5800781,11334.5800781,11334.5800781,ADM1,4,4,DOM,DOM-ADM1-4615305B24860958,DO-13,La Vega,ADM1
5,5863.60986328,5863.60986328,5863.60986328,5863.60986328,5863.60986328,5863.60986328,5863.60986328,5863.60986328,5863.60986328,ADM1,5,5,DOM,DOM-ADM1-4615305B47159676,DO-24,Sánchez Ramírez,ADM1
6,4240.68017578,4240.68017578,4240.68017578,4240.68017578,4240.68017578,4240.68017578,4240.68017578,4240.68017578,4240.68017578,ADM1,6,6,DOM,DOM-ADM1-4615305B90191036,DO-20,Samaná,ADM1
7,4079.73999023,4079.73999023,4079.73999023,4079.73999023,4079.73999023,4079.73999023,4079.73999023,4079.73999023,4079.73999023,ADM1,7,7,DOM,DOM-ADM1-4615305B17340173,DO-27,Valverde,ADM1
8,8123.33984375,8123.33984375,8123.33984375,8123.33984375,8123.33984375,8123.33984375,8123.33984375,8123.33984375,8123.33984375,ADM1,8,8,DOM,DOM-ADM1-4615305B21667931,DO-04,Barahona,ADM1
9,3197.02001953,3197.02001953,3197.02001953,3197.02001953,3197.02001953,3197.02001953,3197.02001953,3197.02001953,3197.02001953,ADM1,9,9,DOM,DOM-ADM1-4615305B97931442,DO-12,La Romana,ADM1
10,4901.31982422,4901.31982422,4901.31982422,4901.31982422,4901.31982422,4901.31982422,4901.31982422,4901.31982422,4901.31982422,ADM1,10,10,DOM,DOM-ADM1-4615305B93141447,DO-28,Monseñor Nouel,ADM1
11,9267.48046875,9267.48046875,9267.48046875,9267.48046875,9267.48046875,9267.48046875,9267.48046875,9267.48046875,9267.48046875,ADM1,11,11,DOM,DOM-ADM1-4615305B58029258,DO-15,Monte Cristi,ADM1
12,9869.26074219,9869.26074219,9869.26074219,9869.26074219,9869.26074219,9869.26074219,9869.26074219,9869.26074219,9869.26074219,ADM1,12,12,DOM,DOM-ADM1-4615305B97890631,DO-16,Pedernales,ADM1
13,3848.93994141,3848.93994141,3848.93994141,3848.93994141,3848.93994141,3848.93994141,3848.93994141,3848.93994141,3848.93994141,ADM1,13,13,DOM,DOM-ADM1-4615305B97705953,DO-17,Peravia,ADM1
14,8944.609375,8944.609375,8944.609375,8944.609375,8944.609375,8944.609375,8944.609375,8944.609375,8944.609375,ADM1,14,14,DOM,DOM-ADM1-4615305B21660189,DO-18,Puerto Plata,ADM1
