id,shapeName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Santiago,0.4110503862784084,0.6583556744052561,0.7837492913076344,0.6098852506431257,0.3678404320230994,0.3767833996769467,0.6149503530494153,0.5349311997499692,0.4869958003211986,0.486592100156036,0.3711455777553319,0.7271689760701376,0.959658383183164,1.2399270698909306,1.4121172258744354,1.5211822852548873,1.4519232315372042,1.670556250015856,1.8843741616676597,2.0601631732946095,2.0577624004255273,2.3220280936003497,2.5142734839064227
1,Duarte,0.1065414066789685,0.1722644831887067,0.2208211264602372,0.1201705553888499,0.1366128553349933,0.1749067888945477,0.2677332382709685,0.1884124996199692,0.1621908553290252,0.1663358250075834,0.1071261489287856,0.2279231968783892,0.3612748356292815,0.359657196768218,0.4116231328400441,0.5091225810013227,0.4972321857495155,0.6205132937461453,0.6655270731851496,0.7749518884905573,0.8824855164193336,0.9901439896578168,1.1330223006170277
2,Elías Piña,0.0010456690537411,0.0041593142938459,0.000187592736728,0.0027021594347713,0.002795793679306,0.0022788808253586,0.00018759273672799997,0.0005454803960485627,0.0048888020785512,0.0036239559274229,0.0029308266187446,0.0078810428570528,0.0099545682622865,0.0542541354850945,0.0634274981129315,0.0634859403087489,0.085963237460628,0.0956622313572842,0.1013021781698894,0.0964121035689429,0.0943671702070282,0.0979600114242828,0.106256466095414
3,Hato Mayor,0.0167699080221282,0.0257818979922898,0.0565332528243472,0.0281712557218597,0.0467630798064837,0.0319941385910681,0.03572864046178,0.0249845755185649,0.0187645429497779,0.0385236557935432,0.0279982873576106,0.0575946446511671,0.036654053905635,0.1191654327919801,0.1310729009451511,0.1365426764283277,0.13112253337091,0.1456408409907321,0.1641191520466179,0.1663705745177651,0.1754223385040029,0.2044347786844604,0.2214807522110411
4,La Vega,0.09672023944231,0.126538186931719,0.1964263453264823,0.1238319927943938,0.0875462592515276,0.0731587427194414,0.085545952787251,0.0545972773939696,0.0580352880873461,0.0848152372722284,0.051210309257424,0.1674129609332963,0.1947322851806457,0.4230322181565774,0.4694072241873294,0.6031184814711977,0.5974586632810143,0.8145423329907959,0.9131322709627404,1.0875703281589328,1.146222323927283,1.2627275739154258,1.3320417839203882
5,Sánchez Ramírez,0.0362465674729807,0.0366877571928294,0.0283878511035896,0.0283409944393117,0.0287981238734297,0.0124216434533122,0.0189028074947436,0.0075357375457504,0.0081442883823925,0.0216362412508762,0.0229643017642556,0.0623762160241514,0.1800588493156436,0.4420409779615262,0.3777690323545061,0.4215635824235996,0.3974484323096617,0.4832021809453517,0.529719986519109,0.5716504967490966,0.5311889186004918,0.6379101093726268,0.7617375012087062
6,Samaná,0.0112766723709589,0.0136122158318325,0.0205604192910896,0.0102886320120174,0.0212988938009534,0.0228653064019532,0.0258208945112877,0.0255190887466217,0.0157386675206015,0.0236014458061751,0.0222441133201792,0.0997337018196704,0.1141382366917496,0.1872642743068388,0.1872773809408394,0.1919895201594555,0.1888532723554883,0.2316661690369087,0.2516527334172204,0.3097138008642169,0.3824742092363782,0.4480860955871835,0.5550433259519478
7,Valverde,0.0482424432042543,0.0424697684678291,0.0623908215990032,0.1036031213402392,0.0664755978639528,0.0442474013064155,0.0627649561066605,0.0494142316404323,0.0381394911888115,0.0802105365447003,0.0556130185953414,0.1430698048558292,0.1480773593361469,0.4024355444368572,0.4940356420681185,0.6198838328298171,0.6496981525119955,0.8669036393307881,0.9808227916942178,1.0606990393596736,1.082777267266755,1.2459552027948997,1.4072712185768568
8,Barahona,0.0626420252430411,0.0990624692014415,0.1256735164702162,0.0656992418030089,0.0456707631921613,0.0513670535433695,0.0642817913551244,0.0353688567774518,0.0312674263415275,0.0382802097211508,0.0332815917457333,0.078632116329119,0.088144876155628,0.2722936436725267,0.3117298578278042,0.2851092484420167,0.2879294986752992,0.2773414508593199,0.2857718215820448,0.2967030405911646,0.3217771079127867,0.4742452760490197,0.5586585775011136
9,La Romana,0.3938473708849402,0.4738194197819296,0.6241717040755046,0.50201439335912,0.4470686066507471,0.3303653278763396,0.4081305909468994,0.374426851905538,0.3565681140258601,0.3599522989347496,0.3331229227474242,0.4373459643253887,0.8555758167990051,1.7016242033734268,1.6943616607206078,1.7789093249673598,1.771206619397779,1.8306846270024708,2.0289373553584684,2.0299153907578407,2.0235263316070173,2.2180678462922265,2.471874860770818
