asdf_id,worldpop_pop_count_1km_mosaic.2000.sum,worldpop_pop_count_1km_mosaic.2000.count,worldpop_pop_count_1km_mosaic.2001.sum,worldpop_pop_count_1km_mosaic.2001.count,worldpop_pop_count_1km_mosaic.2003.sum,worldpop_pop_count_1km_mosaic.2003.count,worldpop_pop_count_1km_mosaic.2002.sum,worldpop_pop_count_1km_mosaic.2002.count,worldpop_pop_count_1km_mosaic.2005.sum,worldpop_pop_count_1km_mosaic.2005.count,worldpop_pop_count_1km_mosaic.2004.sum,worldpop_pop_count_1km_mosaic.2004.count,worldpop_pop_count_1km_mosaic.2006.sum,worldpop_pop_count_1km_mosaic.2006.count,worldpop_pop_count_1km_mosaic.2008.sum,worldpop_pop_count_1km_mosaic.2008.count,worldpop_pop_count_1km_mosaic.2007.sum,worldpop_pop_count_1km_mosaic.2007.count,worldpop_pop_count_1km_mosaic.2009.sum,worldpop_pop_count_1km_mosaic.2009.count,worldpop_pop_count_1km_mosaic.2010.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2020.count
0,899832.4375,3501.110107,902923.25,3501.110107,911428.5,3501.110107,906853.4375,3501.110107,923070.9375,3501.110107,917016.9375,3501.110107,929763.6875,3501.110107,944664.4375,3501.110107,936906.5,3501.110107,952750.9375,3501.110107,961477.5625,3501.110107,970003.3125,3501.110107,979129.8125,3501.110107,989167.1875,3501.110107,999299.6875,3501.110107,1009649.875,3501.110107,1020458,3501.110107,1031607.125,3501.110107,1043118.688,3501.110107,1054867.625,3501.110107,1066950.625,3501.110107
1,250493.3594,2065.799805,253671.9688,2065.799805,260354.5938,2065.799805,256669.4844,2065.799805,267625.875,2065.799805,263888.4688,2065.799805,271893.2813,2065.799805,280573.75,2065.799805,276101.0313,2065.799805,285656.5,2065.799805,290366.3125,2065.799805,295297.2813,2065.799805,300864.125,2065.799805,306608.8125,2065.799805,312589.8438,2065.799805,319032.5625,2065.799805,325465.5,2065.799805,332329.75,2065.799805,339551.1875,2065.799805,347148.4375,2065.799805,355095.5,2065.799805
2,66781.22656,1746.709961,67362.29688,1746.709961,67482.0625,1746.709961,66850.03906,1746.709961,68345.85938,1746.709961,67778.32813,1746.709961,68077,1746.709961,70951.75,1746.709961,68842.5625,1746.709961,70618.50781,1746.709961,70009.5625,1746.709961,70682.8125,1746.709961,72416.95313,1746.709961,72810.64844,1746.709961,73177.57813,1746.709961,73925.21094,1746.709961,74605.10156,1746.709961,75673.40625,1746.709961,76170.34375,1746.709961,77071.8125,1746.709961,78511.67188,1746.709961
3,69479.01563,1648.719971,70538.25,1648.689941,72658.09375,1648.689941,71669.97656,1648.689941,74963.64063,1648.689941,73959.5625,1648.689941,76526.95313,1648.689941,79113.02344,1648.689941,78121.34375,1648.689941,81066.875,1648.689941,82447.98438,1648.689941,83984.8125,1648.689941,85819.4375,1648.689941,87764.21094,1648.689941,89971.57031,1648.689941,92261.26563,1648.689941,94339.84375,1648.689941,96730.59375,1648.689941,99175.84375,1648.689941,101823.5391,1648.689941,104551.0156,1648.689941
4,338770.7188,2860.23999,343642.5,2860.23999,354312.0313,2860.23999,348936.5938,2860.23999,364971.2188,2860.23999,359527.0313,2860.23999,371008.7188,2860.23999,383137.5313,2860.23999,376843.6563,2860.23999,389685.6875,2860.23999,396234.7813,2860.23999,403335.2813,2860.23999,410902.8125,2860.23999,418560.4063,2860.23999,426581.125,2860.23999,434772.3125,2860.23999,443632.6563,2860.23999,452640.1563,2860.23999,462089.4688,2860.23999,472004.0313,2860.23999,482378.4375,2860.23999
5,inf,1481.98999,148668.8594,1472.98999,149427.1563,1472.98999,149161.3438,1472.98999,150211.75,1472.98999,149915.3906,1472.98999,150510.9219,1472.98999,151539.5,1472.98999,151077.6719,1472.98999,151798.3438,1472.98999,152500.1875,1472.98999,152953.7813,1472.98999,153475.5,1472.98999,153980.1094,1472.98999,154745.75,1472.98999,155456.1563,1472.98999,155982.3438,1472.98999,156709.8438,1472.98999,157451.5313,1472.98999,158216.5,1472.98999,159011.7969,1472.98999
6,84317.375,1080.080078,85322.58594,1080.080078,87148.24219,1080.080078,86088.07813,1080.080078,89384.17188,1080.080078,88096.66406,1080.080078,90310.85156,1080.080078,92977.4375,1080.080078,91961.42969,1080.080078,93541.07813,1080.080078,94954.60156,1080.080078,95765.46875,1080.080078,96346.65625,1080.080078,97519.53125,1080.080078,99178.89844,1080.080078,100683.6641,1080.080078,102141.2813,1080.080078,103608.4844,1080.080078,105280.1563,1080.080078,106707.7188,1080.080078,108584.9609,1080.080078
7,121317.7344,1032.01001,124777.6094,1032.01001,131642.9063,1032.01001,128002.2031,1032.01001,139590.875,1032.01001,135473.1094,1032.01001,143632.5625,1032.01001,152890.5625,1032.01001,148083.4531,1032.01001,157733.4531,1032.01001,163047.5625,1032.01001,168935.2969,1032.01001,174610.3594,1032.01001,180566.3125,1032.01001,187051.375,1032.01001,193876.8125,1032.01001,201133.3438,1032.01001,208761.2813,1032.01001,216678.8125,1032.01001,225160.4375,1032.01001,234033.9688,1032.01001
8,inf,2051.580078,171185.0938,2039.720215,172856.6563,2039.720215,171851.4375,2039.720215,175370.4063,2039.720215,174069.8594,2039.720215,176934,2039.720215,179853.625,2039.720215,178443.0313,2039.720215,182674.2188,2039.720215,184604.9844,2039.720215,186318.3594,2039.720215,187810.3594,2039.720215,190350,2039.720215,192429.1563,2039.720215,195283.75,2039.720215,197879.5313,2039.720215,200799.5625,2039.720215,204267.5156,2039.720215,207925.5156,2039.720215,211650.1563,2039.720215
9,193539.2656,813.0400391,197364.7813,813.0100098,205868.375,813.0100098,201355.4688,813.0100098,213804.6406,813.0100098,209469.0938,813.0100098,218355.6875,813.0100098,228012.3906,813.0100098,223423.4375,813.0100098,232189.1094,813.0100098,237529.9531,813.0100098,242421.9688,813.0100098,247349.875,813.0100098,252641.4219,813.0100098,258265.7031,813.0100098,263796,813.0100098,269367.0938,813.0100098,275215.3438,813.0100098,281390.75,813.0100098,287540.875,813.0100098,293854.9375,813.0100098
