asdf_id,landscan_global_population.2000.sum,landscan_global_population.2000.count,landscan_global_population.2001.sum,landscan_global_population.2001.count,landscan_global_population.2002.sum,landscan_global_population.2002.count,landscan_global_population.2003.sum,landscan_global_population.2003.count,landscan_global_population.2004.sum,landscan_global_population.2004.count,landscan_global_population.2005.sum,landscan_global_population.2005.count,landscan_global_population.2006.sum,landscan_global_population.2006.count,landscan_global_population.2007.sum,landscan_global_population.2007.count,landscan_global_population.2008.sum,landscan_global_population.2008.count,landscan_global_population.2009.sum,landscan_global_population.2009.count,landscan_global_population.2010.sum,landscan_global_population.2010.count,landscan_global_population.2011.sum,landscan_global_population.2011.count,landscan_global_population.2012.sum,landscan_global_population.2012.count,landscan_global_population.2013.sum,landscan_global_population.2013.count,landscan_global_population.2014.sum,landscan_global_population.2014.count,landscan_global_population.2015.sum,landscan_global_population.2015.count,landscan_global_population.2016.sum,landscan_global_population.2016.count,landscan_global_population.2017.sum,landscan_global_population.2017.count,landscan_global_population.2018.sum,landscan_global_population.2018.count,landscan_global_population.2019.sum,landscan_global_population.2019.count,landscan_global_population.2020.sum,landscan_global_population.2020.count,landscan_global_population.2021.sum,landscan_global_population.2021.count
0,809965.8699,3501.029785,825427.3099,3501.029785,828405.4399,3501.029785,841389.0899,3501.029785,860572.4398,3501.029785,882374.8998,3501.029785,898823.5498,3501.029785,921015.6498,3501.029785,934969.9598,3501.029785,1021744.32,3501.029785,1040144.57,3501.029785,1054359.85,3501.029785,1068239.97,3501.029785,1082052.41,3501.029785,1095747.05,3501.029785,1063884.65,3501.029785,1076987.29,3501.029785,1089886.36,3501.029785,1045730.43,3501.029785,1037420.21,3501.029785,1047381.99,3501.029785,1057142.31,3501.029785
1,341176.6099,2065.52002,346439.4799,2065.52002,349306.1699,2065.52002,354291.7899,2065.52002,311613.2099,2065.52002,318456.5899,2065.52002,324611.0899,2065.52002,318984.9999,2065.52002,322669.02,2065.52002,318526.08,2065.52002,324250.75,2065.52002,328819.2699,2065.52002,333424.6899,2065.52002,337754.8399,2065.52002,342046.3099,2065.52002,322347.88,2065.52002,326223.39,2065.52002,330185.87,2065.52002,316784.37,2065.52002,300399.89,2065.52002,303276.23,2065.52002,306042.95,2065.52002
2,76814.10992,1746.369995,81433.0199,1746.369995,82805.85994,1746.369995,83949.68994,1746.369995,75909.30994,1746.369995,77925.23994,1746.369995,80995.65995,1746.369995,68667.14999,1746.369995,70593.93997,1746.369995,74742.01996,1746.369995,74932.76995,1746.369995,76220.77995,1746.369995,77211.96995,1746.369995,78353.07995,1746.369995,79332.06995,1746.369995,71915.92996,1746.369995,72865.69996,1746.369995,71915.55996,1746.369995,67852.68997,1746.369995,62929.05997,1746.369995,63492.56997,1746.369995,64074.44996,1746.369995
3,80374.71,1646.859985,81673.09,1646.859985,80729.16998,1645.089966,81802.30998,1645.299927,78376.46998,1645.299927,80255.42998,1645.299927,82899.07998,1645.299927,83007.79998,1645.299927,84215.85998,1645.299927,98527.87004,1645.299927,100237.45,1645.299927,101322.66,1645.299927,102662.93,1645.299927,103974.35,1645.299927,105296.31,1645.299927,93890.42997,1645.299927,94958.24997,1645.299927,96038.94998,1645.299927,92146.61998,1645.299927,85603.10998,1645.299927,86435.73998,1645.299927,87225.27998,1645.299927
4,377612.9699,2860.310059,380943.3199,2860.310059,385355.4801,2860.310059,390387.8101,2860.310059,384509.4001,2860.310059,394080.8701,2860.310059,401609.0201,2860.310059,426641.9202,2860.310059,433192.9002,2860.310059,437785.1,2860.310059,445691.1,2860.310059,451458.3299,2860.310059,457256.1499,2860.310059,463262.3499,2860.310059,469151.9899,2860.310059,438325.0599,2860.310059,443663.8199,2860.310059,449037.9399,2860.310059,430836.1499,2860.310059,412551.4599,2860.310059,416545.7799,2860.310059,420458.9499,2860.310059
5,185533.9001,1482.300049,189186.4401,1482.300049,180431.2801,1482.300049,182584.6101,1482.300049,155914.9801,1482.300049,159271.1401,1482.300049,162273.0401,1482.300049,174986.22,1482.300049,177626.6,1482.300049,169793.07,1482.300049,172856.22,1482.300049,175317.22,1482.300049,177630.77,1482.300049,179940.84,1482.300049,182233.22,1482.300049,167294.73,1482.300049,169339.56,1482.300049,171385.13,1482.300049,164427.18,1482.300049,152102.13,1482.300049,153554.14,1482.300049,154959.16,1482.300049
6,82523.89028,1072.310059,84195.35029,1072.310059,84422.59043,1071.450073,85659.70043,1072.310059,91817.99031,1072.310059,95751.25036,1072.310059,97568.01036,1072.310059,99985.36037,1072.310059,101500.5404,1072.310059,99109.83021,1072.310059,100896.2802,1072.310059,102222.4602,1072.310059,103576.9402,1072.310059,104924.8302,1072.310059,106269.4902,1072.310059,106230.6601,1072.310059,107531.0501,1072.310059,108746.6901,1072.310059,104145.2101,1072.890015,105072.7401,1072.890015,106012.1801,1072.890015,106997.9301,1072.890015
7,189093.4699,1031.619995,190502.0499,1031.619995,189001.8999,1031.619995,189871.9299,1031.619995,167129.8899,1031.619995,170514.5299,1031.619995,173629.9299,1031.619995,164959.2499,1031.619995,167435.6299,1031.619995,177695.9399,1031.619995,180893.6399,1031.619995,183220.2799,1031.619995,185724.49,1031.619995,188132.37,1031.619995,190534.06,1031.619995,182691.39,1031.619995,184924.05,1031.619995,187360.06,1031.619995,179687.43,1031.619995,178146.32,1031.619995,179854.9,1031.619995,181528.71,1031.619995
8,183499.4704,2050.550049,186913.9304,2050.550049,190232.1303,2049.219971,192312.5403,2049.219971,184490.5903,2049.219971,189538.7203,2049.219971,192219.5003,2049.219971,194888.5503,2049.219971,197848.9103,2049.219971,192826.3603,2049.219971,196295.4303,2049.219971,198947.3704,2049.219971,201590.4804,2049.219971,203828.2704,2049.219971,206476.7004,2049.219971,199046.4603,2049.219971,201481.1004,2049.219971,203835.2304,2049.219971,195572.3303,2049.219971,182074.8803,2049.219971,183763.3203,2049.429932,185545.6603,2049.429932
9,183367.0299,810.2799683,186431.7599,810.2799683,188005.6298,809.6499023,190465.3698,808.2999268,212903.4298,809.1699219,219986.5098,809.1699219,224341.1898,809.1699219,228091.4498,809.1699219,231502.7598,809.1699219,245034.2598,809.1699219,249453.6998,809.1699219,252817.4298,809.1699219,256167.9598,809.1699219,259178.7198,809.1699219,262485.2798,809.1699219,269660.2198,809.1699219,273006.1998,809.1699219,276304.2798,809.1699219,264912.6598,809.3699341,268462.7298,809.3699341,270800.6998,809.3899536,273316.1198,809.3899536
