id,shapeName,car_theft_2013,car_theft_2014,car_theft_2015,car_theft_2016,car_theft_2017,car_theft_2018,car_theft_2019,car_theft_2020
0,Santiago,408,290,226,"1,359",533,542,422,481
1,Duarte,211,243,237,239,156,119,154,72
2,Elías Piña,2,2,6,4,9,2,5,0
3,Hato Mayor,21,13,18,13,0,1,1,0
4,La Vega,596,335,415,566,430,432,249,125
5,Sanchez Ramírez,17,29,33,48,16,36,16,5
6,Samaná,23,22,24,5,6,10,8,4
7,Valverde,52,41,43,35,36,14,23,8
8,Barahona,189,138,112,87,144,78,65,36
9,La Romana,344,222,229,358,525,263,245,257
10,Monseñor Nouel,301,233,300,273,293,109,91,36
11,Monte Cristi,10,7,6,6,2,0,1,0
12,Pedernales,2,3,0,1,0,3,1,5
13,Peravia,375,284,136,71,85,180,130,100
14,Puerto Plata,183,104,147,127,81,119,68,44
15,San José de Ocoa,11,17,1,9,12,7,18,6
16,San Juan,68,63,57,86,61,28,26,1
17,Santiago Rodríguez,8,8,1,5,1,0,0,0
18,Distrito Nacional,"1,092","1,010",801,879,802,"1,091",729,638
19,El Seibo,28,16,4,3,0,2,1,1
20,Espaillat,419,235,251,257,264,200,124,102
21,Hermanas Mirabal,37,17,27,25,8,11,2,0
22,Independencia,6,8,4,5,1,3,0,1
23,Baoruco,16,13,12,9,18,16,8,10
24,Azua,36,44,15,27,5,11,8,10
25,Dajabón,7,8,1,1,1,2,0,2
26,La Altagracia,528,385,387,514,442,376,215,255
27,María Trinidad Sánchez,35,30,13,12,10,17,15,3
28,Santo Domingo,"2,442","1,349","1,605","1,994","1,732","1,958","1,619","1,300"
29,Monte Plata,43,31,31,23,2,5,7,11
30,San Cristóbal,793,545,533,437,230,328,307,215
31,San Pedro de Macorís,345,242,190,67,64,182,76,105
32,No declarada,0,0,0,0,1,0,1,0
