id,shapeName,homicides_2008,homicides_2009,homicides_2010,homicides_2011,homicides_2012,homicides_2013,homicides_2014,homicides_2015,homicides_2016,homicides_2017,homicides_2018,homicides_2019,homicides_2020,homicides_2021,homicides_2022
0,Santiago,168,223,240,216,206,207,171,204,207,189,178,145,112,123,163
1,Duarte,66,75,78,74,75,79,73,70,75,67,66,54,30,39,59
2,Elías Piña,14,16,19,12,18,13,14,11,14,11,13,10,9,10,13
3,Hato Mayor,12,8,10,14,24,13,13,12,13,9,11,11,15,12,28
4,La Vega,60,81,107,85,95,92,73,69,67,52,52,53,44,33,41
5,Sánchez Ramírez,17,21,20,32,26,23,22,25,23,25,21,17,16,8,11
6,Samaná,19,12,24,20,26,14,20,22,21,11,11,16,11,7,9
7,Valverde,46,40,35,30,31,36,27,24,23,27,25,27,18,19,18
8,Barahona,40,42,35,43,33,47,43,42,40,31,36,37,24,42,32
9,La Romana,61,64,72,63,64,60,48,43,49,36,57,51,44,35,38
10,Monseñor Nouel,29,30,48,49,41,53,28,30,44,30,31,17,10,11,15
11,Monte Cristi,21,16,22,28,27,27,19,18,16,29,20,17,18,15,16
12,Pedernales,4,6,3,4,3,5,5,6,5,2,6,5,8,5,6
13,Peravia,45,44,51,58,57,46,41,51,33,35,35,39,29,29,27
14,Puerto Plata,64,72,61,62,61,69,59,50,34,38,29,23,23,17,26
15,San José de Ocoa,11,11,6,4,6,6,7,10,11,7,11,8,9,8,5
16,San Juan,47,51,57,59,53,38,42,39,42,53,38,26,28,25,33
17,Santiago Rodríguez,7,4,8,11,2,10,7,6,5,5,2,10,4,4,7
18,Distrito Nacional,294,307,318,397,331,259,250,182,208,224,151,143,129,107,148
19,El Seibo,11,20,19,19,31,20,18,19,15,16,16,14,15,12,12
20,Espaillat,40,50,44,33,51,42,32,52,36,33,29,34,21,16,28
21,Hermanas Mirabal,17,18,21,19,23,18,18,19,13,10,13,9,9,6,4
22,Independencia,3,10,7,11,15,16,10,19,5,9,11,10,4,7,4
23,Baoruco,22,19,19,25,25,33,21,23,18,25,19,25,10,26,16
24,Azua,29,47,40,36,41,32,36,25,26,21,28,29,32,18,22
25,Dajabón,6,20,20,12,21,11,15,11,16,12,5,9,8,15,11
26,La Altagracia,74,88,90,92,89,77,75,67,72,70,81,68,60,48,46
27,María Trinidad Sánchez,17,14,18,23,22,29,19,23,14,20,29,19,13,19,17
28,Santo Domingo,616,679,629,658,784,662,580,433,370,367,380,337,334,293,349
29,Monte Plata,29,28,34,39,42,37,29,29,28,28,25,17,22,19,22
30,San Cristóbal,146,162,148,173,128,120,108,117,95,74,74,69,88,80,82
31,San Pedro de Macorís,57,79,75,73,66,74,67,59,42,50,58,41,35,28,41
