id,suicides_2007,suicides_2008,suicides_2009,suicides_2010,suicides_2011,suicides_2012,suicides_2013,suicides_2014,suicides_2015,suicides_2016,suicides_2017,suicides_2018,suicides_2019,suicides_2020,suicides_2021,homicides_2008,homicides_2009,homicides_2010,homicides_2011,homicides_2012,homicides_2013,homicides_2014,homicides_2015,homicides_2016,homicides_2017,homicides_2018,homicides_2019,homicides_2020,homicides_2021,homicides_2022,car_theft_2013,car_theft_2014,car_theft_2015,car_theft_2016,car_theft_2017,car_theft_2018,car_theft_2019,car_theft_2020
0,69,84,75,87,76,71,57,69,68,56,69,77,85,81,91,168,223,240,216,206,207,171,204,207,189,178,145,112,123,163,408,290,226,"1,359",533,542,422,481
1,18,9,15,16,23,14,26,24,15,29,23,27,22,20,23,66,75,78,74,75,79,73,70,75,67,66,54,30,39,59,211,243,237,239,156,119,154,72
2,6,2,5,2,0,1,7,0,4,0,4,3,0,5,5,14,16,19,12,18,13,14,11,14,11,13,10,9,10,13,2,2,6,4,9,2,5,0
3,6,3,5,1,4,13,6,7,4,8,5,7,3,7,8,12,8,10,14,24,13,13,12,13,9,11,11,15,12,28,21,13,18,13,0,1,1,0
4,18,24,36,36,35,45,25,35,30,30,30,39,40,38,37,60,81,107,85,95,92,73,69,67,52,52,53,44,33,41,596,335,415,566,430,432,249,125
5,15,8,11,13,9,17,11,7,6,12,9,13,7,8,6,17,21,20,32,26,23,22,25,23,25,21,17,16,8,11,17,29,33,48,16,36,16,5
6,6,8,4,9,7,5,5,5,7,7,4,7,9,8,2,19,12,24,20,26,14,20,22,21,11,11,16,11,7,9,23,22,24,5,6,10,8,4
7,15,12,14,10,24,9,13,11,14,19,15,21,11,15,11,46,40,35,30,31,36,27,24,23,27,25,27,18,19,18,52,41,43,35,36,14,23,8
8,9,9,9,10,3,17,9,11,7,14,9,7,10,4,12,40,42,35,43,33,47,43,42,40,31,36,37,24,42,32,189,138,112,87,144,78,65,36
9,11,8,18,12,13,14,10,11,11,14,15,13,10,15,15,61,64,72,63,64,60,48,43,49,36,57,51,44,35,38,344,222,229,358,525,263,245,257
10,5,9,4,11,13,11,14,10,6,19,14,14,10,6,12,29,30,48,49,41,53,28,30,44,30,31,17,10,11,15,301,233,300,273,293,109,91,36
11,6,4,9,6,10,8,6,11,10,6,9,7,8,10,13,21,16,22,28,27,27,19,18,16,29,20,17,18,15,16,10,7,6,6,2,0,1,0
12,3,1,0,3,1,2,1,0,1,2,0,1,1,0,2,4,6,3,4,3,5,5,6,5,2,6,5,8,5,6,2,3,0,1,0,3,1,5
13,15,12,15,12,21,12,13,17,18,10,10,17,13,11,14,45,44,51,58,57,46,41,51,33,35,35,39,29,29,27,375,284,136,71,85,180,130,100
14,31,34,26,20,22,20,23,20,29,21,20,31,18,27,23,64,72,61,62,61,69,59,50,34,38,29,23,23,17,26,183,104,147,127,81,119,68,44
15,7,6,6,4,7,5,5,6,2,9,4,4,6,2,10,11,11,6,4,6,6,7,10,11,7,11,8,9,8,5,11,17,1,9,12,7,18,6
16,22,13,27,15,10,22,17,19,16,14,29,25,22,20,25,47,51,57,59,53,38,42,39,42,53,38,26,28,25,33,68,63,57,86,61,28,26,1
17,1,3,5,7,3,5,5,7,10,6,7,4,4,3,7,7,4,8,11,2,10,7,6,5,5,2,10,4,4,7,8,8,1,5,1,0,0,0
18,44,58,52,46,61,51,46,34,42,46,42,65,40,56,60,294,307,318,397,331,259,250,182,208,224,151,143,129,107,148,"1,092","1,010",801,879,802,"1,091",729,638
19,9,8,3,2,7,9,3,4,0,6,9,8,5,10,3,11,20,19,19,31,20,18,19,15,16,16,14,15,12,12,28,16,4,3,0,2,1,1
20,12,14,14,23,20,21,15,15,16,14,17,14,20,17,26,40,50,44,33,51,42,32,52,36,33,29,34,21,16,28,419,235,251,257,264,200,124,102
21,6,7,11,7,16,10,11,7,6,12,9,9,9,6,10,17,18,21,19,23,18,18,19,13,10,13,9,9,6,4,37,17,27,25,8,11,2,0
22,1,3,1,4,5,1,3,2,3,1,1,3,6,2,3,3,10,7,11,15,16,10,19,5,9,11,10,4,7,4,6,8,4,5,1,3,0,1
23,9,4,9,4,7,10,6,11,5,9,7,14,3,9,2,22,19,19,25,25,33,21,23,18,25,19,25,10,26,16,16,13,12,9,18,16,8,10
24,6,6,14,10,12,14,11,18,21,15,9,17,12,15,13,29,47,40,36,41,32,36,25,26,21,28,29,32,18,22,36,44,15,27,5,11,8,10
25,5,6,5,6,9,6,3,8,6,5,6,4,4,6,7,6,20,20,12,21,11,15,11,16,12,5,9,8,15,11,7,8,1,1,1,2,0,2
26,14,22,18,13,25,26,29,26,23,24,30,27,27,23,29,74,88,90,92,89,77,75,67,72,70,81,68,60,48,46,528,385,387,514,442,376,215,255
27,8,11,9,9,9,7,17,13,5,9,8,1,8,7,14,17,14,18,23,22,29,19,23,14,20,29,19,13,19,17,35,30,13,12,10,17,15,3
28,87,84,96,93,132,136,100,87,113,93,104,107,129,104,122,616,679,629,658,784,662,580,433,370,367,380,337,334,293,349,"2,442","1,349","1,605","1,994","1,732","1,958","1,619","1,300"
29,7,8,8,10,11,10,16,16,10,10,15,15,18,12,12,29,28,34,39,42,37,29,29,28,28,25,17,22,19,22,43,31,31,23,2,5,7,11
30,28,28,23,31,28,30,35,25,22,35,22,32,32,34,43,146,162,148,173,128,120,108,117,95,74,74,69,88,80,82,793,545,533,437,230,328,307,215
31,13,21,16,9,14,16,19,21,17,14,20,14,15,16,9,57,79,75,73,66,74,67,59,42,50,58,41,35,28,41,345,242,190,67,64,182,76,105
