asdf_id,modis_lst_mod11c3_061_day_annual_mean.2000.max,modis_lst_mod11c3_061_day_annual_mean.2000.mean,modis_lst_mod11c3_061_day_annual_mean.2000.min,modis_lst_mod11c3_061_day_annual_mean.2001.max,modis_lst_mod11c3_061_day_annual_mean.2001.mean,modis_lst_mod11c3_061_day_annual_mean.2001.min,modis_lst_mod11c3_061_day_annual_mean.2002.max,modis_lst_mod11c3_061_day_annual_mean.2002.mean,modis_lst_mod11c3_061_day_annual_mean.2002.min,modis_lst_mod11c3_061_day_annual_mean.2003.max,modis_lst_mod11c3_061_day_annual_mean.2003.mean,modis_lst_mod11c3_061_day_annual_mean.2003.min,modis_lst_mod11c3_061_day_annual_mean.2004.max,modis_lst_mod11c3_061_day_annual_mean.2004.mean,modis_lst_mod11c3_061_day_annual_mean.2004.min,modis_lst_mod11c3_061_day_annual_mean.2005.max,modis_lst_mod11c3_061_day_annual_mean.2005.mean,modis_lst_mod11c3_061_day_annual_mean.2005.min,modis_lst_mod11c3_061_day_annual_mean.2006.max,modis_lst_mod11c3_061_day_annual_mean.2006.mean,modis_lst_mod11c3_061_day_annual_mean.2006.min,modis_lst_mod11c3_061_day_annual_mean.2007.max,modis_lst_mod11c3_061_day_annual_mean.2007.mean,modis_lst_mod11c3_061_day_annual_mean.2007.min,modis_lst_mod11c3_061_day_annual_mean.2008.max,modis_lst_mod11c3_061_day_annual_mean.2008.mean,modis_lst_mod11c3_061_day_annual_mean.2008.min,modis_lst_mod11c3_061_day_annual_mean.2009.max,modis_lst_mod11c3_061_day_annual_mean.2009.mean,modis_lst_mod11c3_061_day_annual_mean.2009.min,modis_lst_mod11c3_061_day_annual_mean.2010.max,modis_lst_mod11c3_061_day_annual_mean.2010.mean,modis_lst_mod11c3_061_day_annual_mean.2010.min,modis_lst_mod11c3_061_day_annual_mean.2011.max,modis_lst_mod11c3_061_day_annual_mean.2011.mean,modis_lst_mod11c3_061_day_annual_mean.2011.min,modis_lst_mod11c3_061_day_annual_mean.2012.max,modis_lst_mod11c3_061_day_annual_mean.2012.mean,modis_lst_mod11c3_061_day_annual_mean.2012.min,modis_lst_mod11c3_061_day_annual_mean.2013.max,modis_lst_mod11c3_061_day_annual_mean.2013.mean,modis_lst_mod11c3_061_day_annual_mean.2013.min,modis_lst_mod11c3_061_day_annual_mean.2014.max,modis_lst_mod11c3_061_day_annual_mean.2014.mean,modis_lst_mod11c3_061_day_annual_mean.2014.min,modis_lst_mod11c3_061_day_annual_mean.2015.max,modis_lst_mod11c3_061_day_annual_mean.2015.mean,modis_lst_mod11c3_061_day_annual_mean.2015.min,modis_lst_mod11c3_061_day_annual_mean.2016.max,modis_lst_mod11c3_061_day_annual_mean.2016.mean,modis_lst_mod11c3_061_day_annual_mean.2016.min,modis_lst_mod11c3_061_day_annual_mean.2017.max,modis_lst_mod11c3_061_day_annual_mean.2017.mean,modis_lst_mod11c3_061_day_annual_mean.2017.min,modis_lst_mod11c3_061_day_annual_mean.2018.max,modis_lst_mod11c3_061_day_annual_mean.2018.mean,modis_lst_mod11c3_061_day_annual_mean.2018.min,modis_lst_mod11c3_061_day_annual_mean.2019.max,modis_lst_mod11c3_061_day_annual_mean.2019.mean,modis_lst_mod11c3_061_day_annual_mean.2019.min,modis_lst_mod11c3_061_day_annual_mean.2020.max,modis_lst_mod11c3_061_day_annual_mean.2020.mean,modis_lst_mod11c3_061_day_annual_mean.2020.min,modis_lst_mod11c3_061_day_annual_mean.2021.max,modis_lst_mod11c3_061_day_annual_mean.2021.mean,modis_lst_mod11c3_061_day_annual_mean.2021.min,modis_lst_mod11c3_061_day_annual_mean.2022.max,modis_lst_mod11c3_061_day_annual_mean.2022.mean,modis_lst_mod11c3_061_day_annual_mean.2022.min,modis_lst_mod11c3_061_day_annual_mean.2023.max,modis_lst_mod11c3_061_day_annual_mean.2023.mean,modis_lst_mod11c3_061_day_annual_mean.2023.min,modis_lst_mod11c3_061_day_annual_mean.2000.mean,modis_lst_mod11c3_061_day_annual_mean.2001.mean,modis_lst_mod11c3_061_day_annual_mean.2002.mean,modis_lst_mod11c3_061_day_annual_mean.2003.mean,modis_lst_mod11c3_061_day_annual_mean.2004.mean,modis_lst_mod11c3_061_day_annual_mean.2005.mean,modis_lst_mod11c3_061_day_annual_mean.2006.mean,modis_lst_mod11c3_061_day_annual_mean.2007.mean,modis_lst_mod11c3_061_day_annual_mean.2008.mean,modis_lst_mod11c3_061_day_annual_mean.2009.mean,modis_lst_mod11c3_061_day_annual_mean.2010.mean,modis_lst_mod11c3_061_day_annual_mean.2011.mean,modis_lst_mod11c3_061_day_annual_mean.2012.mean,modis_lst_mod11c3_061_day_annual_mean.2013.mean,modis_lst_mod11c3_061_day_annual_mean.2014.mean,modis_lst_mod11c3_061_day_annual_mean.2015.mean,modis_lst_mod11c3_061_day_annual_mean.2016.mean,modis_lst_mod11c3_061_day_annual_mean.2017.mean,modis_lst_mod11c3_061_day_annual_mean.2018.mean,modis_lst_mod11c3_061_day_annual_mean.2019.mean,modis_lst_mod11c3_061_day_annual_mean.2020.mean,modis_lst_mod11c3_061_day_annual_mean.2021.mean,modis_lst_mod11c3_061_day_annual_mean.2022.mean,modis_lst_mod11c3_061_day_annual_mean.2023.mean
0,307.42,300.5654237,290.4145455,306.61,300.5064784,290.9183333,307.2166667,300.9483339,290.7683333,306.0616667,299.8990917,290.6916667,304.8383333,299.2482939,290.3883333,304.3433333,299.0234056,291.0566667,305.0166667,299.3655361,291.135,304.3583333,299.2543534,291.315,305.135,299.7930842,290.74,305.135,299.6076113,291.265,305.2683333,299.2195467,291.3716667,305.0533333,299.5180401,291.4033333,305.1516667,299.7078912,291.1366667,306.0933333,300.1972209,291.5366667,306.5916667,300.7559508,291.965,306.9466667,301.2815839,291.7083333,305.59,300.2113077,291.5733333,304.735,299.1692751,290.595,305.35,300.1445441,290.6783333,307.0166667,301.2966686,291.4016667,306.0483333,300.6554988,291.1383333,306.15,300.4604427,290.8216667,305.1133333,300.0008145,290.2166667,305.315,300.3413362,291.5016667,300.5654237,300.5064784,300.9483339,299.8990917,299.2482939,299.0234056,299.3655361,299.2543534,299.7930842,299.6076113,299.2195467,299.5180401,299.7078912,300.1972209,300.7559508,301.2815839,300.2113077,299.1692751,300.1445441,301.2966686,300.6554988,300.4604427,300.0008145,300.3413362
1,306.5109091,301.3596539,297.5763636,306.35,300.9302434,297.4766667,306.4066667,301.2040657,297.8416667,304.11,300.6066188,297.7066667,304.3616667,300.1362341,297.28,304.5716667,300.6727389,297.7416667,304.6733333,300.6445486,297.6816667,304.6783333,300.86516,298.1316667,305.085,300.7338328,297.655,305.2016667,300.8420279,297.7816667,305.2766667,300.9791983,297.7716667,305.385,300.9055391,297.8616667,304.8833333,300.754231,297.7833333,304.8933333,300.761831,297.885,305.8733333,301.070361,297.6933333,306.305,301.816694,298.14,304.7683333,300.873349,297.8933333,304.5016667,300.5381654,297.8866667,305.6566667,300.36458,297.4283333,308.6,302.0943211,298.2433333,305.4666667,301.1762195,298.0916667,304.175,300.6378992,297.7516667,304.6,300.4474881,297.4366667,306.0316667,301.2763884,297.64,301.3596539,300.9302434,301.2040657,300.6066188,300.1362341,300.6727389,300.6445486,300.86516,300.7338328,300.8420279,300.9791983,300.9055391,300.754231,300.761831,301.070361,301.816694,300.873349,300.5381654,300.36458,302.0943211,301.1762195,300.6378992,300.4474881,301.2763884
2,308.0163636,302.4395745,295.4290909,307.375,302.0494164,295.14,308.6866667,302.469748,295.2333333,307.17,301.8534945,294.845,307.95,302.0124049,294.895,308.0216667,302.1461772,295.0183333,307.755,301.8513247,295.1883333,306.0466667,301.1923927,295.0116667,307.0416667,301.671307,294.8716667,307.01,301.6093401,294.5016667,306.7866667,301.4481247,294.6016667,307.6183333,301.9462659,294.6116667,307.0016667,301.68339,295.025,307.875,302.2222608,295.0133333,308.2616667,302.5241386,295.4633333,308.225,302.9711398,295.4116667,307.1733333,302.1623326,295.32,307.5383333,301.8048356,295.29,307.71,302.0719154,295.4466667,307.9383333,302.559493,295.0033333,308.2633333,302.6748028,295.1133333,308.7333333,302.3634968,295.13,307.3633333,301.4236172,294.6316667,306.8516667,301.931481,294.9816667,302.4395745,302.0494164,302.469748,301.8534945,302.0124049,302.1461772,301.8513247,301.1923927,301.671307,301.6093401,301.4481247,301.9462659,301.68339,302.2222608,302.5241386,302.9711398,302.1623326,301.8048356,302.0719154,302.559493,302.6748028,302.3634968,301.4236172,301.931481
3,305.8,301.3686474,297.9781818,304.6633333,300.3436044,297.5733333,304.2616667,300.7582447,297.715,304.5516667,300.5290808,298.135,303.7033333,300.3004205,297.645,303.8866667,300.6393944,298.1033333,303.51,300.3591266,297.9483333,303.88,300.4933983,298.1566667,304.0483333,300.6225068,297.6133333,303.5283333,300.3884697,297.885,304.1683333,300.9079045,297.9116667,304.28,300.5202197,297.8333333,303.9166667,300.4166216,297.74,304.2416667,300.7134975,297.9016667,305.6166667,301.1725273,298.1216667,305.9483333,301.642393,298.53,303.93,300.6089567,298.1216667,302.775,300.2883549,297.8866667,303.71,300.3601048,297.385,304.9116667,301.1940506,298.2766667,304.7083333,301.0429949,298.365,304.5033333,300.8498797,297.6616667,303.7683333,300.4401408,297.2166667,304.7416667,301.1519146,298.4083333,301.3686474,300.3436044,300.7582447,300.5290808,300.3004205,300.6393944,300.3591266,300.4933983,300.6225068,300.3884697,300.9079045,300.5202197,300.4166216,300.7134975,301.1725273,301.642393,300.6089567,300.2883549,300.3601048,301.1940506,301.0429949,300.8498797,300.4401408,301.1519146
4,306.2254545,298.7758206,290.4763636,306.64,299.0813082,290.005,306.28,298.7836547,289.9516667,304.325,298.1479305,289.9066667,304.6283333,297.8067212,289.65,305.3466667,298.1268858,290.3566667,305.1633333,298.1282794,289.85,305.3666667,298.1629247,289.66,306,298.0980083,289.865,305.5233333,298.173386,289.8166667,305.6516667,298.2146794,290.2333333,306.2616667,298.1753878,290.05,305.3183333,298.0937355,289.9266667,305.165,297.9969409,289.8433333,306.1483333,298.7035542,289.99,306.31,298.9922864,289.9683333,305.0016667,298.4311006,290.2566667,305.165,297.8740127,289.6116667,305.42,298.0409349,289.3716667,308.4733333,299.3821901,290.21,306.4216667,298.8706598,290.1183333,304.5333333,298.1034674,290.055,304.8366667,297.7243068,289.22,305.97,298.5391125,290.385,298.7758206,299.0813082,298.7836547,298.1479305,297.8067212,298.1268858,298.1282794,298.1629247,298.0980083,298.173386,298.2146794,298.1753878,298.0937355,297.9969409,298.7035542,298.9922864,298.4311006,297.8740127,298.0409349,299.3821901,298.8706598,298.1034674,297.7243068,298.5391125
5,303.7836364,301.658911,299.0127273,303.8416667,301.3529851,299.3,303.7383333,301.1587273,298.8983333,302.7883333,300.6988927,298.6416667,302.23,300.2977286,298.1483333,302.5766667,300.9665842,298.8533333,303.2566667,300.909065,298.6433333,303.0583333,301.1135557,299.2733333,303.0466667,300.8985997,298.785,303.1883333,301.024752,298.7283333,303.09,301.2447729,299.12,302.9616667,301.3730799,299.1316667,302.905,301.0256209,298.9566667,303.0383333,301.1333708,298.9283333,304.0066667,301.3317754,299.0883333,304.9583333,301.8845557,299.4616667,303.4933333,301.0788752,299.0316667,302.9583333,300.6410959,298.64,303.67,300.721979,298.2933333,305.45,302.5854833,300.0316667,304.015,301.5600733,299.5166667,303.2333333,300.8677663,298.7033333,302.845,300.7109858,298.7,304.0533333,301.9108027,299.7,301.658911,301.3529851,301.1587273,300.6988927,300.2977286,300.9665842,300.909065,301.1135557,300.8985997,301.024752,301.2447729,301.3730799,301.0256209,301.1333708,301.3317754,301.8845557,301.0788752,300.6410959,300.721979,302.5854833,301.5600733,300.8677663,300.7109858,301.9108027
6,302.2636364,299.4679225,296.7181818,300.7733333,298.9503904,296.11,300.76,299.0430133,296.5233333,300.7316667,299.1365336,296.3783333,300.275,298.5929483,296.2816667,301.1683333,298.9191258,296.225,300.98,299.0148747,296.6633333,300.6383333,299.0645825,296.6316667,300.7483333,299.0814245,296.58,300.895,298.9626915,296.5166667,301.07,299.1061432,296.415,300.7366667,299.0494289,296.575,300.6433333,299.0713167,296.63,301.025,299.2675709,297.0466667,301.3316667,299.4920677,296.7983333,302.2633333,300.0614324,297.115,301.1066667,299.2840976,296.815,300.7933333,298.9734006,296.6766667,300.71,298.7129899,296.2233333,302.465,299.9039022,297.1516667,301.8733333,299.7511977,297.2733333,301.21,299.0794017,296.74,301.06,298.963853,296.4683333,301.92,299.7176854,296.945,299.4679225,298.9503904,299.0430133,299.1365336,298.5929483,298.9191258,299.0148747,299.0645825,299.0814245,298.9626915,299.1061432,299.0494289,299.0713167,299.2675709,299.4920677,300.0614324,299.2840976,298.9734006,298.7129899,299.9039022,299.7511977,299.0794017,298.963853,299.7176854
7,308.6909091,305.302674,300.0763636,307.3733333,304.3998083,299.6283333,307.5516667,305.0279365,300.1533333,306.7933333,303.8317981,299.6516667,305.4683333,303.2163534,298.9516667,304.4816667,302.4310696,298.5666667,305.59,303.1578038,299.015,304.7766667,302.6016827,298.8016667,306.255,303.6491836,299.4216667,304.6583333,302.8748977,299.005,304.3783333,302.6447406,298.9266667,305.2416667,303.1573061,299.0966667,305.5983333,303.5115534,299.705,306.7883333,304.4347446,299.7016667,307.7816667,304.8475067,300.18,307.9683333,305.4937467,300.605,306.3083333,304.1245743,299.7583333,304.22,302.5743334,298.7883333,306.3633333,304.0348078,299.4366667,308.0566667,305.2962974,300.9116667,307.7883333,304.9512741,300.3266667,308.2016667,305.0613307,299.8266667,307.425,304.1528739,299.185,307.8483333,304.305546,299.865,305.302674,304.3998083,305.0279365,303.8317981,303.2163534,302.4310696,303.1578038,302.6016827,303.6491836,302.8748977,302.6447406,303.1573061,303.5115534,304.4347446,304.8475067,305.4937467,304.1245743,302.5743334,304.0348078,305.2962974,304.9512741,305.0613307,304.1528739,304.305546
8,311.6254545,302.8318513,297.3236364,311.425,302.6943658,296.9716667,310.68,302.2569788,296.7666667,309.2983333,301.6307371,296.4716667,308.6383333,301.1658727,296.5166667,308.2433333,301.0291725,296.9066667,307.385,300.8299331,296.535,308.71,301.5662913,297.0533333,306.9633333,300.7616061,296.7866667,308.07,301.3013282,297.1416667,308.225,301.0859344,296.9583333,307.18,300.7617865,296.54,307.0583333,300.7183485,296.685,308.3333333,301.3436851,296.8866667,309.605,301.6915344,296.4516667,309.855,302.1866031,296.8016667,307.8233333,301.1572486,296.3333333,308.9216667,300.6276439,296.3733333,308.295,300.5334979,295.8766667,309.3183333,301.5992576,296.3716667,310.05,301.9380237,297.2133333,309.6783333,301.4128918,296.155,309.2366667,301.5600289,296.1683333,308.4166667,301.1820968,296.33,302.8318513,302.6943658,302.2569788,301.6307371,301.1658727,301.0291725,300.8299331,301.5662913,300.7616061,301.3013282,301.0859344,300.7617865,300.7183485,301.3436851,301.6915344,302.1866031,301.1572486,300.6276439,300.5334979,301.5992576,301.9380237,301.4128918,301.5600289,301.1820968
9,305.8472727,304.509499,300.5981818,305.7516667,303.8821236,299.6116667,306.1333333,304.2504698,300.4866667,304.4216667,302.8640269,299.4516667,304.4283333,302.8953914,300.1816667,304.2833333,302.6948089,299.475,304.8533333,303.1783992,299.6366667,304.605,303.2417735,300.1083333,304.5283333,303.079485,299.395,305.01,303.3432507,299.56,304.9383333,303.3133994,299.6266667,304.0066667,302.3876212,299.6833333,304.5183333,302.7024676,299.6716667,305.465,303.5390653,299.7533333,305.58,304.0313999,299.9266667,307.2283333,304.843666,300.155,304.06,302.7113568,299.7466667,303.9266667,302.4471364,299.32,304.8233333,303.0382238,299.285,305.4783333,303.8031741,299.695,305.1633333,303.4435001,299.545,304.4233333,302.9789483,300.1383333,304.57,302.8372524,299.8566667,304.525,303.1865025,299.9766667,304.509499,303.8821236,304.2504698,302.8640269,302.8953914,302.6948089,303.1783992,303.2417735,303.079485,303.3432507,303.3133994,302.3876212,302.7024676,303.5390653,304.0313999,304.843666,302.7113568,302.4471364,303.0382238,303.8031741,303.4435001,302.9789483,302.8372524,303.1865025
