asdf_id,worldpop_pop_count_1km_mosaic.2000.sum,worldpop_pop_count_1km_mosaic.2000.count,worldpop_pop_count_1km_mosaic.2001.sum,worldpop_pop_count_1km_mosaic.2001.count,worldpop_pop_count_1km_mosaic.2003.sum,worldpop_pop_count_1km_mosaic.2003.count,worldpop_pop_count_1km_mosaic.2002.sum,worldpop_pop_count_1km_mosaic.2002.count,worldpop_pop_count_1km_mosaic.2005.sum,worldpop_pop_count_1km_mosaic.2005.count,worldpop_pop_count_1km_mosaic.2004.sum,worldpop_pop_count_1km_mosaic.2004.count,worldpop_pop_count_1km_mosaic.2006.sum,worldpop_pop_count_1km_mosaic.2006.count,worldpop_pop_count_1km_mosaic.2008.sum,worldpop_pop_count_1km_mosaic.2008.count,worldpop_pop_count_1km_mosaic.2007.sum,worldpop_pop_count_1km_mosaic.2007.count,worldpop_pop_count_1km_mosaic.2009.sum,worldpop_pop_count_1km_mosaic.2009.count,worldpop_pop_count_1km_mosaic.2010.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2020.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,45970.0703125,1062.63000488,47035.8828125,1062.63000488,49470.703125,1062.63000488,48345.6484375,1062.63000488,52060.1757812,1062.63000488,50638.5234375,1062.63000488,53419.1835938,1062.63000488,56472.5078125,1062.63000488,55033.140625,1062.63000488,57942.625,1062.63000488,59601.75,1062.63000488,61356.3789062,1062.63000488,62881.078125,1062.63000488,64882.1679688,1062.63000488,66922.765625,1062.63000488,68747.25,1062.63000488,71156.859375,1062.63000488,73428.03125,1062.63000488,75796.4453125,1062.63000488,78273.484375,1062.63000488,80849.8984375,1062.63000488,ADM2,0,0,DOM,DOM-ADM2-62336421B4129984,Constanza,ADM2
1,14736.2080078,643.920043945,14754.046875,643.890014648,14836.921875,643.890014648,14827.0585938,643.890014648,14959.0253906,643.890014648,14940.546875,643.890014648,15013.5185547,643.890014648,15166.1074219,643.890014648,15104.9736328,643.890014648,15303.8398438,643.890014648,15488.1523438,643.890014648,15583.2177734,643.890014648,15605.8398438,643.890014648,15690.0292969,643.890014648,15843.3564453,643.890014648,15981.1689453,643.890014648,16100.6464844,643.890014648,16229.2382812,643.890014648,16351.7148438,643.890014648,16478.4648438,643.890014648,16611.4902344,643.890014648,ADM2,1,1,DOM,DOM-ADM2-62336421B77813703,Sabana De La Mar,ADM2
2,74844.140625,248.090011597,77744.734375,248.090011597,84006.5703125,248.090011597,81927.1328125,248.090011597,89146.8828125,248.090011597,86649.1953125,248.090011597,91864.375,248.090011597,98647.46875,248.090011597,94853.234375,248.090011597,104494.703125,248.090011597,107402.265625,248.090011597,111147.804688,248.090011597,113425.445312,248.090011597,118354.617188,248.090011597,121928.179688,248.090011597,126503.710938,248.090011597,131977.125,248.090011597,136775.421875,248.090011597,142350.25,248.090011597,148277.484375,248.090011597,153291.390625,248.090011597,ADM2,2,2,DOM,DOM-ADM2-62336421B53492119,Moca,ADM2
3,32907.8320312,1089.48999023,32802.625,1089.48999023,32459.3867188,1089.48999023,32701.8007812,1089.48999023,32123.9980469,1089.48999023,32240.4179688,1089.48999023,32005.1777344,1089.48999023,31838.5488281,1089.48999023,31828.5898438,1089.48999023,31656.4589844,1089.48999023,31513.3867188,1089.48999023,31426.4765625,1089.48999023,31294.90625,1089.48999023,31123.8417969,1089.48999023,31036.7988281,1089.48999023,30900.8984375,1089.48999023,30770.75,1089.48999023,30622.7539062,1089.48999023,30542.8457031,1089.48999023,30420.6875,1089.48999023,30310.6601562,1089.48999023,ADM2,3,3,DOM,DOM-ADM2-62336421B76783084,Bayaguana,ADM2
4,19353.3164062,186.660003662,19696.4316406,186.660003662,20543.0742188,186.660003662,20171.140625,186.660003662,21655.9707031,186.660003662,20984.3164062,186.660003662,22166.1582031,186.660003662,23429.5429688,186.660003662,22585.0644531,186.660003662,24157.015625,186.660003662,24985.7070312,186.660003662,25939.0664062,186.660003662,26729.7109375,186.660003662,27863.2695312,186.660003662,28916.0351562,186.660003662,30105.8574219,186.660003662,31415.0546875,186.660003662,32826.1640625,186.660003662,34232.0,186.660003662,35890.28125,186.660003662,37616.5625,186.660003662,ADM2,4,4,DOM,DOM-ADM2-62336421B67057363,El Factor,ADM2
5,159081.1875,954.510009766,161590.375,954.510009766,166688.03125,954.510009766,164067.25,954.510009766,172388.046875,954.510009766,169492.28125,954.510009766,175447.21875,954.510009766,181691.40625,954.510009766,178542.53125,954.510009766,184952.953125,954.510009766,188176.0625,954.510009766,191451.734375,954.510009766,195144.34375,954.510009766,198670.5625,954.510009766,202590.015625,954.510009766,206709.625,954.510009766,210575.21875,954.510009766,214638.6875,954.510009766,218798.5,954.510009766,223119.125,954.510009766,227513.859375,954.510009766,ADM2,5,5,DOM,DOM-ADM2-62336421B88781862,San Francisco De Macorís,ADM2
6,133719.796875,635.279968262,134718.015625,635.279968262,137656.375,635.279968262,136504.890625,635.279968262,139861.28125,635.279968262,139084.484375,635.279968262,141082.015625,635.279968262,144236.671875,635.279968262,142997.53125,635.279968262,146180.515625,635.279968262,149061.46875,635.279968262,148770.640625,635.279968262,149121.09375,635.279968262,150749.625,635.279968262,151930.6875,635.279968262,153787.84375,635.279968262,155252.421875,635.279968262,156712.453125,635.279968262,158312.25,635.279968262,159983.984375,635.279968262,161437.453125,635.279968262,ADM2,6,6,DOM,DOM-ADM2-62336421B54168564,Puerto Plata,ADM2
7,7965.85791016,147.119995117,7881.98144531,147.119995117,7825.96386719,147.119995117,7972.35351562,147.119995117,7848.50244141,147.119995117,7906.87304688,147.119995117,7875.13330078,147.119995117,7816.07519531,147.119995117,7840.29589844,147.119995117,7882.29394531,147.119995117,7814.04394531,147.119995117,7792.41210938,147.119995117,7689.44824219,147.119995117,7666.41894531,147.119995117,7660.78125,147.119995117,7627.50976562,147.119995117,7740.95166016,147.119995117,7728.9375,147.119995117,7704.15576172,147.119995117,7690.53125,147.119995117,7687.64501953,147.119995117,ADM2,7,7,DOM,DOM-ADM2-62336421B74290248,Jamao Al Norte,ADM2
8,17878.9101562,92.5,16779.7460938,92.5,14557.1425781,92.5,14830.4013672,92.5,13287.2265625,92.5,14134.5400391,92.5,12310.0439453,92.5,11521.8476562,92.5,11818.1259766,92.5,10633.9140625,92.5,10158.453125,92.5,10013.4160156,92.5,9720.25488281,92.5,9316.27148438,92.5,8661.10449219,92.5,8439.00195312,92.5,8120.86767578,92.5,7832.04296875,92.5,7382.33007812,92.5,7057.83837891,92.5,6737.19677734,92.5,ADM2,8,8,DOM,DOM-ADM2-62336421B99119250,Las Matas de Santa Cruz,ADM2
9,12911.7900391,591.5,13407.5039062,591.5,14711.6181641,591.5,14010.2714844,591.5,15962.4775391,591.5,15379.6132812,591.5,16950.8105469,591.5,18487.9804688,591.5,17727.4257812,591.5,19252.7304688,591.5,20275.3261719,591.5,21095.8359375,591.5,22056.5859375,591.5,22966.1464844,591.5,24168.9511719,591.5,25080.8144531,591.5,26337.2382812,591.5,27411.4296875,591.5,28792.1015625,591.5,30129.9238281,591.5,31529.3046875,591.5,ADM2,9,9,DOM,DOM-ADM2-62336421B39975758,Jimaní,ADM2
10,76492.3125,637.619995117,77978.921875,637.619995117,83833.21875,637.619995117,81747.125,637.619995117,92543.4921875,637.619995117,86785.734375,637.619995117,98606.875,637.619995117,102351.203125,637.619995117,101009.570312,637.619995117,106458.65625,637.619995117,107664.546875,637.619995117,114053.78125,637.619995117,120544.71875,637.619995117,125497.78125,637.619995117,129426.1875,637.619995117,134824.875,637.619995117,141522.1875,637.619995117,148411.640625,637.619995117,154149.8125,637.619995117,160868.015625,637.619995117,167438.65625,637.619995117,ADM2,10,10,DOM,DOM-ADM2-62336421B40996189,Baní,ADM2
