asdf_id,surface_pm25_annual_v5gl03.2015.mean,surface_pm25_annual_v5gl03.2016.mean,surface_pm25_annual_v5gl03.2019.mean,surface_pm25_annual_v5gl03.2018.mean,surface_pm25_annual_v5gl03.2014.mean,surface_pm25_annual_v5gl03.2008.mean,surface_pm25_annual_v5gl03.2002.mean,surface_pm25_annual_v5gl03.2009.mean,surface_pm25_annual_v5gl03.2007.mean,surface_pm25_annual_v5gl03.2000.mean,surface_pm25_annual_v5gl03.2006.mean,surface_pm25_annual_v5gl03.2013.mean,surface_pm25_annual_v5gl03.1998.mean,surface_pm25_annual_v5gl03.2012.mean,surface_pm25_annual_v5gl03.2004.mean,surface_pm25_annual_v5gl03.2005.mean,surface_pm25_annual_v5gl03.2011.mean,surface_pm25_annual_v5gl03.1999.mean,surface_pm25_annual_v5gl03.2010.mean,surface_pm25_annual_v5gl03.2003.mean,surface_pm25_annual_v5gl03.2017.mean,surface_pm25_annual_v5gl03.2021.mean,surface_pm25_annual_v5gl03.2001.mean,surface_pm25_annual_v5gl03.2020.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,16.76049359445633,18.148423884599996,16.165570208421453,17.691748860430184,17.51136004083678,15.552038066093935,15.623184439294771,15.012664760371951,16.06579783662813,12.40533744014576,15.20100855811589,16.63609061054403,11.275406224994372,15.969941228649386,14.811319385380434,17.080186870565406,16.91272946637404,11.283691697361364,17.358020531038623,16.95925382311214,19.2805071078913,17.67329248145,15.824160510862415,17.425751305554826,ADM2,0,0,DOM,DOM-ADM2-62336421B4129984,Constanza,ADM2
1,8.747004951174484,8.801010343855248,9.119750807494498,9.401764974238962,8.389774507431706,7.52679609010244,9.83809777216251,7.51759963430839,9.82492537428217,9.836101130735459,9.26574871160587,7.644543658117053,8.95509573267845,7.975071331336839,7.897896907176849,9.475128832004067,7.235671942224499,8.945237626918468,8.955179226344113,10.214828601047259,9.346537925042922,8.985340859496715,10.443502206058591,8.29175839342297,ADM2,1,1,DOM,DOM-ADM2-62336421B77813703,Sabana De La Mar,ADM2
2,12.044652410002625,12.286471252931674,12.11708706195977,12.701187958963576,11.707222216787244,10.43240893253132,12.947905537762905,10.089640823747724,12.66444563951203,12.07620214029315,11.859056477618642,10.866001587869393,11.192462045279717,10.742993196242923,10.593706346093661,13.346202668252383,10.771888309480909,10.385606756098198,12.30572266058758,13.56750420788039,13.470602555825197,12.13916063433509,13.529242801472856,11.353544005450793,ADM2,2,2,DOM,DOM-ADM2-62336421B53492119,Moca,ADM2
3,11.041392466328476,11.132696148518063,11.042840788693846,11.426849492966033,10.609546335285831,9.555599576511362,11.155594133234295,9.34637916738804,11.67518730793581,10.030201448853509,10.865461595052695,9.919593214617752,8.818195732754642,9.765499700273104,9.233022301686683,11.008295418591787,9.241487937927094,8.565984828013427,10.976311170325195,11.737911036651113,11.556233185801245,11.270448913062062,11.480020552583355,10.255413985552096,ADM2,3,3,DOM,DOM-ADM2-62336421B76783084,Bayaguana,ADM2
4,9.327313934508055,9.392630187730896,9.919683643779692,10.200993031509391,9.061767829031009,8.379813998316001,11.263851673732352,8.053923287377023,10.861051051008213,12.00745831392526,10.312388929383207,8.39582375791275,10.22348794989844,8.553191673122424,8.927408589611966,10.680820892587805,7.961259257285683,9.775774010663612,9.840451486226828,11.486904134968507,10.227187117541199,9.606016372218031,11.972643943770438,8.738341854646137,ADM2,4,4,DOM,DOM-ADM2-62336421B67057363,El Factor,ADM2
5,11.23096792234418,11.51605129078626,11.591421678341128,12.073598759049354,10.93037144574918,9.678096926052309,12.970526301297872,9.542031670870701,12.091382624858543,12.662050977034113,11.36545919638265,10.294762560643402,10.571676483842753,10.098271411554805,10.212905681010888,12.322948654441745,9.828941126916957,9.949485225848287,11.63752718392555,13.22091605430197,12.439454844512031,11.556433166676896,13.76855241884825,10.606651816644701,ADM2,5,5,DOM,DOM-ADM2-62336421B88781862,San Francisco De Macorís,ADM2
6,9.884047341200445,9.776664453859262,10.049295140327612,10.362776652843294,9.604471774099515,8.617602428796118,10.906990823421006,8.432826902971085,10.858492873929833,11.122037947049737,10.094033113398279,8.78728801603101,11.737660515244542,9.180845345031948,8.87203975831753,11.42853556940848,8.773367582644356,11.349053566332127,10.510495377099357,11.634675167832123,10.635016336287974,9.639584419745612,11.339421261278142,8.6387515983256,ADM2,6,6,DOM,DOM-ADM2-62336421B54168564,Puerto Plata,ADM2
7,10.095354199106328,10.101648964597663,10.343644405332936,10.59308863755633,9.723926549966976,8.621571629658453,11.657530420994334,8.492848933710295,10.926358420749828,11.812540536704669,10.32424596465686,9.015743972584012,11.533066365957076,9.232466655794406,9.24239316173136,11.52138544866197,8.94150122895852,11.141228469686116,10.578119615368493,12.100967504127869,10.900738215216961,9.848113751949766,12.032420484890789,9.045625138752746,ADM2,7,7,DOM,DOM-ADM2-62336421B74290248,Jamao Al Norte,ADM2
8,10.928278939668667,10.340532436881087,10.498763342346951,11.57149609152186,10.832288559043288,9.66342318201396,11.52692182996189,9.549859684650212,11.659875405015523,10.685145946675366,11.04153844625241,9.87528820767847,11.472497607861733,10.184616340892935,9.598787059068776,12.578437026210569,9.984193100514128,10.429752653806185,11.105046875974171,12.212182877657433,11.66608671497328,11.266692866756825,11.42680392865015,10.437156823965717,ADM2,8,8,DOM,DOM-ADM2-62336421B99119250,Las Matas de Santa Cruz,ADM2
9,14.335089514853014,13.417108446519027,12.699308835338933,13.28871782272613,13.15500706887293,12.366653595447517,13.640139065934909,11.914882443901213,13.01064892690755,11.958645201471905,13.207652053096183,13.505770906854567,9.31223278868994,13.326205184436438,12.111055422301366,13.566649046487973,13.080950283951656,9.033720913402334,14.459984334186023,14.280880611689462,14.181861321946426,14.246641474448092,12.760226852023616,14.425067985177126,ADM2,9,9,DOM,DOM-ADM2-62336421B39975758,Jimaní,ADM2
