index,municipality
0,Constanza
1,Sabana de la Mar
2,Moca
3,Bayaguana
4,El Factor
5,San Francisco de Macorís
6,Puerto Plata
7,Jamao al Norte
8,Las Matas de Santa Cruz
9,Jimaní
10,Baní
11,Villa Hermosa
12,El Cercado
13,Eugenio María de Hostos
14,Bohechío
15,Arenoso
16,Tábara Arriba
17,Vicente Noble
18,Consuelo
19,Puñal
20,Juan Santiago
21,La Descubierta
22,Boca Chica
23,Tenares
24,Villa Montellano
25,Sosúa
26,Las Charcas
27,Castañuelas
28,Jarabacoa
29,Jima Abajo
30,Pimentel
31,Yamasá
32,Sabana Iglesia
33,Dajabón
34,Los Cacaos
35,El Peñón
36,Fantino
37,Guananico
38,Hato Mayor
39,Tamboril
40,Miches
41,Monte Plata
42,Oviedo
43,El Llano
44,Guaymate
45,Los Hidalgos
46,Maimón
47,Mella
48,Monción
49,Monte Cristi
50,Neiba
51,Sabana Grande de Boyá
52,Las Yayas de Viajama
53,Licey al Medio
54,Las Guáranas
55,Las Salinas
56,Bajos de Haina
57,Castillo
58,Cevicos
59,Cristóbal
60,Hondo Valle
61,Imbert
62,La Ciénega
63,Los Ríos
64,Padre Las Casas
65,Paraíso
66,Pedro Brand
67,Peralta
68,Postrer Río
69,Pueblo Viejo
70,Sabana Grande de Palenque
71,San Juan
72,San Pedro de Macorís
73,San Rafael del Yuma
74,Santo Domingo de Guzmán
75,Villa Altagracia
76,Azua
77,Sabana Larga
78,Sánchez
79,San José de las Matas
80,Luperón
81,Comendador
82,Los Llanos
83,Piedra Blanca
84,Guayubín
85,Santo Domingo Este
86,Santo Domingo Norte
87,Santo Domingo Oeste
88,Villa Vásquez
89,Estebanía
90,Higüey
91,Río San Juan
92,Bisonó
93,Villa Los Almácigos
94,Peralvillo
95,Mao
96,Tamayo
97,Villa Riva
98,Esperanza
99,Guayacanes
100,Barahona
101,Bonao
102,Pepillo Salcedo
103,La Vega
104,San José de Ocoa
105,Rancho Arriba
106,Juan de Herrera
107,San Ignacio de Sabaneta
108,Villa González
109,Vallejuelo
110,Villa Isabela
111,Villa Tapia
112,Yaguate
113,Altamira
114,El Seibo
115,Jánico
116,Salcedo
117,Restauración
118,San Gregorio de Nigua
119,Cayetano Germosén
120,Galván
121,Gaspar Hernández
122,Guayabal
123,Jaquimeyes
124,Laguna Salada
125,La Mata
126,Las Matas de Farfán
127,Las Terrenas
128,Loma de Cabrera
129,Nagua
130,Partido
131,Pedro Santana
132,Duvergé
133,Sabana Yegua
134,Samaná
135,Los Alcarrizos
136,Nizao
137,Polo
138,Quisqueya
139,Bánica
140,Cotuí
141,San Antonio de Guerra
142,San Cristóbal
143,El Pino
144,Cambita Garabitos
145,Villa Jaragua
146,Ramón Santana
147,Fundación
148,Cabrera
149,Cabral
150,El Valle
151,Enriquillo
152,Santiago
153,Baitoa
154,Pedernales
155,Isla Beata
156,La Romana
157,Isla Saona
158,Isla Catalina
159,San Luis
160,San Víctor
161,Matanzas
