shapeName,id,year,total_sol
Constanza,0,1992,383.75149295368027
Sabana De La Mar,1,1992,81.56644715932656
Moca,2,1992,408.73810186234175
Bayaguana,3,1992,205.37882058807446
El Factor,4,1992,49.15675815282499
San Francisco De Macorís,5,1992,755.0577322544129
Puerto Plata,6,1992,545.2156067818984
Jamao Al Norte,7,1992,18.738039287983206
Las Matas de Santa Cruz,8,1992,13.923810379616183
Jimaní,9,1992,85.98860500501652
Baní,10,1992,600.9872429844503
Villa Hermosa,11,1992,435.3737646747745
El Cercado,12,1992,45.972213095631076
Eugenio María De Hostos,13,1992,14.932214529549377
Bohechío,14,1992,74.11705271695176
Arenoso,15,1992,25.721676580315716
Tábara Arriba,16,1992,48.82704111063014
Vicente Noble,17,1992,65.6701425446891
Consuelo,18,1992,97.41454124769163
Puñal,19,1992,466.79735241731015
Juan Santiago,20,1992,14.928653481602671
La Descubierta,21,1992,29.581021986346613
Boca Chica,22,1992,874.2095181751486
Tenares,23,1992,79.17821830677636
Villa Montellano,24,1992,63.49677045929668
Sosúa,25,1992,168.30447557454602
Las Charcas,26,1992,42.15115876454931
Castañuelas,27,1992,36.39572593444119
Jarabacoa,28,1992,416.8611934173342
Jima Abajo,29,1992,58.70042661632978
Pimentel,30,1992,58.795047254743544
Yamasá,31,1992,79.92594013596869
Sabana Iglesia,32,1992,33.871678919593485
Dajabón,33,1992,116.86513007400083
Los Cacaos,34,1992,26.544816042190675
El Peñón,35,1992,14.221364258405044
Fantino,36,1992,43.56960062384607
Guananico,37,1992,11.331957581610071
Hato Mayor,38,1992,328.019473461836
Tamboril,39,1992,302.52167901350015
Miches,40,1992,63.33225816838882
Monte Plata,41,1992,171.52698597379165
Oviedo,42,1992,117.51622522762591
El Llano,43,1992,14.63204833342164
Guaymate,44,1992,82.9577946923527
Los Hidalgos,45,1992,22.756140595031717
Maimón,46,1992,95.97179616362446
Mella,47,1992,61.04546337852289
Monción,48,1992,44.219757344500685
Monte Cristi,49,1992,112.01940932963407
Neiba,50,1992,114.06000205757569
Sabana Grande De Boyá,51,1992,95.47050077660998
Las Yayas De Viajama,52,1992,63.04680537435354
Licey Al Medio,53,1992,209.02012498051516
Las Guáranas,54,1992,37.167948142570594
Las Salinas,55,1992,20.58094785835813
Bajos de Haina,56,1992,686.8670812831207
Castillo,57,1992,37.140924168363505
Cevicos,58,1992,34.81060951051174
Cristóbal,59,1992,35.07257207339887
Hondo Valle,60,1992,15.854164967174624
Imbert,61,1992,56.95355529443305
La Ciénaga,62,1992,16.476076811581265
Los Ríos,63,1992,23.498560120778926
Padre Las Casas,64,1992,86.32424649756913
Paraíso,65,1992,20.517112123674035
Pedro Brand,66,1992,601.0118312051192
Peralta,67,1992,18.79690240735517
Postrer Río,68,1992,17.112231157866184
Pueblo Viejo,69,1992,28.777859730288093
Sabana Grande de Palenque,70,1992,34.370022419504096
San Juan,71,1992,578.2129126680246
San Pedro De Macorís,72,1992,858.3463409517908
San Rafael Del Yuma,73,1992,203.65951163213623
Santo Domingo De Guzmán,74,1992,2354.9350024803016
Villa Altagracia,75,1992,152.15678257138697
Azua,76,1992,347.590049786369
Sabana Larga,77,1992,54.564093654062226
Sánchez,78,1992,55.55678330984185
San José De Las Matas,79,1992,250.14729431855915
Luperón,80,1992,46.268660699444645
Comendador,81,1992,69.76070017052051
Los Llanos,82,1992,161.30561736521184
Piedra Blanca,83,1992,65.04632333207365
Guayubín,84,1992,124.05738824147221
Santo Domingo Este,85,1992,2078.723661305858
Santo Domingo Norte,86,1992,2660.8908815665577
Santo Domingo Oeste,87,1992,1226.94948442964
Villa Vásquez,88,1992,78.22579957287685
Estebanía,89,1992,38.35431895025221
Higüey,90,1992,1862.2306913959917
Río San Juan,91,1992,33.149620325658844
Bisonó,92,1992,153.7103277090718
Villa Los Almácigos,93,1992,27.744809300525525
Peralvillo,94,1992,20.175195211435067
Mao,95,1992,298.6332773321107
Tamayo,96,1992,123.4498987686985
Villa Riva,97,1992,69.43783618454252
Esperanza,98,1992,173.24462275122312
Guayacanes,99,1992,279.1418463882278
Barahona,100,1992,296.26593547586134
Bonao,101,1992,754.1314913611493
Pepillo Salcedo,102,1992,22.38675202660117
La Vega,103,1992,933.3018065155425
San José De Ocoa,104,1992,119.35726517830409
Rancho Arriba,105,1992,26.311074738321366
Juan De Herrera,106,1992,111.15979302472927
San Ignacio De Sabaneta,107,1992,150.1957516047884
Villa González,108,1992,274.65419802975424
Vallejuelo,109,1992,36.46806620111068
Villa Isabela,110,1992,34.672377919537176
Villa Tapia,111,1992,42.685943750540424
Yaguate,112,1992,97.19254544909096
Altamira,113,1992,38.70695673247762
El Seibo,114,1992,310.5159895449878
Jánico,115,1992,74.92158604857384
Salcedo,116,1992,120.55828203491717
Restauración,117,1992,37.25264595536626
San Gregorio de Nigua,118,1992,125.04997262440476
Cayetano Germosén,119,1992,16.958630872590867
Galván,120,1992,62.02843012175724
Gaspar Hernández,121,1992,84.73165555198989
Guayabal,122,1992,29.8055623458881
Jaquimeyes,123,1992,15.16404140223475
Laguna Salada,124,1992,43.26193693043554
La Mata,125,1992,72.66566721259377
Las Matas De Farfán,126,1992,154.00474330931903
Las Terrenas,127,1992,37.096163389700315
Loma De Cabrera,128,1992,36.811245299232944
Nagua,129,1992,214.23068253824516
Partido,130,1992,23.672291270599644
Pedro Santana,131,1992,70.7241770897426
Duvergé,132,1992,82.73265185540215
Sabana Yegua,133,1992,29.003909181262937
Samaná,134,1992,92.77231976655769
Los Alcarrizos,135,1992,796.0158143300637
Nizao,136,1992,47.51305275617861
Polo,137,1992,26.83827588084866
Quisqueya,138,1992,140.69238743881382
Bánica,139,1992,35.779412357509145
Cotuí,140,1992,397.9455597439233
San Antonio De Guerra,141,1992,240.51566336359465
San Cristóbal,142,1992,1096.1570187574216
El Pino,143,1992,13.256271609868488
Cambita Garabitos,144,1992,88.76000495336797
Villa Jaragua,145,1992,29.058753532930915
Ramón Santana,146,1992,50.44500491811949
Fundación,147,1992,65.31975966037487
Cabrera,148,1992,47.87983297837131
Cabral,149,1992,21.811612821618713
El Valle,150,1992,27.271063506807778
Enriquillo,151,1992,57.976550570276444
Santiago,152,1992,3496.2061979545697
Baitoa,153,1992,26.491043266946185
Pedernales,154,1992,147.79618305178246
Isla Beata,155,1992,2.9539862521723204
La Romana,156,1992,895.9383167731118
Isla Saona,157,1992,7.546375017481692
Isla Catalina,158,1992,0.19619053602218628
San Luis,159,1992,257.1399877464069
San Victor,160,1992,243.5254051025299
Matanzas,161,1992,128.62772255347056
Constanza,0,1993,425.7817105671064
Sabana De La Mar,1,1993,85.63306513566017
Moca,2,1993,460.6434952836703
Bayaguana,3,1993,216.81668456827884
El Factor,4,1993,53.23022236555229
San Francisco De Macorís,5,1993,879.4823899640463
Puerto Plata,6,1993,607.7368397018486
Jamao Al Norte,7,1993,19.63511480396869
Las Matas de Santa Cruz,8,1993,14.463423809701316
Jimaní,9,1993,89.97730366909038
Baní,10,1993,656.8955513335325
Villa Hermosa,11,1993,474.5257759337332
El Cercado,12,1993,48.26643209892745
Eugenio María De Hostos,13,1993,15.64743511285268
Bohechío,14,1993,77.66709836487681
Arenoso,15,1993,26.953688985635246
Tábara Arriba,16,1993,51.443413297948894
Vicente Noble,17,1993,73.55399967046345
Consuelo,18,1993,117.86147158011502
Puñal,19,1993,546.002341978807
Juan Santiago,20,1993,15.643703527485622
La Descubierta,21,1993,30.846490507908904
Boca Chica,22,1993,954.3263346654527
