asdf_id,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,0.401207054822,0.263253177761,0.194625185819,0.352943101763,0.299194316395,0.24120774821,0.351992805723,0.546143847587,0.31771902338,ADM2,0,0,DOM,DOM-ADM2-62336421B4129984,Constanza,ADM2
1,0.100588612728,0.0672964503046,0.0633866576406,0.0692123232777,0.0832866910532,0.0672781260074,0.0856781147469,0.10817115317,0.0956859730634,ADM2,1,1,DOM,DOM-ADM2-62336421B77813703,Sabana De La Mar,ADM2
2,2.86798565019,1.83316562594,1.37491535461,1.99075383035,2.01060236284,1.57289991871,2.31125766027,2.876479441,2.50923815654,ADM2,2,2,DOM,DOM-ADM2-62336421B53492119,Moca,ADM2
3,0.128496226751,0.0540025985515,0.0361623100113,0.0793970212844,0.0429558893348,0.0498910674021,0.130070889126,0.135143687288,0.125407821655,ADM2,3,3,DOM,DOM-ADM2-62336421B76783084,Bayaguana,ADM2
4,0.418199564273,0.264412591348,0.22399812603,0.269765752482,0.28741966001,0.275440492587,0.398318072281,0.506685201201,0.384315571905,ADM2,4,4,DOM,DOM-ADM2-62336421B67057363,El Factor,ADM2
5,1.52594088949,0.92351980299,0.726898604328,1.07919386638,1.12292499743,0.842374887894,1.23858045393,1.62053107803,1.36018293188,ADM2,5,5,DOM,DOM-ADM2-62336421B88781862,San Francisco De Macorís,ADM2
6,2.04482868014,1.33140616462,1.1089850567,1.60701259377,1.5024188829,1.29569896887,1.65582967159,1.84852132871,1.86031601781,ADM2,6,6,DOM,DOM-ADM2-62336421B54168564,Puerto Plata,ADM2
7,0.252165189248,0.0838244378301,0.0691979633592,0.174347355966,0.131898185651,0.0749339068681,0.220236893626,0.253253874729,0.261308976993,ADM2,7,7,DOM,DOM-ADM2-62336421B74290248,Jamao Al Norte,ADM2
8,0.559732418635,0.29519457263,0.248293247311,0.336627245856,0.347478864354,0.278546816117,0.399221503105,0.747700289434,0.432919479151,ADM2,8,8,DOM,DOM-ADM2-62336421B99119250,Las Matas de Santa Cruz,ADM2
9,0.170737033085,0.165481914218,0.084955031808,0.156046905866,0.173565628175,0.0883086339344,0.18242088466,0.216195274182,0.17577205468,ADM2,9,9,DOM,DOM-ADM2-62336421B39975758,Jimaní,ADM2
10,1.29813003569,0.938496472074,0.703068593474,1.05304761795,1.18731253221,0.828081454914,1.24545709903,1.71236039743,1.27100821216,ADM2,10,10,DOM,DOM-ADM2-62336421B40996189,Baní,ADM2
11,3.40874436764,3.09765116883,2.60689972562,3.2712773786,3.33848868262,3.27083348859,3.27915067223,3.49172774658,3.46774027811,ADM2,11,11,DOM,DOM-ADM2-62336421B92290454,Villa Hermosa,ADM2
12,0.421916135998,0.272936376932,0.232544558304,0.365789613583,0.280418244249,0.270919328696,0.476148844064,0.415902789584,0.463917273465,ADM2,12,12,DOM,DOM-ADM2-62336421B96628190,El Cercado,ADM2
13,0.302577179242,0.141179897694,0.0951008963128,0.180542038794,0.195074798731,0.136543806503,0.241239702621,0.403718577029,0.243611745615,ADM2,13,13,DOM,DOM-ADM2-62336421B60125690,Eugenio María De Hostos,ADM2
14,0.0988896855262,0.0893675948934,0.0857486137752,0.0868152110668,0.0698235149441,0.0854416739576,0.112736046432,0.112805099907,0.105546084122,ADM2,14,14,DOM,DOM-ADM2-62336421B62065221,Bohechío,ADM2
15,0.158963256736,0.0941551139354,0.0703191857687,0.0992853286587,0.102152573828,0.0963863053263,0.166966277349,0.213883259506,0.168962298014,ADM2,15,15,DOM,DOM-ADM2-62336421B63865508,Arenoso,ADM2
16,0.205501745177,0.136724394324,0.112215765739,0.173672284088,0.157248447165,0.137373267107,0.175460252271,0.307015326653,0.188641988081,ADM2,16,16,DOM,DOM-ADM2-62336421B3706850,Tábara Arriba,ADM2
17,0.390539015093,0.308567934699,0.268048022572,0.272935504543,0.342477819317,0.300289710804,0.285400042725,0.455413012671,0.3168924892,ADM2,17,17,DOM,DOM-ADM2-62336421B51467128,Vicente Noble,ADM2
18,0.834319326929,0.870559423819,0.673424528432,0.883525342353,1.10321723584,0.663304687515,0.937607823343,1.1063800529,0.863854015309,ADM2,18,18,DOM,DOM-ADM2-62336421B81143522,Consuelo,ADM2
19,9.11146442624,5.43757358012,4.40768568066,5.39737969009,5.68698619721,4.99615642934,6.88473706841,8.97418451654,8.26390715644,ADM2,19,19,DOM,DOM-ADM2-62336421B77754311,Puñal,ADM2
20,0.13660772586,0.069216242335,0.0498585907956,0.131311076158,0.143757604894,0.0515560657058,0.158033837148,0.125055970423,0.156012075231,ADM2,20,20,DOM,DOM-ADM2-62336421B7031628,Juan Santiago,ADM2
21,0.187233565253,0.127022126905,0.0382901977709,0.156764438836,0.156894223581,0.0496610728289,0.219772456889,0.207006525573,0.193796774525,ADM2,21,21,DOM,DOM-ADM2-62336421B66400184,La Descubierta,ADM2
22,7.70608096839,6.73181061076,5.83331898027,7.17030986164,7.54408379561,6.5836417636,7.47652278444,7.75353103073,7.67595617402,ADM2,22,22,DOM,DOM-ADM2-62336421B75913994,Boca Chica,ADM2
23,0.788050965819,0.617431733434,0.359440674559,0.610535917417,0.604398515294,0.605884624902,0.614147091127,0.765564533773,0.636762541164,ADM2,23,23,DOM,DOM-ADM2-62336421B90226291,Tenares,ADM2
24,1.15136876298,0.657213282315,0.479605187497,0.780691572885,0.673583771839,0.602911694004,0.876555891352,1.20469323087,0.998181582686,ADM2,24,24,DOM,DOM-ADM2-62336421B83253583,Villa Montellano,ADM2
25,1.2642205491,0.741961238058,0.642300797975,0.721591057852,0.767588193362,0.700822475246,0.839373344573,1.16516927932,1.00877409306,ADM2,25,25,DOM,DOM-ADM2-62336421B36707931,Sosúa,ADM2
26,0.276279527752,0.183882523827,0.0984447843752,0.185528190456,0.186620506584,0.143825301366,0.226170282144,0.418592056474,0.24030169408,ADM2,26,26,DOM,DOM-ADM2-62336421B93961828,Las Charcas,ADM2
27,1.26210494169,0.439241782465,0.590799772701,0.478272499081,0.445354890321,0.675124492712,0.780440481114,1.28675594922,1.03109426728,ADM2,27,27,DOM,DOM-ADM2-62336421B38836089,Castañuelas,ADM2
28,0.525743851675,0.28081288677,0.252501767445,0.296379282419,0.337840657024,0.284790170173,0.370583608097,0.546338940217,0.474302406726,ADM2,28,28,DOM,DOM-ADM2-62336421B5029861,Jarabacoa,ADM2
29,1.51605666077,0.649076862809,0.605578302445,0.877235092481,0.764108944998,0.65703405654,1.13951020971,1.32264226153,1.27774231902,ADM2,29,29,DOM,DOM-ADM2-62336421B55956095,Jima Abajo,ADM2
30,0.804755983412,0.31908368082,0.239535760292,0.428107533808,0.36009080255,0.305059389012,0.653742931703,0.781849419826,0.750450724651,ADM2,30,30,DOM,DOM-ADM2-62336421B23343019,Pimentel,ADM2
31,0.304870761179,0.133821963173,0.12224723761,0.165154870204,0.139688267269,0.1319695878,0.209855850116,0.354086187594,0.274949937362,ADM2,31,31,DOM,DOM-ADM2-62336421B66064530,Yamasá,ADM2
32,1.29910790624,0.73327123232,0.636122682947,0.918398837501,0.873163368662,0.85455819312,1.25841219969,1.41414323993,1.18687734381,ADM2,32,32,DOM,DOM-ADM2-62336421B72763564,Sabana Iglesia,ADM2
33,0.681480323674,0.345370916019,0.260591588634,0.402866376687,0.430209344505,0.2883309825,0.506677297623,0.670361437562,0.554918067719,ADM2,33,33,DOM,DOM-ADM2-62336421B46473536,Dajabón,ADM2
34,0.0371094290265,0.0318964032877,0.0340056697729,0.0215824091435,0.0348285369724,0.0317049968615,0.0238059384226,0.0247978301386,0.0306515052369,ADM2,34,34,DOM,DOM-ADM2-62336421B618112,Los Cacaos,ADM2
35,0.167833868967,0.132401008453,0.0856475388502,0.132326684476,0.149442782277,0.168890775901,0.169667367283,0.197140488913,0.14346185833,ADM2,35,35,DOM,DOM-ADM2-62336421B67134057,El Peñón,ADM2
36,1.31875167875,0.356054169305,0.362636283453,0.631474846076,0.47189744331,0.442519559882,0.995279114378,1.25114778497,1.20458983075,ADM2,36,36,DOM,DOM-ADM2-62336421B12424065,Fantino,ADM2
37,0.526595549143,0.217853997569,0.1396059416,0.365553765652,0.309981714438,0.249946761665,0.435960997577,0.531532400113,0.460283403516,ADM2,37,37,DOM,DOM-ADM2-62336421B71651036,Guananico,ADM2
38,0.380155437397,0.27421158013,0.219093779042,0.28160380114,0.301565695193,0.25208467556,0.361692908783,0.407925796527,0.385028217301,ADM2,38,38,DOM,DOM-ADM2-62336421B71472193,Hato Mayor,ADM2
39,4.78267344254,3.7408248592,2.4105773116,3.71632638117,3.94253398139,3.29660010612,3.98277334676,4.69212573412,4.4011733121,ADM2,39,39,DOM,DOM-ADM2-62336421B7563156,Tamboril,ADM2
40,0.17632016766,0.0940109191213,0.0647804749153,0.0767041035972,0.109597189023,0.072126072459,0.107990794705,0.210536992362,0.136151997426,ADM2,40,40,DOM,DOM-ADM2-62336421B22801617,Miches,ADM2
