asdf_id,cru_ts_407_pre_yearly_mean.2000.mean,cru_ts_407_pre_yearly_mean.2001.mean,cru_ts_407_pre_yearly_mean.2002.mean,cru_ts_407_pre_yearly_mean.2003.mean,cru_ts_407_pre_yearly_mean.2004.mean,cru_ts_407_pre_yearly_mean.2005.mean,cru_ts_407_pre_yearly_mean.2006.mean,cru_ts_407_pre_yearly_mean.2007.mean,cru_ts_407_pre_yearly_mean.2008.mean,cru_ts_407_pre_yearly_mean.2009.mean,cru_ts_407_pre_yearly_mean.2010.mean,cru_ts_407_pre_yearly_mean.2011.mean,cru_ts_407_pre_yearly_mean.2012.mean,cru_ts_407_pre_yearly_mean.2013.mean,cru_ts_407_pre_yearly_mean.2014.mean,cru_ts_407_pre_yearly_mean.2015.mean,cru_ts_407_pre_yearly_mean.2016.mean,cru_ts_407_pre_yearly_mean.2017.mean,cru_ts_407_pre_yearly_mean.2018.mean,cru_ts_407_pre_yearly_mean.2019.mean,cru_ts_407_pre_yearly_mean.2020.mean,cru_ts_407_pre_yearly_mean.2021.mean,cru_ts_407_pre_yearly_mean.2022.mean
0,144.0354639,144.1251832,137.9262816,153.8622443,135.3217166,146.1271427,140.3830601,149.4997812,140.482008,139.9662881,128.7262781,135.3029046,165.5431264,116.9665521,120.2852359,138.9352906,174.3149814,143.0480085,120.7932369,117.1271003,121.692923,135.9808523,148.9312797
1,157.0552715,155.4324186,149.3977192,181.7799782,157.7440621,162.4994521,161.0548397,156.7759484,157.2628806,162.9341745,158.1528656,161.6015036,171.9022234,154.4305153,131.2291869,152.8764203,193.0794234,160.9582458,136.0401715,122.8826478,139.0674532,149.8543514,172.260322
2,149.2493331,145.6962855,134.3237503,168.3934648,127.9918394,138.6893114,135.8004107,141.5275429,135.2279764,135.7007332,127.3863181,131.4441854,151.0798494,112.0619809,111.1375753,137.9021313,169.1261751,137.7347704,119.428205,111.2051252,120.3253141,128.9255443,151.5959126
3,145.365155,143.345457,139.4060632,163.7810611,146.5462158,149.7348502,148.5659117,146.2583369,146.722731,150.0219718,141.5181843,146.3924272,164.8295475,142.8507605,121.0196988,142.3234855,175.3348518,147.8500016,123.6878803,111.8636383,126.4924256,141.6257602,158.2416682
4,174.8250022,170.7488112,162.4678602,199.2142876,160.1083357,166.1761925,165.8357169,164.9904775,164.7511936,166.2511929,155.4738136,160.8547656,183.2976226,149.1988109,131.4392882,166.8309545,203.06905,165.6964299,142.8488114,127.3761919,143.2404777,156.9333354,185.4130971
5,151.3290068,146.1609545,136.2812465,170.8948456,131.1330183,138.4509601,137.7029412,139.3816022,137.3878357,137.6236418,128.0435704,132.7476235,152.8342348,119.2824708,109.3922016,140.2133571,170.1838205,138.4776615,120.1450994,108.4357465,120.2957622,131.2046453,154.8034679
6,147.0416667,146.0416686,126.9666681,175.8083378,117.7666683,136.7083368,132.4583343,145.4333363,128.4583359,133.4083363,127.9750017,126.9000015,140.391669,96.09166622,112.7333368,132.3166682,164.5083377,133.516669,115.4250018,113.5249995,122.1333357,120.4333369,145.1000007
7,173.387124,166.2984869,151.0416688,199.7537925,140.1030339,153.0787891,151.5765193,156.4719718,150.0037901,151.7833373,143.0500025,146.2022738,164.5825811,121.3939416,121.7401543,155.9553051,188.7606097,153.2007607,134.9181839,124.5840911,137.1333337,141.4196994,173.5386386
8,87.92619283,97.69523952,78.59643051,107.6654782,75.61190673,104.2845252,88.04643004,111.3428594,83.38095343,86.47142955,87.99523985,87.94285822,91.02857276,55.89762034,88.42619265,81.4904774,108.1976209,88.81666724,73.40714375,80.90357256,83.15119248,79.15833491,83.65357199
9,124.4911139,142.1142836,123.6679111,136.4725446,121.3294298,154.0925814,125.0024559,161.214853,127.8422923,122.070049,128.4037576,137.2513614,153.0691967,93.86745451,132.6019386,122.9225678,159.9771718,140.0320616,110.7641166,121.055912,116.8233293,129.0293328,123.7836422
10,112.7634706,108.9617242,108.2051057,118.1919826,110.123731,112.0021639,111.9936162,112.0064379,111.9936161,111.9926664,98.73879049,104.889174,133.0714973,101.4217538,90.90845613,110.0400628,132.6971111,110.6527155,92.29217412,85.124295,94.04710609,108.6469541,119.4908461
11,102.7871481,101.5352604,101.4877798,118.8355621,115.3717363,117.3285078,113.877907,108.3464496,110.1249231,116.8912951,117.6020911,119.0172032,118.2624715,117.3058298,96.62204521,101.9436242,135.0633647,114.3808142,93.81347562,87.07128595,98.87641251,104.0362463,116.9477279
12,112.5416691,128.6833374,111.9750002,125.708336,110.6541684,137.8708351,113.5000017,145.0166686,115.6791677,111.4125025,115.9125026,123.2000024,138.4333349,87.61250138,117.0958354,111.333336,146.0666691,125.8125014,100.6000012,108.8791679,105.0833347,116.9250021,113.1208348
13,158.7222249,154.183336,145.2083365,179.772226,141.5305576,148.0916682,147.5111139,148.1194464,146.9416688,147.6166687,137.5638916,142.569448,163.6111139,130.4333342,117.0694469,149.2527807,181.4750019,147.8694471,127.7805572,114.6388905,127.9583349,140.280557,165.1416675
14,124.4285217,131.6694792,120.8379862,136.5816526,118.6005723,135.7378406,123.2875618,141.3311738,123.6822083,122.3770661,118.1287412,123.6418891,146.149706,98.72287169,113.3984667,121.1915306,154.7357196,128.9199618,107.0094563,108.7122594,110.1118544,121.0489606,127.457918
15,179.2166688,175.266668,167.1750031,204.516668,165.1750024,171.1083355,170.8333359,169.5916678,169.6083368,171.3333359,160.3583377,165.8416704,188.6666705,154.3166682,135.3583358,171.6250019,208.9583359,170.5583344,146.9583352,130.8500013,147.4083349,161.4750023,190.9416688
16,115.0063303,114.7239366,111.977959,120.7635625,111.4605017,118.5609398,114.4902389,120.1822425,114.6575753,114.0364567,103.2831272,109.6683781,137.4535057,97.81312779,97.75976881,112.601688,139.3047105,115.5818891,96.37675797,92.83267597,97.76620733,111.359805,120.1760477
17,97.95458363,100.8533338,98.39333519,103.0412512,97.7308353,107.3158364,100.5758357,108.4404209,100.8183352,99.4858358,92.46916889,98.82666894,121.7245852,84.21125222,91.20791837,98.70791895,120.2133353,102.5945851,83.41916859,82.52083533,86.87916745,98.34333469,102.6033346
18,126.6833374,125.9250018,124.0583348,146.4083363,137.1916676,140.141669,137.575003,132.4583356,133.6250003,140.5583359,138.9750032,141.4083363,144.3750029,137.7166692,114.0583348,125.0666701,162.5166696,137.725002,114.0333354,105.1000023,117.9833364,127.4916716,142.5666679
19,128.666667,129.8750019,118.7083349,143.2666686,114.1166676,127.9583365,121.49167,133.2833366,120.9166692,121.2833347,115.0666695,118.391669,137.6333348,94.98333351,105.3750025,121.1416693,152.7000033,124.8166691,106.5500015,104.6000026,108.0750033,115.9500039,130.825002
20,121.1166692,142.7166705,119.6833334,136.6833369,118.3083354,155.7750012,121.2666683,164.4416696,124.6583343,118.1333375,128.2166689,137.2250024,148.5083367,90.00833396,132.9416687,119.0083356,159.0916688,138.9166689,109.2500014,121.8166682,114.2416677,127.841669,119.2916681
21,121.1166692,142.7166705,119.6833334,136.6833369,118.3083354,155.7750012,121.2666683,164.4416696,124.6583343,118.1333375,128.2166689,137.2250024,148.5083367,90.00833396,132.9416687,119.0083356,159.0916688,138.9166689,109.2500014,121.8166682,114.2416677,127.841669,119.2916681
22,118.2114356,114.4720381,111.7706649,129.4123112,116.2146387,118.4876097,117.5951682,116.2324585,116.6704087,118.4662494,109.3659894,114.1072993,133.6833537,111.2811465,96.98492535,113.6661099,139.6879288,117.2530445,97.50922973,89.83828594,101.0483894,112.5609589,124.9418664
23,159.3121229,153.2078055,142.0328953,180.6704867,135.11809,143.6750142,142.8859127,144.9710807,142.3653909,142.8412098,133.2935722,137.8224802,157.7317866,121.4944777,113.4961979,146.2179919,177.0382299,143.9395659,125.6091662,113.7571027,126.0647091,135.460001,161.9692449
24,147.0416667,146.0416686,126.9666681,175.8083378,117.7666683,136.7083368,132.4583343,145.4333363,128.4583359,133.4083363,127.9750017,126.9000015,140.391669,96.09166622,112.7333368,132.3166682,164.5083377,133.516669,115.4250018,113.5249995,122.1333357,120.4333369,145.1000007
25,164.6053044,159.5462137,143.0166681,191.7719738,132.6575783,147.6219714,145.2037906,152.7924264,142.8219717,145.6583366,138.0250019,139.7681827,156.5189433,112.9598493,118.7378816,148.075759,180.6765185,146.6393964,128.4204562,120.897727,132.1333341,134.4242448,164.0590921
26,91.97304025,89.63823751,89.49509942,95.10686422,91.17304084,93.39117953,92.57353127,93.55000231,92.61470733,92.44411957,81.11127677,86.72794339,112.173532,82.74313947,75.98970777,90.45196218,109.514217,91.45931524,75.7578448,70.82941361,77.1745109,90.00931549,97.52745362
27,88.06742645,98.39848623,78.51363816,107.2856078,75.52424414,105.8166678,88.31136528,112.9636385,83.48712215,86.45000094,88.48712307,88.90227371,91.09091034,55.47197094,89.68560801,81.25378902,108.3310623,89.13712181,73.51818277,81.82500121,83.68106258,79.49242586,82.74090953
28,131.0361126,132.0719878,121.6712136,144.9002149,117.3859027,130.7594666,124.4042026,135.7834662,123.9331062,124.1637321,117.1726053,120.9989162,141.9362568,98.37254099,107.6737503,123.8849561,156.0324382,127.6274401,108.7459165,106.5313364,110.1745119,119.0382097,133.6164919
29,148.4750029,143.6416701,134.2250032,167.400005,129.7083352,136.5833346,135.8500029,137.3833357,135.6083349,135.7583351,126.1666686,130.9333369,151.0833356,118.4916673,107.9250024,138.0666701,167.7333349,136.5250034,118.1916682,106.5333351,118.2333349,129.6833344,152.2416668
30,148.4750029,143.6416701,134.2250032,167.400005,129.7083352,136.5833346,135.8500029,137.3833357,135.6083349,135.7583351,126.1666686,130.9333369,151.0833356,118.4916673,107.9250024,138.0666701,167.7333349,136.5250034,118.1916682,106.5333351,118.2333349,129.6833344,152.2416668
31,152.2845274,147.2166704,143.1738111,166.701193,144.9464326,148.8309533,148.4785743,148.158335,148.0857168,148.7857172,135.7142879,142.053574,169.7023839,136.6940503,119.852382,146.6404782,177.4750034,148.0583356,125.2261919,113.5750014,126.4785717,143.2607163,160.6059556
32,128.666667,129.8750019,118.7083349,143.2666686,114.1166676,127.9583365,121.49167,133.2833366,120.9166692,121.2833347,115.0666695,118.391669,137.6333348,94.98333351,105.3750025,121.1416693,152.7000033,124.8166691,106.5500015,104.6000026,108.0750033,115.9500039,130.825002
33,93.20164836,106.4957066,83.11555767,110.9768108,80.24355165,116.8582038,93.45375725,124.5911353,88.73469569,90.5931883,94.9938759,97.67359915,97.44071923,57.96993317,98.92073897,84.98499199,115.0297132,95.84403671,78.30707504,89.70081574,89.13936323,85.99555987,84.58208191
34,148.3099696,142.4318123,138.924978,160.3046135,139.3034879,143.1620706,143.0297652,143.2282244,143.029764,143.0150646,128.8604929,135.4990392,165.2352333,129.7283176,115.2822133,142.231301,171.6263722,142.66519,120.8943844,110.0893492,121.7554961,138.4042541,155.071722
35,100.3583335,104.0833335,101.1833354,105.9250011,100.1333354,110.9833363,103.2583357,112.2666712,103.5333354,102.0083359,95.61666886,102.141669,124.7833351,85.70000215,94.8666683,101.4416691,123.6083353,105.8083351,85.84166861,85.50833527,89.6916674,101.0333346,104.9333344
