gqid,shapeGroup,shapeID,shapeName,shapeType,worldpop_pop_count_1km_mosaic.2000.count,worldpop_pop_count_1km_mosaic.2000.sum,worldpop_pop_count_1km_mosaic.2001.count,worldpop_pop_count_1km_mosaic.2001.sum,worldpop_pop_count_1km_mosaic.2002.count,worldpop_pop_count_1km_mosaic.2002.sum,worldpop_pop_count_1km_mosaic.2003.count,worldpop_pop_count_1km_mosaic.2003.sum,worldpop_pop_count_1km_mosaic.2004.count,worldpop_pop_count_1km_mosaic.2004.sum,worldpop_pop_count_1km_mosaic.2005.count,worldpop_pop_count_1km_mosaic.2005.sum,worldpop_pop_count_1km_mosaic.2006.count,worldpop_pop_count_1km_mosaic.2006.sum,worldpop_pop_count_1km_mosaic.2007.count,worldpop_pop_count_1km_mosaic.2007.sum,worldpop_pop_count_1km_mosaic.2008.count,worldpop_pop_count_1km_mosaic.2008.sum,worldpop_pop_count_1km_mosaic.2009.count,worldpop_pop_count_1km_mosaic.2009.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum
0,DOM,DOM-ADM2-62336421B4129984,Constanza,ADM2,1062.630005,45970.07031,1062.630005,47035.88281,1062.630005,48345.64844,1062.630005,49470.70313,1062.630005,50638.52344,1062.630005,52060.17578,1062.630005,53419.18359,1062.630005,55033.14063,1062.630005,56472.50781,1062.630005,57942.625,1062.630005,59601.75,1062.630005,61356.37891,1062.630005,62881.07813,1062.630005,64882.16797,1062.630005,66922.76563,1062.630005,68747.25,1062.630005,71156.85938,1062.630005,73428.03125,1062.630005,75796.44531,1062.630005,78273.48438,1062.630005,80849.89844
1,DOM,DOM-ADM2-62336421B77813703,Sabana De La Mar,ADM2,643.9200439,14736.20801,643.8900146,14754.04688,643.8900146,14827.05859,643.8900146,14836.92188,643.8900146,14940.54688,643.8900146,14959.02539,643.8900146,15013.51855,643.8900146,15104.97363,643.8900146,15166.10742,643.8900146,15303.83984,643.8900146,15488.15234,643.8900146,15583.21777,643.8900146,15605.83984,643.8900146,15690.0293,643.8900146,15843.35645,643.8900146,15981.16895,643.8900146,16100.64648,643.8900146,16229.23828,643.8900146,16351.71484,643.8900146,16478.46484,643.8900146,16611.49023
2,DOM,DOM-ADM2-62336421B53492119,Moca,ADM2,248.0900116,74844.14063,248.0900116,77744.73438,248.0900116,81927.13281,248.0900116,84006.57031,248.0900116,86649.19531,248.0900116,89146.88281,248.0900116,91864.375,248.0900116,94853.23438,248.0900116,98647.46875,248.0900116,104494.7031,248.0900116,107402.2656,248.0900116,111147.8047,248.0900116,113425.4453,248.0900116,118354.6172,248.0900116,121928.1797,248.0900116,126503.7109,248.0900116,131977.125,248.0900116,136775.4219,248.0900116,142350.25,248.0900116,148277.4844,248.0900116,153291.3906
3,DOM,DOM-ADM2-62336421B76783084,Bayaguana,ADM2,1089.48999,32907.83203,1089.48999,32802.625,1089.48999,32701.80078,1089.48999,32459.38672,1089.48999,32240.41797,1089.48999,32123.99805,1089.48999,32005.17773,1089.48999,31828.58984,1089.48999,31838.54883,1089.48999,31656.45898,1089.48999,31513.38672,1089.48999,31426.47656,1089.48999,31294.90625,1089.48999,31123.8418,1089.48999,31036.79883,1089.48999,30900.89844,1089.48999,30770.75,1089.48999,30622.75391,1089.48999,30542.8457,1089.48999,30420.6875,1089.48999,30310.66016
4,DOM,DOM-ADM2-62336421B67057363,El Factor,ADM2,186.6600037,19353.31641,186.6600037,19696.43164,186.6600037,20171.14063,186.6600037,20543.07422,186.6600037,20984.31641,186.6600037,21655.9707,186.6600037,22166.1582,186.6600037,22585.06445,186.6600037,23429.54297,186.6600037,24157.01563,186.6600037,24985.70703,186.6600037,25939.06641,186.6600037,26729.71094,186.6600037,27863.26953,186.6600037,28916.03516,186.6600037,30105.85742,186.6600037,31415.05469,186.6600037,32826.16406,186.6600037,34232,186.6600037,35890.28125,186.6600037,37616.5625
5,DOM,DOM-ADM2-62336421B88781862,San Francisco De Macorís,ADM2,954.5100098,159081.1875,954.5100098,161590.375,954.5100098,164067.25,954.5100098,166688.0313,954.5100098,169492.2813,954.5100098,172388.0469,954.5100098,175447.2188,954.5100098,178542.5313,954.5100098,181691.4063,954.5100098,184952.9531,954.5100098,188176.0625,954.5100098,191451.7344,954.5100098,195144.3438,954.5100098,198670.5625,954.5100098,202590.0156,954.5100098,206709.625,954.5100098,210575.2188,954.5100098,214638.6875,954.5100098,218798.5,954.5100098,223119.125,954.5100098,227513.8594
6,DOM,DOM-ADM2-62336421B54168564,Puerto Plata,ADM2,635.2799683,133719.7969,635.2799683,134718.0156,635.2799683,136504.8906,635.2799683,137656.375,635.2799683,139084.4844,635.2799683,139861.2813,635.2799683,141082.0156,635.2799683,142997.5313,635.2799683,144236.6719,635.2799683,146180.5156,635.2799683,149061.4688,635.2799683,148770.6406,635.2799683,149121.0938,635.2799683,150749.625,635.2799683,151930.6875,635.2799683,153787.8438,635.2799683,155252.4219,635.2799683,156712.4531,635.2799683,158312.25,635.2799683,159983.9844,635.2799683,161437.4531
7,DOM,DOM-ADM2-62336421B74290248,Jamao Al Norte,ADM2,147.1199951,7965.85791,147.1199951,7881.981445,147.1199951,7972.353516,147.1199951,7825.963867,147.1199951,7906.873047,147.1199951,7848.502441,147.1199951,7875.133301,147.1199951,7840.295898,147.1199951,7816.075195,147.1199951,7882.293945,147.1199951,7814.043945,147.1199951,7792.412109,147.1199951,7689.448242,147.1199951,7666.418945,147.1199951,7660.78125,147.1199951,7627.509766,147.1199951,7740.95166,147.1199951,7728.9375,147.1199951,7704.155762,147.1199951,7690.53125,147.1199951,7687.64502
8,DOM,DOM-ADM2-62336421B99119250,Las Matas de Santa Cruz,ADM2,92.5,17878.91016,92.5,16779.74609,92.5,14830.40137,92.5,14557.14258,92.5,14134.54004,92.5,13287.22656,92.5,12310.04395,92.5,11818.12598,92.5,11521.84766,92.5,10633.91406,92.5,10158.45313,92.5,10013.41602,92.5,9720.254883,92.5,9316.271484,92.5,8661.104492,92.5,8439.001953,92.5,8120.867676,92.5,7832.042969,92.5,7382.330078,92.5,7057.838379,92.5,6737.196777
9,DOM,DOM-ADM2-62336421B39975758,Jimaní,ADM2,591.5,12911.79004,591.5,13407.50391,591.5,14010.27148,591.5,14711.61816,591.5,15379.61328,591.5,15962.47754,591.5,16950.81055,591.5,17727.42578,591.5,18487.98047,591.5,19252.73047,591.5,20275.32617,591.5,21095.83594,591.5,22056.58594,591.5,22966.14648,591.5,24168.95117,591.5,25080.81445,591.5,26337.23828,591.5,27411.42969,591.5,28792.10156,591.5,30129.92383,591.5,31529.30469
