id,shapeName,suicides_2007,suicides_2008,suicides_2009,suicides_2010,suicides_2011,suicides_2012,suicides_2013,suicides_2014,suicides_2015,suicides_2016,suicides_2017,suicides_2018,suicides_2019,suicides_2020,suicides_2021
0,Santiago,69,84,75,87,76,71,57,69,68,56,69,77,85,81,91
1,Duarte,18,9,15,16,23,14,26,24,15,29,23,27,22,20,23
2,Elías Piña,6,2,5,2,0,1,7,0,4,0,4,3,0,5,5
3,Hato Mayor,6,3,5,1,4,13,6,7,4,8,5,7,3,7,8
4,La Vega,18,24,36,36,35,45,25,35,30,30,30,39,40,38,37
5,Sánchez Ramírez,15,8,11,13,9,17,11,7,6,12,9,13,7,8,6
6,Samaná,6,8,4,9,7,5,5,5,7,7,4,7,9,8,2
7,Valverde,15,12,14,10,24,9,13,11,14,19,15,21,11,15,11
8,Barahona,9,9,9,10,3,17,9,11,7,14,9,7,10,4,12
9,La Romana,11,8,18,12,13,14,10,11,11,14,15,13,10,15,15
10,Monseñor Nouel,5,9,4,11,13,11,14,10,6,19,14,14,10,6,12
11,Monte Cristi,6,4,9,6,10,8,6,11,10,6,9,7,8,10,13
12,Pedernales,3,1,0,3,1,2,1,0,1,2,0,1,1,0,2
13,Peravia,15,12,15,12,21,12,13,17,18,10,10,17,13,11,14
14,Puerto Plata,31,34,26,20,22,20,23,20,29,21,20,31,18,27,23
15,San José de Ocoa,7,6,6,4,7,5,5,6,2,9,4,4,6,2,10
16,San Juan,22,13,27,15,10,22,17,19,16,14,29,25,22,20,25
17,Santiago Rodríguez,1,3,5,7,3,5,5,7,10,6,7,4,4,3,7
18,Distrito Nacional,44,58,52,46,61,51,46,34,42,46,42,65,40,56,60
19,El Seibo,9,8,3,2,7,9,3,4,0,6,9,8,5,10,3
20,Espaillat,12,14,14,23,20,21,15,15,16,14,17,14,20,17,26
21,Hermanas Mirabal,6,7,11,7,16,10,11,7,6,12,9,9,9,6,10
22,Independencia,1,3,1,4,5,1,3,2,3,1,1,3,6,2,3
23,Baoruco,9,4,9,4,7,10,6,11,5,9,7,14,3,9,2
24,Azua,6,6,14,10,12,14,11,18,21,15,9,17,12,15,13
25,Dajabón,5,6,5,6,9,6,3,8,6,5,6,4,4,6,7
26,La Altagracia,14,22,18,13,25,26,29,26,23,24,30,27,27,23,29
27,María Trinidad. Sánchez,8,11,9,9,9,7,17,13,5,9,8,1,8,7,14
28,Santo Domingo,87,84,96,93,132,136,100,87,113,93,104,107,129,104,122
29,Monte Plata,7,8,8,10,11,10,16,16,10,10,15,15,18,12,12
30,San Cristóbal,28,28,23,31,28,30,35,25,22,35,22,32,32,34,43
31,San Pedro de Macorís,13,21,16,9,14,16,19,21,17,14,20,14,15,16,9
32,No declarada,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
