gqid,modis_lst_mod11c3_061_day_annual_mean.2001.mean,modis_lst_mod11c3_061_day_annual_mean.2002.mean,modis_lst_mod11c3_061_day_annual_mean.2003.mean,modis_lst_mod11c3_061_day_annual_mean.2004.mean,modis_lst_mod11c3_061_day_annual_mean.2005.mean,modis_lst_mod11c3_061_day_annual_mean.2006.mean,modis_lst_mod11c3_061_day_annual_mean.2007.mean,modis_lst_mod11c3_061_day_annual_mean.2008.mean,modis_lst_mod11c3_061_day_annual_mean.2009.mean,modis_lst_mod11c3_061_day_annual_mean.2010.mean,modis_lst_mod11c3_061_day_annual_mean.2011.mean,modis_lst_mod11c3_061_day_annual_mean.2012.mean,modis_lst_mod11c3_061_day_annual_mean.2013.mean,modis_lst_mod11c3_061_day_annual_mean.2014.mean,modis_lst_mod11c3_061_day_annual_mean.2015.mean,modis_lst_mod11c3_061_day_annual_mean.2016.mean,modis_lst_mod11c3_061_day_annual_mean.2017.mean,modis_lst_mod11c3_061_day_annual_mean.2018.mean,modis_lst_mod11c3_061_day_annual_mean.2019.mean,modis_lst_mod11c3_061_day_annual_mean.2020.mean,modis_lst_mod11c3_061_day_annual_mean.2021.mean,modis_lst_mod11c3_061_day_annual_mean.2022.mean,modis_lst_mod11c3_061_day_annual_mean.2023.mean
0,296.0535552,295.7112193,295.4012488,295.0793803,295.4588334,295.1200878,295.2648546,295.268094,295.3349167,295.6015207,295.2936612,295.1937243,295.0939119,295.7538783,295.8703286,295.6744249,294.9836781,294.9085935,295.9214299,295.8367238,295.2688657,294.7422169,295.44862
1,298.6826808,299.2667644,299.2677134,298.787178,299.2867846,299.0653296,299.2511527,299.220618,299.1463092,299.2613119,299.2619366,299.0762089,299.1447586,299.5469439,300.2106919,299.4912642,299.1541101,298.8735359,299.7924333,299.6715275,299.2351112,298.9831038,299.6345796
2,302.3071491,302.5102174,301.4734241,301.0274307,301.3350949,301.3841912,301.382044,301.5026603,301.6731817,301.7136149,301.6805808,301.5294416,301.6455027,302.2568972,302.7433176,301.4853915,301.2310631,301.8744644,303.3827494,302.2607511,301.3924437,301.046084,301.8141975
3,300.5061761,300.6930652,300.6997634,300.266414,300.9765422,300.5471904,300.5668653,300.6501066,300.4546911,300.9106791,300.7925726,300.4294062,300.8700711,301.0625752,301.2846054,300.5370377,300.1180384,299.9412462,301.0942939,301.2475786,300.5751051,300.0151108,300.9207352
4,299.7423205,300.0964782,299.926525,299.7461406,300.3593273,300.076081,300.3211711,300.0181572,300.1421023,300.626089,300.1729587,300.1121911,300.2079144,300.2669481,301.1162558,300.3822979,300.140133,299.615533,300.9037741,300.5722129,300.2478474,300.0514882,300.5804051
5,300.7029319,301.0097504,300.3193512,299.7865804,300.2816949,300.282907,300.544078,300.3304081,300.5671592,300.7415477,300.5383529,300.3428335,300.4159083,300.7763054,301.3511812,300.5029743,300.1789436,300.1234021,301.8800742,300.7700593,300.1915508,300.0375113,300.7494333
6,301.2253649,301.5289983,301.4308006,300.1145401,300.0535382,300.5667863,300.5971162,300.6251428,300.6109644,300.1319351,300.5662335,300.9195016,301.3449288,301.7890795,302.6253894,300.9220804,300.5499638,301.3773742,303.256689,301.9385166,300.9405078,300.8785832,301.8386466
7,301.4304363,301.3709643,301.1177403,300.3521746,300.4353814,300.9297166,300.8924871,300.6606582,301.0419845,300.6688543,300.6836518,301.1717578,300.8333709,301.7237109,302.6619104,300.942969,300.7617095,301.1294275,302.6920687,301.983374,300.8485222,300.766781,301.3208706
8,306.3977609,307.4946783,305.7966454,306.1052536,304.8401367,305.2759765,304.84007,306.2017513,305.0586701,304.7356149,306.1023247,306.4655537,306.7590843,307.2680117,308.4361692,306.6315689,304.6516296,306.7890962,308.3557475,308.2123465,308.6035556,307.1300981,306.8233819
9,305.6949592,305.3912411,305.0937117,304.6267282,304.4096258,303.6725988,303.6739561,303.5166072,303.8596755,303.4786852,303.5522259,303.1261994,304.2578114,304.3087771,305.4299352,304.2421359,303.7061772,304.545251,304.9607844,305.3508661,304.7331123,304.9539996,303.710123
