gqid,modis_lst_mod11c3_006_night_annual_mean.2000.mean,modis_lst_mod11c3_006_night_annual_mean.2001.mean,modis_lst_mod11c3_006_night_annual_mean.2002.mean,modis_lst_mod11c3_006_night_annual_mean.2003.mean,modis_lst_mod11c3_006_night_annual_mean.2004.mean,modis_lst_mod11c3_006_night_annual_mean.2005.mean,modis_lst_mod11c3_006_night_annual_mean.2006.mean,modis_lst_mod11c3_006_night_annual_mean.2007.mean,modis_lst_mod11c3_006_night_annual_mean.2008.mean,modis_lst_mod11c3_006_night_annual_mean.2009.mean,modis_lst_mod11c3_006_night_annual_mean.2010.mean,modis_lst_mod11c3_006_night_annual_mean.2011.mean,modis_lst_mod11c3_006_night_annual_mean.2012.mean,modis_lst_mod11c3_006_night_annual_mean.2013.mean,modis_lst_mod11c3_006_night_annual_mean.2014.mean,modis_lst_mod11c3_006_night_annual_mean.2015.mean,modis_lst_mod11c3_006_night_annual_mean.2016.mean,modis_lst_mod11c3_006_night_annual_mean.2017.mean,modis_lst_mod11c3_006_night_annual_mean.2018.mean,modis_lst_mod11c3_006_night_annual_mean.2019.mean,modis_lst_mod11c3_006_night_annual_mean.2020.mean
0,285.0795497,285.5789664,285.8638941,285.8787434,285.3530002,285.898582,285.7218887,285.443689,285.3026201,285.5841956,285.9452354,285.4033474,285.6040619,285.6647791,285.9872314,286.0049593,286.1354077,285.8327985,285.4876864,286.129513,286.308476
1,292.9036202,293.2456151,293.492335,293.5282614,293.0222135,293.5907941,293.5302882,293.5952102,293.1221616,292.9864174,293.3089727,293.1625535,293.2301016,293.1349133,293.6307029,293.9897063,293.8391726,293.3073491,292.7798358,293.3809569,293.1746639
2,291.946562,292.6952103,292.9273017,292.7434585,292.0007136,292.5253687,292.6730082,292.5494041,292.4244919,292.4829914,292.3528541,292.1417646,292.4927995,292.6918532,293.0794651,293.3411846,292.7249245,292.5664199,292.0568119,292.9329557,292.853391
3,292.3600702,292.7337509,293.0773777,293.2635474,292.924821,293.4100663,293.1313071,293.165049,292.8407825,293.0056164,293.1492064,292.8527855,292.9291991,293.0902788,293.3695977,293.5751994,293.3013613,292.9180159,292.3421336,292.928283,292.961148
4,292.7457212,293.4334591,293.430729,293.7767833,293.4182109,293.4837246,293.6152226,293.716245,293.2508862,293.302792,293.3952415,293.1178144,293.3890797,293.4241588,293.5702364,294.0050528,293.4640914,293.1543664,292.7214218,293.5817616,293.5564793
5,292.0351679,292.6389304,292.837086,292.8296183,292.2655924,292.539026,292.735403,292.6368345,292.3806586,292.40443,292.4246503,292.2289885,292.5328187,292.7013277,292.9111301,293.3120568,292.8088826,292.612453,291.9648857,292.8754761,292.9174227
6,292.7842491,293.4351987,293.741686,293.6040283,292.8475802,293.0488136,293.4555592,293.4157474,293.1924043,293.1701363,293.1580336,293.1145415,293.3473031,293.7036996,294.068285,294.3454537,293.7001725,293.2544586,293.0645968,293.9503781,293.7598024
7,292.5844671,293.240418,293.5984091,293.5316157,292.8643951,292.9417994,293.3076564,293.2267063,292.9673769,293.095,293.1195832,292.9609017,293.2370656,293.4022556,293.8095134,294.0684103,293.6533081,293.1936349,292.8172926,293.639366,293.5077665
8,294.3165442,294.7714679,295.5129558,295.2548501,294.6168973,294.4004411,294.3197468,294.6938871,294.38949,294.3959691,294.2754748,294.3273761,294.8973049,295.2862366,295.8326937,296.1512109,295.4446439,294.4643479,294.5547831,295.5150146,295.4673861
9,292.8425187,293.1576632,293.3661824,293.5043264,293.3074632,293.6590128,293.0964718,293.3226186,293.1392884,293.04267,293.6400037,293.559099,293.4593126,293.7569668,294.0603856,294.59855,294.235229,293.6938037,293.2644748,293.6092356,293.7740448
10,292.9223286,293.2030388,293.5231689,293.3866635,293.2308732,293.2242688,293.2864928,293.5204574,293.1280341,293.4437422,293.7735141,293.373585,293.3989743,293.5572618,293.7265295,294.0396057,293.4670945,292.920166,292.7214568,293.1031328,293.4922812
11,293.352139,293.7961277,294.2486147,294.3300875,293.5194095,293.8319147,293.8300366,294.0503734,293.8559977,293.8786525,294.01202,293.7903329,293.9244329,294.179045,294.5179533,295.0521142,294.396995,294.0896393,293.7768297,294.1569267,294.1945066
12,288.7437675,289.1665867,289.5141852,289.5792344,289.3049599,289.5938603,289.5448567,289.3494588,289.1660644,289.3109243,289.6085992,289.2608598,289.457876,289.6579666,290.0899994,290.3126728,290.2452113,289.8566579,289.5363946,289.9049723,290.0707347
