,index_left,code,name,latitude,longitude,start,close,type,sez_id,origin ,inv2000,inv2001,inv2002,inv2003,inv2004,inv2005,inv2006,inv2007,inv2008,inv2009,inv2010,inv2011,inv2012,inv2013,inv2014,inv2015,inv2016,ob_f_2000,tec_f_2000,adm_f_2000,ob_f_2001,tec_f_2001,adm_f_2001,ob_f_2002,tec_f_2002,adm_f_2002,ob_f_2003,tec_f_2003,adm_f_2003,ob_f_2004,tec_f_2004,adm_f_2004,ob_f_2005,tec_f_2005,adm_f_2005,ob_f_2006,tec_f_2006,adm_f_2006,ob_f_2007,tec_f_2007,adm_f_2007,ob_f_2008,tec_f_2008,adm_f_2008,ob_f_2009,tec_f_2009,adm_f_2009,ob_f_2010,tec_f_2010,adm_f_2010,ob_f_2011,tec_f_2011,adm_f_2011,ob_f_2012,tec_f_2012,adm_f_2012,ob_f_2014,tec_f_2014,adm_f_2014,ob_f_2015,tec_f_2015,adm_f_2015,ob_f_2016,tec_f_2016,adm_f_2016,ob_m_2000,tec_m_2000,adm_m_2000,ob_m_2001,tec_m_2001,adm_m_2001,ob_m_2002,tec_m_2002,adm_m_2002,ob_m_2003,tec_m_2003,adm_m_2003,ob_m_2004,tec_m_2004,adm_m_2004,ob_m_2005,tec_m_2005,adm_m_2005,ob_m_2006,tec_m_2006,adm_m_2006,ob_m_2007,tec_m_2007,adm_m_2007,ob_m_2008,tec_m_2008,adm_m_2008,ob_m_2009,tec_m_2009,adm_m_2009,ob_m_2010,tec_m_2010,adm_m_2010,ob_m_2011,tec_m_2011,adm_m_2011,ob_m_2012,tec_m_2012,adm_m_2012,ob_m_2014,tec_m_2014,adm_m_2014,ob_m_2015,tec_m_2015,adm_m_2015,ob_m_2016,tec_m_2016,adm_m_2016,ent2000,ent2001,ent2002,ent2003,ent2004,ent2005,ent2006,ent2007,ent2008,ent2009,ent2010,ent2011,ent2012,ent2013,ent2014,ent2015,ent2016,ele2000,ele2001,ele2002,ele2003,ele2004,ele2005,ele2006,ele2007,ele2008,ele2009,ele2010,ele2011,ele2012,ele2013,ele2014,ele2015,ele2016,com2000,com2001,com2002,com2003,com2004,com2005,com2006,com2007,com2008,com2009,com2010,com2011,com2012,com2013,com2014,com2015,com2016,inf2000,inf2001,inf2002,inf2003,inf2004,inf2005,inf2006,inf2007,inf2008,inf2009,inf2010,inf2011,inf2012,inf2013,inf2014,inf2015,inf2016,wat2000,wat2001,wat2002,wat2003,wat2004,wat2005,wat2006,wat2007,wat2008,wat2009,wat2010,wat2011,wat2012,wat2013,wat2014,wat2015,wat2016,tss2000,tss2001,tss2002,tss2003,tss2004,tss2005,tss2006,tss2007,tss2008,tss2009,tss2010,tss2011,tss2012,tss2013,tss2014,tss2015,tss2016,buiilt2000,buiilt2001,buiilt2002,buiilt2003,buiilt2004,buiilt2005,buiilt2006,buiilt2007,buiilt2008,buiilt2009,buiilt2010,buiilt2011,buiilt2012,buiilt2013,buiilt2014,buiilt2015,buiilt2016,ocu2000,ocu2001,ocu2002,ocu2003,ocu2004,ocu2005,ocu2006,ocu2007,ocu2008,ocu2009,ocu2010,ocu2011,ocu2012,ocu2013,ocu2014,ocu2015,ocu2016,sal_op2000,sal_op2001,sal_op2002,sal_op2003,sal_op2004,sal_op2005,sal_op2006,sal_op2007,sal_op2008,sal_op2009,sal_op2010,sal_op2011,sal_op2012,sal_op2013,sal_op2014,sal_op2015,sal_op2016,sal_tec2000,sal_tec2001,sal_tec2002,sal_tec2003,sal_tec2004,sal_tec2005,sal_tec2006,sal_tec2007,sal_tec2008,sal_tec2009,sal_tec2010,sal_tec2011,sal_tec2012,sal_tec2013,sal_tec2014,sal_tec2015,sal_tec2016,len2000,len2001,len2002,len2003,len2004,len2005,len2006,len2007,len2008,len2009,len2010,len2011,len2012,len2013,len2014,len2015,len2016,id,shapeName
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Constanza
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sabana De La Mar
2,58,DOM-MOC,Moca  ,19.39023321,-70.5372859,1989,0,public,58,1,20417613.51,22788310.31,23064181.66,19375638.58,21035018.44,15318517.88,18295503.41,11104546.94,12960052.24,12862324.05,21420726.14,19610193.8,9765436.56,9242927.02,12577321.8,11770957.9,17494945.85,3093,89,129,2495,117,52,2609,146,51,2278,199,52,2416,205,60,1546,122,39,1475,98,52,583,27,21,542,16,23,446,15,43,788,14,25,683,8,78,771,44,34,563,24,36,654,19,37,1018,26,35,2502,246,44,2394,241,44,2283,372,48,1903,342,93,2077,367,104,1355,282,31,1418,187,54,579,88,16,460,65,17,283,69,77,584,64,22,551,50,65,528,93,25,408,94,23,417,57,30,495,93,33,12,12,12,11,11,8,9,6,7,8,8,9,9,11,9,8,9,9048692.83,11848330.33,16017402.13,20580576.56,36782141.58,31797019.84,28623690.69,20431567.78,15461539.82,12297963.57,18430762.5,34625580.29,15231252.35,13507667.72,21318131.04,14446956.15,30417.06,0,0,0,2577300.69,5421317.15,2877672.98,2853336.62,1666301.56,1306154.42,1028481.88,1780206.8,2506450.27,1362112.84,1773034.13,1182812.63,1565896.24,3464.04,1734799.33,1540252.7,1805860.16,1618117.68,2040067.26,1696092.24,2059107.59,711877.12,522702.04,651579.59,659226.75,979866,1038076,483472.85,1260126.8,1086792,1066.08,4928,28169,28440,384307,820971.78,261170.02,676019.1,620213,276314,344422,488552,450474,494624.01,715872.19,1221553.99,713009,1374.31,10513308.64,13219724.88,15148268.92,10664549.11,6253512.68,8032525.54,8589113.57,7078101.48,44020643.25,12111774.73,17702444.62,26995360.95,36638223.68,28452853.89,24517943.22,32723267.31,41595.11,493156,493156,493156,493156,569848,512167,512167,512167,512167,512167,512167,512167,512167,468504.33,468504.33,476986.97,460645.75,493156,493156,493156,468213,569848,512167,512167,512167,512167,463021,479067,512167,437409.31,438706.85,427110.8,437107.2,444772.28,692.37,744.25,820.12,1110.63,1122.05,1259.27,1269.16,1237.83,1222.86,1286.37,1345.69,1603.33,1742.84,2043,2316.78,2597.49,2540.5,1445.94,1369.99,1442.44,1653.92,2280.81,2670.62,2400,3066.67,2780.42,2597.37,2684.83,2750,3550.31,3587.22,4106.91,4287.64,4488.96,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,2,Moca
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bayaguana
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,El Factor
5,28,DOM-FRA,San Francisco de Macoris ,19.27537126,-70.28770858,1990,0,public,29,1,5331860,5737738,5276529,5152726.27,5617302.37,2347939.3,1990981.67,645107.69,596096.89,999000,131939.96,1053438.3,588095,572061.16,344510.7,291266.4,3353902.07,514,24,11,395,22,20,641,4,19,512,2,18,596,9,20,317,6,14,296,14,15,264,5,16,41,5,7,43,5,1,50,5,1,63,5,2,60,5,2,63,6,1,67,6,3,66,6,2,398,27,10,357,35,13,519,67,6,480,32,6,408,41,5,301,47,5,284,37,5,222,31,1,29,19,1,18,17,1,19,18,1,23,21,2,27,23,4,23,21,2,27,21,3,27,21,1,5,6,5,5,5,4,4,2,2,1,1,2,2,2,2,2,2,1271259,1262821,1171659.02,3107986.38,4597762.1,3857469.33,4265731.7,3714134.71,682100.99,724743.81,694055.57,1072866.99,1087059.64,1095019,1156683.37,1204258.97,1305.68,0,0,0,504653.03,802987.27,1069807.25,790240.25,394075.88,101375.12,100809.59,100414.48,119289.24,149412.62,116761,147885.77,329018.32,350.56,133094.38,169572,139932.25,134164.82,872913,341433.69,352767.02,280707.02,38193.93,52802,60331,73794,85744.26,83881,98000.2,121506,130.4,155744,144790,183425,183970,199660,189315.4,406065.77,131864.66,26718,26718,26718,26718,29936,26718,27803.33,96540,96,1937598,2471334,1855853.22,2494719.22,1513103,1704888.96,1538836.81,4880664.06,3319852.88,1211011.08,1611791.29,1985346.79,1945604.44,2305575.81,2513008.97,2749604.74,2826.4,152007,180935,180935,180935,147515,164584,164584,164584,164584,164584,164584,164584,164584,159588.95,168398.35,168398.35,167242.44,107925,180935,164935,149470,147515,164584,98694,82897,82897,16584,48989,81654,64746.58,64746.58,64746.58,68730.94,71844.61,547.18,764.92,733.6,805.8,907.15,1135.27,1180.46,1026.92,1078.85,1247,1246.15,1246.15,1479.23,1589.23,1796.58,1930.35,1910.43,1575,4260,1380,1465.6,1840,2925.75,3050.75,2250,2250,2000,2500,2500,2800,3800,3015.4,3316.5,3316.54,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,5,San Francisco De MacorÃ­s
5,17,DOM-CON,Conacado Industrial Park ,19.32373849,-70.27604128,2013,0,private,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17850000,18200000,17036793.9,14670572.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,3,8,50,12,18,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,25,8,61,22,67,134,43,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6321459.58,4556012.57,7560914.81,7425.37,0,0,0,0,0,0,0,0,0,0,0,0,0,2773958.28,1309617.26,2115564.1,2420.58,0,0,0,0,0,0,0,0,0,0,0,0,0,416580,502808,550347.87,411.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338277.16,343.04,0,0,0,0,0,0,0,0,0,0,0,0,0,9351421.58,10325863.9,33159271.05,9261.6,0,0,0,0,0,0,0,0,0,0,0,0,0,38736,38736,38736,38736,0,0,0,0,0,0,0,0,0,0,0,0,0,38736,38736,38736,38736,0,0,0,0,0,0,0,0,0,0,0,0,0,2937.47,2909.56,2909.56,2909.56,0,0,0,0,0,0,0,0,0,0,0,0,0,5875,5874.94,5874.94,5874.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,San Francisco De MacorÃ­s
6,92,DOM-VER,Luperon Verde ,19.79325036,-70.68090459,2019,0,private,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Puerto Plata
6,74,DOM-PUE,Puerto Plata ,19.80291323,-70.72350803,1983,0,mix,74,1,7084891.3,7702847,7908010,6737670,7243739.7,5577664.02,3957960.35,3939774,3893221.55,4699014.8,2893421.81,4141555.4,6387900.94,8095878.26,8553756.2,12873522.6,13735084.78,1927,176,48,1818,163,58,1612,201,54,1384,175,42,1509,130,39,915,99,20,390,151,21,690,101,26,539,103,28,427,42,25,373,25,45,496,2,14,466,5,30,389,16,26,484,22,46,560,18,57,1251,144,39,1190,175,47,1091,302,38,1439,404,30,1161,347,32,697,262,31,304,295,25,606,162,22,501,161,21,368,117,22,353,32,42,421,20,12,502,30,17,375,77,20,406,83,24,292,54,28,10,11,12,11,10,9,8,7,6,10,7,6,7,6,6,9,10,5311906.08,6382882.63,4801949,9841753.51,14868005.65,11835927,10330810.56,11371193.78,7811303.43,10479512.62,52109546.38,6687413.52,8351288.95,9195261.13,9095511.43,13816381.09,12543.54,0,0,0,2546894.34,3495653.66,2751093.2,2193230.15,1756401.01,1183492.16,2900046.61,7905337.29,770961.32,1926275.46,1004942.44,901997.26,2037517.29,2170.7,786084.04,631521.55,667121.58,735598.13,791875.3,803361.37,865168.59,913969.94,818299.71,447281.7,4182443.12,167248.8,315526,394529.82,608851,1150966.61,1098.78,145265,129193,1234113,648764.22,756115,805447.47,453290.4,401389.02,214065,180449,6263721.21,118063.12,82041,118915,120081.5,231799.5,450.31,19892838.13,6419805.95,8956667,6659583.19,3581763.78,3011085.08,3522521.2,20366645.86,18774578.16,15721814.43,45396213.8,7312274.6,10192293.64,19794155.08,19743281.3,27061971.07,25730.32,418591,407889,431740.51,431740,444629,444629,444629,444629,444629,383353.57,412793.17,412793.17,412793.17,447903,447903,447903,451935,381467,393169,418358,418358,339683,171600.68,171150.59,153961,150579.34,368633.57,390573.17,289169.57,192134.17,310461,390491,412368,369515,616.94,617,806.06,878.92,1131.67,1146.74,1187.66,1458.16,1569.34,1496.51,1836.5,1660.5,1823.72,1784.86,1910.4,2260.84,2371.13,1437.13,1280.55,1486.49,1720,2056.9,2167.23,2306.14,2891.25,2969.5,3064.38,3522.93,3325,4500,3974.11,3575,3785,4466.67,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,6,Puerto Plata
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Jamao Al Norte
