,id,year,shapeName,inv,ob_f_,tec_f_,adm_f_,ob_m_,tec_m_,adm_m_,ent,ele,com,inf,wat,tss,buiilt,ocu,sal_op,sal_tec,pop,prep,temp,agr_,urb_,ntl_,egdp,len,sez,egdppc,lnegdppc,ntlpc,lnntlpc,new_var
0,0,2000,Constanza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45970.07031,144.0354639,0.0,0.0,0.0,0.0494568616662675,803.5579107693304,0.0,0,1000000.0174800236,13.815510575444298,1000000.0000010758,13.81551055796535,0
1,1,2000,Sabana De La Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14736.20801,157.0552715,0.0,0.0,0.0,0.0120130130855557,126.62835124392132,0.0,0,1000000.0085930078,13.815510566557283,1000000.0000008153,13.815510557965089,0
2,2,2000,Moca,20417613.51,3093.0,89.0,129.0,2502.0,246.0,44.0,12.0,9048692.83,0.0,1734799.33,4928.0,10513308.64,493156.0,493156.0,692.37,1445.94,74844.14063,149.2493331,0.0,0.0,0.0,0.2182822984004715,669.9138995454591,11.0,1,1000000.0089507862,13.81551056691506,1000000.0000029164,13.81551055796719,1
3,3,2000,Bayaguana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32907.83203,145.365155,0.0,0.0,0.0,0.0082296929370224,314.8095324675827,0.0,0,1000000.0095664015,13.815510567530676,1000000.0000002501,13.815510557964524,0
4,4,2000,El Factor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19353.31641,174.8250022,0.0,0.0,0.0,0.0079031413624204,81.01427339280353,0.0,0,1000000.0041860667,13.81551056215034,1000000.0000004084,13.815510557964682,0
5,5,2000,San Francisco De MacorÃ­sSan Francisco De MacorÃ­s,5331860.0,514.0,24.0,11.0,398.0,27.0,10.0,5.0,1271259.0,0.0,133094.38,155744.0,1937598.0,152007.0,107925.0,273.59,787.5,159081.1875,151.3290068,0.0,0.0,0.0,0.2084335657039045,1334.2855370213008,5.0,1,1000000.0083874502,13.815510566351724,1000000.0000013103,13.815510557965585,1
6,6,2000,Puerto PlataPuerto Plata,7084891.3,1927.0,176.0,48.0,1251.0,144.0,39.0,10.0,5311906.08,0.0,786084.04,145265.0,19892838.13,418591.0,381467.0,308.47,718.565,133719.7969,147.0416667,0.0,0.0,0.0,0.4005057199818026,1006.6278117694688,8.5,1,1000000.0075278892,13.815510565492163,1000000.0000029951,13.815510557967269,1
8,8,2000,Las Matas de Santa Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17878.91016,87.92619283,0.0,0.0,0.0,0.0215372812700504,20.5280120894605,0.0,0,1000000.001148169,13.815510559112443,1000000.0000012047,13.815510557965478,0
9,9,2000,JimanÃ­,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12911.79004,124.4911139,0.0,0.0,0.0,0.0041312652671189,117.97060946974096,0.0,0,1000000.0091366579,13.815510567100931,1000000.0000003199,13.815510557964593,0
10,10,2000,BanÃ­,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76492.3125,112.7634706,0.0,0.0,0.0,0.2700044225502159,972.4941634019513,0.0,0,1000000.0127136196,13.815510570677894,1000000.0000035298,13.815510557967803,0
11,11,2000,Villa Hermosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68234.73438,102.7871481,0.0,0.0,0.0,0.4378681976091974,801.0442765740788,0.0,0,1000000.0117395383,13.815510569703813,1000000.000006417,13.815510557970692,0
12,12,2000,El Cercado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24365.80078,112.5416691,0.0,0.0,0.0,0.0010552794727086,63.659482583462015,0.0,0,1000000.0026126571,13.81551056057693,1000000.0000000433,13.815510557964318,0
13,13,2000,Eugenio MarÃ­a De Hostos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6021.932129,158.7222249,0.0,0.0,0.0,7.650234294320693e-05,21.572172420281987,0.0,0,1000000.0035822676,13.815510561546542,1000000.0000000127,13.815510557964286,0
15,15,2000,Arenoso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11609.46875,179.2166688,0.0,0.0,0.0,0.0001828564796125,36.23584569207593,0.0,0,1000000.003121232,13.815510561085507,1000000.0000000157,13.81551055796429,0
16,16,2000,TÃ¡bara Arriba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10947.07715,115.0063303,0.0,0.0,0.0,0.0045362983629368,68.31394130944037,0.0,0,1000000.0062403819,13.815510564204656,1000000.0000004144,13.81551055796469,0
17,17,2000,Vicente Noble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24855.83008,97.95458363,0.0,0.0,0.0,0.0351059159504943,106.82414772224196,0.0,0,1000000.0042977502,13.815510562262025,1000000.0000014124,13.815510557965686,0
18,18,2000,Consuelo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30409.91797,126.6833374,0.0,0.0,0.0,0.0684026457524652,177.28057505780575,0.0,0,1000000.005829696,13.81551056379397,1000000.0000022494,13.815510557966524,0
19,19,2000,PuÃ±alPuÃ±al,18051016.0,1679.0,549.0,126.0,2522.0,678.0,197.0,15.0,8864202.0,0.0,0.0,457832.0,4009688.0,825766.0,825766.0,409.635,976.025,53928.84375,128.666667,0.0,0.0,0.0,1.5821496833553812,810.5891220335867,1.5,1,1000000.0150307157,13.81551057299499,1000000.0000293377,13.815510557993612,1
21,21,2000,La Descubierta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7141.263672,121.1166692,0.0,0.0,0.0,0.0118855583418626,40.50589173839371,0.0,0,1000000.0056720902,13.815510563636364,1000000.0000016644,13.815510557965938,0
22,22,2000,Boca ChicaBoca ChicaBoca ChicaBoca ChicaBoca ChicaBoca Chica,108494932.0,5897.0,221.0,485.0,3062.0,359.0,431.0,21.0,40113475.51,0.0,3886819.55,663789.0,18542249.0,1235000.0,1224760.0,215.60833333333335,545.195,87795.375,118.2114356,0.0,0.0,0.0,0.8853819129602367,1479.5044919074753,2.6666666666666665,1,1000000.0168517361,13.81551057481601,1000000.0000100846,13.815510557974358,1
23,23,2000,Tenares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25391.66016,159.3121229,0.0,0.0,0.0,0.0238456233025618,127.77130970943207,0.0,0,1000000.0050320188,13.815510562996293,1000000.0000009391,13.815510557965213,0
24,24,2000,Villa Montellano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18897.81445,147.0416667,0.0,0.0,0.0,0.1005853244332393,109.05805281996729,0.0,0,1000000.0057709346,13.81551056373521,1000000.0000053226,13.815510557969597,0
25,25,2000,SosÃºa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41094.08203,164.6053044,0.0,0.0,0.0,0.2154820727810652,334.9493497254216,0.0,0,1000000.0081507928,13.815510566115067,1000000.0000052436,13.815510557969517,0
26,26,2000,Las Charcas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6958.457031,91.97304025,0.0,0.0,0.0,0.0011222600266985,59.08565548462609,0.0,0,1000000.0084912007,13.815510566455474,1000000.0000001612,13.815510557964435,0
27,27,2000,CastaÃ±uelas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13923.75391,88.06742645,0.0,0.0,0.0,0.0366380408307283,62.37099312847736,0.0,0,1000000.0044794668,13.815510562443741,1000000.0000026313,13.815510557966906,0
28,28,2000,Jarabacoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56985.625,131.0361126,0.0,0.0,0.0,0.0514189960472347,751.9163968111956,0.0,0,1000000.0131948434,13.815510571159118,1000000.0000009023,13.815510557965176,0
30,30,2000,Pimentel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18116.98047,148.4750029,0.0,0.0,0.0,0.0322117511567603,99.43472691301038,0.0,0,1000000.0054884823,13.815510563452756,1000000.000001778,13.815510557966052,0
31,31,2000,YamasÃ¡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31116.2207,152.2845274,0.0,0.0,0.0,0.0074964486034617,115.69378055094502,0.0,0,1000000.0037181181,13.815510561682393,1000000.0000002409,13.815510557964515,0
32,32,2000,Sabana Iglesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12953.12305,128.666667,0.0,0.0,0.0,0.0004308573806491,54.57787216586227,0.0,0,1000000.0042134913,13.815510562177765,1000000.0000000333,13.815510557964307,0
33,33,2000,DajabÃ³n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33292.73047,93.20164836,0.0,0.0,0.0,0.0332604806430911,183.89917866187352,0.0,0,1000000.0055237038,13.815510563487978,1000000.0000009991,13.815510557965274,0
35,35,2000,El PeÃ±Ã³n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,100.3583335,0.0,0.0,0.0,0.0263284054262056,21.93919826903764,0.0,0,1000000.0,13.815510557964274,1000000.0,13.815510557964274,0
36,36,2000,Fantino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23266.71875,148.4750029,0.0,0.0,0.0,0.0375984503315324,72.22853871081387,0.0,0,1000000.0031043715,13.815510561068646,1000000.000001616,13.81551055796589,0
38,38,2000,Hato Mayor,2376975.0,309.0,8.0,6.0,166.0,17.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,82000.0,66097.0,587.33,1700.0,46593.04688,126.6833374,0.0,0.0,0.0,0.0247886790308518,610.99402069952,10.0,1,1000000.0131134163,13.81551057107769,1000000.000000532,13.815510557964807,1
39,39,2000,TamborilTamborilTamborilTamboril,220900.0,14.0,0.0,1.0,5.0,0.0,5.0,1.0,4500.0,0.0,0.0,0.0,15230.0,80000.0,20000.0,162.5,0.0,53746.53906,135.5439881,0.0,0.0,0.0,0.4061142258046925,578.5248004094055,0.75,1,1000000.0107639452,13.81551056872822,1000000.000007556,13.81551055797183,0
41,41,2000,Monte Plata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44630.375,149.5166698,0.0,0.0,0.0,0.0175717413556698,258.69743584052617,0.0,0,1000000.0057964432,13.815510563760718,1000000.0000003937,13.815510557964668,0
42,42,2000,Oviedo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,106.5201284,0.0,0.0,0.0,0.0003344870089829,162.50656630250757,0.0,0,1000000.0,13.815510557964274,1000000.0,13.815510557964274,0
44,44,2000,Guaymate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17377.56836,107.83963,0.0,0.0,0.0,0.0371064137787715,131.0563507587302,0.0,0,1000000.0075416968,13.81551056550597,1000000.0000021353,13.815510557966409,0
45,45,2000,Los Hidalgos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13514.15918,111.2616684,0.0,0.0,0.0,0.0368201002407047,34.0428913202356,0.0,0,1000000.0025190536,13.815510560483327,1000000.0000027246,13.815510557966999,0
46,46,2000,MaimÃ³n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17858.4707,153.3916704,0.0,0.0,0.0,0.1829098429992517,158.952425258183,0.0,0,1000000.008900674,13.815510566864948,1000000.0000102422,13.815510557974516,0
48,48,2000,MonciÃ³n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11429.7832,134.7583361,0.0,0.0,0.0,0.0102028373611223,69.3332672085248,0.0,0,1000000.0060660177,13.815510564030292,1000000.0000008927,13.815510557965167,0
49,49,2000,Monte Cristi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23801.46484,88.51005084,0.0,0.0,0.0,0.0222278757278524,183.41382337557343,0.0,0,1000000.0077059888,13.815510565670262,1000000.0000009339,13.815510557965208,0
50,50,2000,Neiba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26109.63672,103.7696078,0.0,0.0,0.0,0.0261205355157213,201.53249867190328,0.0,0,1000000.0077187017,13.815510565682976,1000000.0000010005,13.815510557965274,0
51,51,2000,Sabana Grande De BoyÃ¡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25737.74219,161.3752568,0.0,0.0,0.0,0.0238158744368461,146.34954547338629,0.0,0,1000000.0056861843,13.815510563650458,1000000.0000009254,13.8155105579652,0
52,52,2000,Las Yayas De Viajama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12609.22754,121.7549602,0.0,0.0,0.0,0.0013356565236528,87.20427039341597,0.0,0,1000000.006915909,13.815510564880183,1000000.0000001059,13.81551055796438,0
53,53,2000,Licey Al MedioLicey Al MedioLicey Al Medio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28674.05664,128.666667,0.0,0.0,0.0,1.0631631036416829,389.8123547189376,0.0,0,1000000.0135946008,13.815510571558875,1000000.0000370776,13.815510558001352,0
54,54,2000,Las GuÃ¡ranas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13512.1416,148.4750029,0.0,0.0,0.0,0.0799360689637098,60.08054923824237,0.0,0,1000000.0044464121,13.815510562410687,1000000.0000059159,13.81551055797019,0
55,55,2000,Las Salinas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4609.132813,100.3583335,0.0,0.0,0.0,0.0089718063269476,29.30073814304435,0.0,0,1000000.0063571043,13.815510564321379,1000000.0000019466,13.81551055796622,0
56,56,2000,Bajos de Haina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79874.52344,110.3083348,0.0,0.0,0.0,6.037080045021183,998.6556345098156,0.0,0,1000000.0125028056,13.81551057046708,1000000.0000755821,13.815510558039856,0
57,57,2000,Castillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15999.05371,156.8590936,0.0,0.0,0.0,0.0185736914417379,57.371455594137586,0.0,0,1000000.003585928,13.815510561550202,1000000.0000011609,13.815510557965435,0
61,61,2000,Imbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24896.56445,147.0416667,0.0,0.0,0.0,0.0303997873855111,88.7027916811261,0.0,0,1000000.0035628527,13.815510561527127,1000000.0000012211,13.815510557965496,0
63,63,2000,Los RÃ­os,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,122.8609659,0.0,0.0,0.0,0.006721214050861,32.51574404642862,0.0,0,1000000.0,13.815510557964274,1000000.0,13.815510557964274,0
64,64,2000,Padre Las Casas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63e+38,140.4124363,0.0,0.0,0.0,0.0041581177722536,119.71049455655556,0.0,0,1000000.0,13.815510557964274,1000000.0,13.815510557964274,0
66,66,2000,Pedro Brand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42072.05469,153.3916704,0.0,0.0,0.0,0.437423332710422,1013.8429793797288,0.0,0,1000000.0240977767,13.81551058206205,1000000.000010397,13.81551055797467,0
68,68,2000,Postrer RÃ­o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3124.105225,121.1166692,0.0,0.0,0.0,0.0047085821101366,23.600984479223992,0.0,0,1000000.0075544781,13.815510565518752,1000000.0000015072,13.815510557965782,0
69,69,2000,Pueblo Viejo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11070.07813,84.33333389,0.0,0.0,0.0,0.0076751807357406,48.11158607905987,0.0,0,1000000.0043460927,13.815510562310367,1000000.0000006934,13.815510557964968,0
