ntl_2000,ntl_2016
0.049456862,0.26142365
0.012013013,0.054829417
0.218282298,2.052055356
0.008229693,0.047436776
0.007903141,0.16887102
0.208433566,0.933718914
0.40050572,1.622685778
0,0.057913906
0.021537281,0.33453897
0.004131265,0.119682936
0.270004423,0.853987501
0.437868198,2.905253606
0.001055279,0.255775502
7.65E-05,0.077200846
0,0.056175102
0.000182856,0.023777289
0.004536298,0.12365233
0.035105916,0.195608577
0.068402646,0.674133938
1.582149683,5.463630426
0,0.093003429
0.011885558,0.128165471
0.885381913,6.403086482
0.023845623,0.606438289
0.100585324,0.693083197
0.215482073,0.602776944
0.00112226,0.10289492
0.036638041,0.343119855
0.051418996,0.223152253
0,0.570147178
0.032211751,0.258904768
0.007496449,0.0877721
0.000430857,0.707503926
0.033260481,0.320111433
0,0
0.026328405,0.061701319
0.03759845,0.329266004
0,0.280597563
0.024788679,0.204607733
0.406114226,3.517792828
0,0.05252716
0.017571741,0.082856271
0.000334487,0.019008005
0,0.073267129
0.037106414,0.113952486
0.0368201,0.209830275
0.182909843,1.589951832
0,0.025109401
0.010202837,0.170591684
0.022227876,0.139893882
0.026120536,0.266340452
0.023815874,0.013271869
0.001335657,0.051818424
1.063163104,6.517544534
0.079936069,0.391490909
0.008971806,0.059593244
6.037080045,11.19537836
0.018573691,0.11957248
0,0.025029096
0,0.035899523
0,0.066280209
0.030399787,0.393312839
0,0.034172075
0.006721214,0.104508371
0.004158118,0.041018181
0,0.041772454
0.437423333,1.538323194
0,0.045662342
0.004708582,0.087531569
0.007675181,0.698113369
0,1.883623866
0.028601618,0.333842834
2.080296745,5.991557777
0.006066711,0.061337907
24.58788715,38.17651377
0.051524593,0.191650019
0.123151498,0.681499313
0.00238105,0.09842583
0.008655846,0.124973713
0.003213617,0.042828944
0.004284398,0.067029125
0.004678108,0.270200624
0.024627408,0.196553406
0,0.156958583
0.006250915,0.131420197
8.65376192,22.14750918
2.454605692,3.556726214
11.63309972,21.90932938
0.022367217,0.220855554
0.002721579,0.096373357
0.14895305,0.842337006
0,0.051939432
0.603133862,2.912023028
0,0.039105825
0,0.063638958
0.059397635,0.736976625
0.004319372,0.139070647
0.011721613,0.057911053
0.067895529,0.807387745
0.142589201,1.143205282
0.486114186,2.0258291
0.164136826,0.571397486
0.004017302,0.186834353
0.225693214,1.439383674
0.007246252,0.06225542
0,0.009773127
0.028590924,0.52509881
0.00776846,0.1043017
0.230733746,1.897319008
0.003454526,0.313224059
0.009584979,0.108725476
0.017824042,0.217052725
0.013056049,1.258476016
0,0.148218799
0.009106089,0.098028511
0,0.016431758
0.030064136,0.778384832
0,0.005226828
0.502381526,2.243048103
0.153622432,0.811827265
0.009340607,0.161816967
0.022820966,0.182057669
0,0.009185711
0,0.057430321
0,0.267628991
0.030764458,0.163480082
0.036710817,0.197434621
0.029675455,0.524333737
0.001205365,0.048030627
0.056909406,0.25565704
0,0.147510118
0,0.017201896
0.006838058,0.072839895
0.021171406,0.396914998
0.008426654,0.150144037
8.92562935,15.0689157
0.049155862,2.167418909
0,0.003024548
0.084100346,0.753817684
0.000983169,0.061694605
0.051094385,0.612206347
0.032001956,0.776113128
1.650715841,3.846029581
0,0.038384711
0.017466733,0.185045257
0.052597561,0.173510765
0.003734269,0.11883252
0.206998012,0.523781472
0.005057452,0.069181608
0,0.123979732
0,0.079863168
0,0.052875894
2.1221128,6.329362453
0,0.232086319
0.004284032,0.050155984
0,0
1.272496081,5.088083545
0,0
0,0
0.534749608,3.067743927
0.188297573,1.265729407
0.020292595,0.399015944
