,0
sez_id,float64
sal_op2000,float64
sal_op2001,float64
sal_op2002,float64
sal_op2003,float64
sal_op2004,float64
sal_op2005,float64
sal_op2006,float64
sal_op2007,float64
sal_op2008,float64
sal_op2009,float64
sal_op2010,float64
sal_op2011,float64
sal_op2012,float64
sal_op2013,float64
sal_op2014,float64
sal_op2015,float64
sal_op2016,float64
sal_tec2000,float64
sal_tec2001,float64
sal_tec2002,float64
sal_tec2003,float64
sal_tec2004,float64
sal_tec2005,float64
sal_tec2006,float64
sal_tec2007,float64
sal_tec2008,float64
sal_tec2019,float64
sal_tec2010,float64
sal_tec2011,float64
sal_tec2012,float64
sal_tec2013,float64
sal_tec2014,float64
sal_tec2015,float64
sal_tec2016,float64
id,int64
