code,Park,ob_m_01,tec_m_01,adm_m_01,total_m_01,ob_f_01,tec_f_01,adm_f_01,total_f_01,total_mf_01
DOM-AZU,Azua,2,0,2,4,0,4,2,6,10
DOM-BAN,Baní,1038,98,101,1237,2723,82,28,2833,4070
DOM-BAR,Barahona,787,164,26,977,1031,59,25,1115,2092
DOM-BAY,Bayaguana,15,2,6,24,90,0,1,91,115
DOM-EXC,Excel Boca Chica,33,12,6,51,140,16,6,162,213
DOM-BON,Bonao,1137,75,20,1232,1539,23,24,1586,2818
DOM-CIP,Caribbean Ind. Park,2085,342,150,2577,1603,137,120,1860,4437
DOM-CHE,Chemtec,1304,90,34,1428,703,30,40,773,2201
DOM-CIB,Cibernético,0,0,0,0,0,0,1,1,1
DOM-COT,Cotuí,154,22,5,181,176,6,6,188,369
DOM-SEI,El Seibo,7,9,4,20,237,0,8,245,255
DOM-ESP,Esperanza,3672,121,309,4102,2357,67,171,2595,6697
DOM-GLO,Global,97,11,14,122,341,4,6,351,473
DOM-GUR,Gurabo,1116,178,127,1421,923,87,66,1076,2497
DOM-HAI,Hainamosa,484,163,58,705,816,177,67,1060,1765
DOM-HAT,Hato Mayor,228,12,6,246,454,1,3,458,704
DOM-HAN,Hato Nuevo,137,16,5,158,137,16,5,158,316
DOM-HIG,Higuey,136,75,16,227,924,101,9,1034,1261
DOM-CRI,Itabo,3194,481,430,4105,5745,228,313,6286,10391
DOM-JAI,Jaibón,20,5,1,26,18,2,3,23,49
DOM-ARM,La Armería,571,53,21,645,1285,38,13,1336,1981
DOM-VEG,La Vega,4970,451,243,5664,4217,248,195,4660,10324
DOM-LAG,Laguna Prieta,51,1,2,54,47,1,4,52,106
DOM-LAS,Las Américas,2651,371,335,3357,5035,364,280,5679,9036
DOM-SLI,SANTIAGO LICEY,536,85,17,638,429,25,21,475,1113
DOM-ALC,Los Alcarrizos,1108,110,77,1295,1361,39,74,1474,2769
DOM-MIN,Los Minas,90,6,5,101,0,0,4,4,105
DOM-LUN,Luna,52,3,5,60,60,7,5,72,132
DOM-MOC,Moca,2394,241,44,2679,2495,117,52,2664,5343
DOM-MOI,Montecriti,5,3,1,9,9,0,1,10,19
DOM-NAV,Navarrete,752,12,5,742,389,5,2,396,1138
DOM-NIG,Nigua,482,53,217,752,1043,17,126,1186,1938
DOM-PAB,Palmar Abajo**,10,0,1,11,0,0,0,0,11
DOM-PAM,Palmarejo,312,59,18,389,303,23,10,336,725
DOM-PED,Pedernales,7,0,1,8,59,0,2,61,69
DOM-PIS,PISANO,1374,250,127,1751,692,51,82,825,2576
DOM-PON,Pontezuela,65,7,5,77,49,4,0,53,130
DOM-PUE,Puerto Plata,1190,175,47,1412,1818,163,58,2039,3451
DOM-QUI,Quisqueya,13,20,2,35,3,1,1,5,40
DOM-ROM,Romana I,3993,718,197,4908,6587,431,171,7189,12097
DOM-RII,Romana II,532,263,41,836,2041,198,30,2269,3105
DOM-SAL,Salcedo,154,14,4,172,124,0,2,126,298
DOM-FRA,San Fco. De Macorís,357,35,13,405,395,22,20,436,841
DOM-ISI,San Isidro,1530,715,241,2486,3615,893,289,4797,7283
DOM-MAC,San Pedro de Macorís,4671,1089,308,6068,9122,729,294,10145,16213
DOM-S12,Santiago,15975,2471,720,19166,17786,1625,610,20021,39187
DOM-JAN,Santiago-Jánico,330,35,43,408,156,1,18,175,583
DOM-TAM,Tamboril,87,16,7,110,69,8,2,79,189
DOM-ALT,Villa Altagracia,735,32,11,778,1823,18,11,1852,2630
DOM-MEL,Villa Mella,243,177,36,456,2552,256,35,2843,3299
DOM-ZOF,Zofinma (Mao),323,22,1,346,151,6,2,159,505
