code,park,ob_m_15,tec_m_15,adm_m_15,total_m_15,ob_f_15,tec_f_15,adm_f_15,total_f_15,total_mf_15
DOM-AND,Andrés,46,11,12,69,2,0,7,9,
DOM-BAN,Baní,131,40,33,204,255,23,26,304,
DOM-BAR,Barahona,559,52,42,653,734,70,31,835,
DOM-VIS,Bella Vista,659,113,72,844,123,10,84,217,
DOM-BON,Bonao,85,20,5,110,180,3,13,196,
DOM-CIP,Caribbean Industrial Park,1660,937,393,2990,1715,381,377,2473,
DOM-CHE,Chemtec,207,37,23,267,302,4,23,329,
DOM-CIB,Cibernético,20,453,27,500,13,209,52,274,
DOM-CON,Conacado Industrial Park,61,22,67,150,3,8,50,61,
DOM-DOS,Dos Ríos,1482,449,74,2005,248,45,60,353,
DOM-LIM,El Limonal,63,15,17,95,155,5,26,186,
DOM-SEI,El Seibo,17,3,1,21,114,1,4,119,
DOM-ESP,Esperanza,1770,192,140,2102,993,88,54,1135,
DOM-EXC,Excel Boca Chica,53,15,9,77,2,0,17,19,
DOM-GLO,Global Zona Franca Industrial,10,0,1,11,0,0,4,4,
DOM-GUR,Gurabo,1812,168,174,2154,1225,73,138,1436,
DOM-HAI,Hainamosa,177,44,13,234,164,21,23,208,
DOM-HAT,Hato Mayor,51,10,2,63,119,11,7,137,
DOM-HAN,Hato Nuevo,72,20,31,123,49,5,31,85,
DOM-TAL,Intercontinental,0,1,1,2,0,0,0,0,
DOM-INT,Interexport Free Zone,135,42,35,212,0,0,13,13,
DOM-ARM,La Armería,197,30,28,255,310,8,25,343,
DOM-HIP,La Herradura Industrial Park,15,3,2,20,1,2,0,3,
DOM-HIS,La Hispaniola,51,2,2,55,3,0,2,5,
DOM-PAL,La Palma,401,31,10,442,471,1,13,485,
DOM-ROM,La Romana I,1427,188,237,1852,3066,87,146,3299,
DOM-RII,La Romana II,485,294,105,884,1504,200,95,1799,
DOM-VEG,La Vega,2901,453,77,3431,3053,125,70,3248,
DOM-LAS,Las Américas,2647,839,487,3973,7918,611,517,9046,
DOM-ALC,Los Alcarrizos,429,71,48,548,409,20,40,469,
DOM-RIE,Los Rieles,355,37,10,402,563,18,8,589,
DOM-ROB,Los Robles,43,24,5,72,0,22,7,29,
DOM-MOC,Moca,417,57,30,504,654,19,37,710,
DOM-MUL,Multimodal Caucedo,39,27,5,71,0,0,2,2,
DOM-MUT,Multiparques,298,76,45,419,42,13,54,109,
DOM-NAV,Navarrete,596,51,29,676,523,46,33,602,
DOM-NIG,Nigua,525,271,103,899,810,80,60,950,
DOM-PAB,Palmar Abajo*,1,0,0,1,0,0,0,0,
DOM-PAM,Palmarejo,293,99,30,422,498,47,25,570,
DOM-KGC,Parque Ind. KG Compañía Comercial,64,5,1,70,364,0,4,368,
DOM-CDF,Parque Industrial CDF,95,5,1,101,416,3,10,429,
DOM-CTQ,Parque Industrial CTQ,241,14,7,262,295,0,6,301,
DOM-YAQ,Parque Industrial y de Servicios Yaque,169,22,48,239,2,1,30,33,
DOM-SLI,Parque Tecnológico de Santiago,165,4,14,183,66,1,10,77,
DOM-HER,Parque Z.F. Tecnologica de Herrera,0,240,17,257,0,227,12,239,
DOM-PED,Pedernales,244,7,13,264,248,0,7,255,
DOM-PER,PERLAV,102,55,31,188,147,66,40,253,
DOM-PIS,PISANO,3141,567,243,3951,1906,106,176,2188,
DOM-PUE,Puerto Plata,406,83,24,513,484,22,46,552,
DOM-QUI,Quisqueya,95,27,5,127,137,0,6,143,
DOM-CRI,San Cristóbal (Itabo),4179,1135,838,6152,6248,584,736,7568,
DOM-FRA,San Francisco de Macorís,27,21,3,51,67,6,3,76,
DOM-ISI,San Isidro,2015,2093,410,4518,5416,1170,376,6962,
DOM-MAC,San Pedro de Macorís,3200,1035,416,4651,6346,340,327,7013,
DOM-S12,Santiago,7051,1333,547,8931,8331,409,544,9284,
DOM-JAN,Santiago-Jánico,282,81,25,388,20,15,14,49,
DOM-TAM,Tamboril,1932,413,113,2458,2387,217,104,2708,
DOM-ALT,Villa Altagracia,119,14,5,138,82,6,10,98,
DOM-MEL,Villa Mella,98,22,10,130,121,10,11,142,
DOM-INF,Z.F. Ind. y de Servicios Norte Infiesto,5,0,2,7,1,0,1,2,
DOM-JOB,Zona Franca Bahía de Maimón,4,1,3,8,0,0,0,0,
DOM-SUR,Zona Franca Industrial Del Sur,31,0,2,33,0,0,0,0,
DOM-EMI,Zona Franca Industrial Emimar,413,54,24,491,908,19,36,963,
DOM-SAG,Zona Franca Industrial SAG,83,8,3,94,71,2,8,81,
DOM-JOB,Zona Franca Jobo Industrial,26,3,4,33,17,0,5,22,
DOM-ZFE,Zonas Francas Especiales,7274,6490,1996,15760,4558,4227,1661,10446,
