,code,name,latitude,longitude,start,close,type,variable,value,category,year,category_full
0,DOM-6NO,Zona Franca 6 de Noviembre ,18.43423576,-70.07709655,2016.0,0.0,private,inv_2000,0.0,inv,2000,Inversion Acumulada
1,DOM-ALC,Los Alcarrizos ,18.52119218,-70.05086541,1990.0,0.0,public,inv_2000,19853638.95,inv,2000,Inversion Acumulada
2,DOM-ALT,Villa Altagracia ,18.68704785,-70.18063175,1988.0,0.0,private,inv_2000,33900000.0,inv,2000,Inversion Acumulada
3,DOM-AND,Andres,18.44233642,-69.64978048,2009.0,0.0,private,inv_2000,0.0,inv,2000,Inversion Acumulada
4,DOM-ARM,La Armeria ,18.42129421,-70.11766012,1990.0,0.0,public,inv_2000,8620740.19,inv,2000,Inversion Acumulada
5,DOM-AZU,Azua,0.0,0.0,2001.0,2004.0,public,inv_2000,0.0,inv,2000,Inversion Acumulada
6,DOM-BAN,Bani,18.25315476,-70.40511741,1986.0,0.0,private,inv_2000,15539933.25,inv,2000,Inversion Acumulada
7,DOM-BAR,Barahona ,18.22153648,-71.10145235,1989.0,0.0,public,inv_2000,6064000.0,inv,2000,Inversion Acumulada
8,DOM-BAY,Bayaguana,0.0,0.0,1999.0,2007.0,public,inv_2000,566335.0,inv,2000,Inversion Acumulada
9,DOM-BON,Bonao ,18.92425177,-70.40416473,1988.0,0.0,public,inv_2000,7371588.75,inv,2000,Inversion Acumulada
10,DOM-CAD,Los Candelones ,19.55066181,-70.85609369,2017.0,0.0,private,inv_2000,0.0,inv,2000,Inversion Acumulada
11,DOM-CAN,La canela ,0.0,0.0,2003.0,2005.0,private,inv_2000,0.0,inv,2000,Inversion Acumulada
12,DOM-CDF,Parque Industrial CDF,19.49516261,-70.71634466,2014.0,0.0,private,inv_2000,0.0,inv,2000,Inversion Acumulada
13,DOM-CHE,Chemtec ,18.45851329,-69.28651371,1988.0,0.0,private,inv_2000,13904205.18,inv,2000,Inversion Acumulada
14,DOM-CIB,Cibernetico ,18.45320537,-69.66257273,2001.0,0.0,mix,inv_2000,0.0,inv,2000,Inversion Acumulada
15,DOM-CIP,Caribbean Industrial Park ,19.410116,-70.661171,1997.0,0.0,private,inv_2000,18051016.0,inv,2000,Inversion Acumulada
16,DOM-CON,Conacado Industrial Park ,19.32373849,-70.27604128,2013.0,0.0,private,inv_2000,0.0,inv,2000,Inversion Acumulada
17,DOM-COT,Cotui,19.03592402,-70.15049018,1990.0,2009.0,public,inv_2000,848212.12,inv,2000,Inversion Acumulada
18,DOM-CRI,San Cristobal (Itabo) ,18.38627302,-70.04084591,1986.0,0.0,private,inv_2000,128412185.6,inv,2000,Inversion Acumulada
19,DOM-CTQ,Parque Industrial CTQ ,19.42740185,-70.5940585,2015.0,0.0,private,inv_2000,0.0,inv,2000,Inversion Acumulada
20,DOM-DOS,Dos Rios  ,18.91241012,-70.37486281,2006.0,0.0,private,inv_2000,0.0,inv,2000,Inversion Acumulada
21,DOM-DPE,Don Pedro,0.0,0.0,2004.0,2007.0,private,inv_2000,0.0,inv,2000,Inversion Acumulada
22,DOM-ELV,Parque Industrial Elva Maria,19.45844729,-70.63018049,2017.0,0.0,private,inv_2000,0.0,inv,2000,Inversion Acumulada
23,DOM-EMI,Zona Franca Industrial Emimar ,19.42494677,-70.62298095,2014.0,0.0,private,inv_2000,0.0,inv,2000,Inversion Acumulada
24,DOM-ESP,Esperanza ,19.59381238,-70.97901224,1988.0,0.0,public,inv_2000,25175096.0,inv,2000,Inversion Acumulada
25,DOM-EXC,Excel Boca Chica ,18.45806505,-69.63004786,1995.0,0.0,private,inv_2000,1505224.0,inv,2000,Inversion Acumulada
26,DOM-FLO,La Flor Dominicana ,19.48619912,-70.62006966,2019.0,0.0,private,inv_2000,0.0,inv,2000,Inversion Acumulada
27,DOM-FRA,San Francisco de Macoris ,19.27537126,-70.28770858,1990.0,0.0,public,inv_2000,5331860.0,inv,2000,Inversion Acumulada
