id,shapeName,medical_checks_2009,medical_checks_2010,medical_checks_2011,medical_checks_2012,medical_checks_2013,medical_checks_2014,medical_checks_2015,medical_checks_2016,medical_checks_2017,medical_checks_2018,medical_checks_2019,medical_checks_2020,medical_checks_2021
0,Santiago,"699,669","786,189","751,405","740,849","844,993","900,346","855,450","872,801","841,216","942,305","961,871","463,595","757,138"
1,Duarte,"110,856","143,595","157,960","163,353","123,577","215,683","245,192","256,607","233,800","219,770","198,051","92,270","126,892"
2,Elías Piña,"37,685","42,032","37,048","36,471","40,116","57,428","64,154","57,720","79,814","66,646","64,329","32,334","48,249"
3,Hato Mayor,"60,928","69,398","68,848","59,679","57,196","67,470","73,600","65,949","68,589","69,089","70,294","39,670","54,855"
4,La Vega,"124,898","189,339","244,670","314,135","318,478","349,913","409,669","412,510","398,154","413,027","391,597","149,657","234,633"
5,Sanchez Ramírez,"120,741","106,917","112,196","138,162","143,790","154,944","168,772","161,540","152,879","151,944","182,166","83,356","134,605"
6,Samaná,"67,834","70,170","78,225","79,371","84,197","87,982","99,770","91,382","99,509","105,047","84,530","32,679","51,415"
7,Valverde,"94,657","94,619","77,299","79,455","79,301","83,199","72,432","82,506","77,737","84,585","99,249","31,538","52,906"
8,Barahona,"75,151","63,089","40,863","95,254","85,587","87,235","99,946","113,268","102,915","91,158","86,582","43,728","69,696"
9,La Romana,"60,014","65,915","75,498","82,983","65,046","76,798","110,153","109,340","121,759","111,221","98,798","64,139","94,885"
10,Monseñor Nouel,"100,708","89,549","126,073","117,482","104,673","110,051","126,610","134,871","113,492","129,493","139,212","66,209","113,480"
11,Monte Cristi,"89,150","85,816","76,193","67,387","68,870","94,408","78,671","66,103","57,212","63,474","76,293","32,013","47,579"
12,Pedernales,"6,640","1,074","7,931","6,765","14,351","16,978","14,853","16,751","14,285","16,974","9,635","9,239","11,932"
13,Peravia,"108,189","102,434","104,736","108,486","107,784","116,222","110,237","124,004","139,090","143,203","117,303","55,786","85,992"
14,Puerto Plata,"259,607","256,735","237,076","277,370","185,703","261,756","257,247","239,663","216,425","262,385","269,349","142,318","184,655"
15,San José de Ocoa,"24,031","25,979","23,063","28,187","29,445","34,123","34,639","32,695","35,043","37,360","32,874","15,068","25,191"
16,San Juan,"96,304","132,532","164,172","170,609","180,865","177,991","185,571","169,858","154,979","162,658","161,204","80,289","114,861"
17,Santiago Rodríguez,"59,371","54,232","51,345","44,975","41,929","37,964","34,206","34,439","33,889","30,106","30,665","12,813","26,142"
18,Distrito Nacional,"1,059,773","1,044,692","1,027,816","814,098","1,259,926","1,550,459","1,709,411","1,538,809","1,696,081","1,290,915","1,336,201","557,400","853,404"
19,El Seibo,"60,532","35,509","76,099","65,326","66,889","61,786","50,158","59,525","53,809","99,393","120,003","77,822","91,372"
20,Espaillat,"153,357","225,870","204,230","197,654","187,611","188,422","182,282","176,902","163,042","163,509","183,157","91,441","140,352"
21,Hermanas Mirabal,"88,196","94,015","115,664","118,045","127,622","117,565","122,503","128,284","110,251","79,706","82,169","37,098","43,050"
22,Independencia,"20,190","24,323","16,597","22,335","23,522","24,672","24,231","21,496","22,989","25,484","29,586","13,554","15,510"
23,Baoruco,"19,278","27,759","27,060","24,509","21,057","20,985","18,706","16,861","17,419","19,296","30,467","14,194","34,665"
24,Azua,"109,958","140,076","142,623","137,059","138,050","119,847","123,520","91,275","95,424","91,694","106,827","46,616","76,368"
25,Dajabón,"42,498","37,188","30,209","44,080","40,580","43,605","53,129","47,856","39,854","42,600","50,176","22,302","26,289"
26,La Altagracia,"18,529","76,482","81,233","79,619","72,291","83,524","80,312","86,513","71,916","109,510","119,131","77,111","125,365"
27,María Trinidad Sánchez,"75,340","92,083","104,680","105,674","65,894","106,407","118,441","121,379","110,093","87,935","99,169","48,894","67,372"
28,Santo Domingo,"1,161,555","1,188,752","1,199,873","1,074,895","835,100","1,393,037","1,347,213","1,543,957","1,344,905","1,502,154","1,394,158","546,473","911,685"
29,Monte Plata,"171,129","72,290","65,017","134,583","132,016","124,957","151,146","141,196","161,247","181,658","125,508","69,789","92,476"
30,San Cristóbal,"224,960","256,709","260,769","302,491","325,734","343,822","410,747","404,739","425,203","405,837","420,928","224,229","361,575"
31,San Pedro de Macorís,"172,371","171,560","171,042","142,590","153,965","153,199","212,076","210,769","162,007","204,680","217,077","97,658","175,346"
