id,year,shapeName,year,inv,ob_f_,tec_f_,adm_f_,ob_m_,tec_m_,adm_m_,ent,ele,com,inf,wat,tss,buiilt,ocu,sal_op,sal_tec,pop,temp,agr,urb,ntl,egdp,medical_checks_,emergencies_,deaths_,births_,suicides_,homicides_,car_theft_,drop_m,scho_count,class,stu
0.0,2009,SantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiago,54172.0,567462913.8399999,10652.0,1121.0,686.0,11179.0,2255.0,899.0,147.0,303905097.76,62689775.58,24631930.73,32603990.14,613645155.1700001,7607205.55,5813821.1899999995,754.0877777777778,0.0,1021744.32,299.6076113,88.11957547197156,4561.550270557404,0.486592100156036,11579.788051170312,699669,419088,484,"17,558",75,223,0,0.0,958,11522,267164
1.0,2009,DuarteDuarte,4003.0,999000.0,43.0,5.0,1.0,18.0,17.0,1.0,1.0,724743.81,100809.59,52802.0,26718.0,1211011.08,164584.0,16584.0,623.5,0.0,318526.08,300.8420279,17.749407958984374,728.4094014167786,0.1663358250075834,2387.7492535814936,110856,46959,91,"5,066",15,75,0,0.0,422,4143,77939
2.0,2009,ElÃ­as PiÃ±a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74742.01996,301.6093401,17.761426091194153,3.718613386154175,0.0036239559274229,397.6924449326945,37685,57392,17,823,5,16,0,0.0,142,991,20937
3.0,2009,Hato Mayor,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5091840.89,0.0,0.0,0.0,0.0,98527.87004,300.3884697,26.608176539925967,59.18266700856826,0.0385236557935432,1153.0840783864255,60928,56434,8,995,5,8,0,0.0,128,1168,25872
4.0,2009,La Vega,1987.0,31272807.25,1588.0,61.0,51.0,1616.0,239.0,62.0,19.0,22856282.57,2792625.3,1099318.98,413403.0,15508283.6,1208176.0,1048074.0,1329.78,0.0,437785.1,298.173386,12.17911964818543,389.117139339447,0.0848152372722284,4434.614496397094,124898,131960,119,"6,029",36,81,0,0.0,432,4568,108695
5.0,2009,SÃ¡nchez RamÃ­rez,1990.0,350200.0,116.0,8.0,3.0,85.0,18.0,2.0,1.0,872600.0,143447.0,95049.0,0.0,1585289.23,82965.0,71272.0,0.0,0.0,169793.07,301.024752,1.1738885641098022,77.01446723937988,0.0216362412508762,1196.937843444301,120741,52685,28,"2,480",11,21,0,0.0,271,2515,42734
6.0,2009,SamanÃ¡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99109.83021,298.9626915,12.991275310516356,6.110637615241256,0.0236014458061751,439.5807195434967,67834,38977,23,"1,840",4,12,0,0.0,146,1469,34131
7.0,2009,ValverdeValverde,3981.0,25574506.0,1177.0,66.0,83.0,1780.0,217.0,118.0,8.0,24216673.43,1518836.68,2354881.0,1527619.28,56081496.45,545494.34,367372.34,934.515,0.0,177695.9399,302.8748977,30.99419617652893,199.71329617500305,0.0802105365447003,1328.569750292483,94657,74846,64,"2,542",14,40,0,0.0,177,2021,42416
8.0,2009,BarahonaBarahona,3999.0,5000000.0,42.0,1.0,7.0,210.0,20.0,20.0,1.0,23000000.0,600000.0,68000.0,172000.0,0.0,276405.0,223116.0,623.5,0.0,192826.3603,301.3013282,41.63419770165986,202.9542767384473,0.0382802097211508,1433.2774727504045,75151,139209,75,"4,376",9,42,0,0.0,224,2485,60370
9.0,2009,La RomanaLa Romana,3956.0,153012294.03,3458.0,223.0,125.0,1282.0,401.0,181.0,10.0,48196839.56,8170127.789999999,4572607.18,1949562.0,73805773.86,1269721.0,984719.0,1421.11,0.0,245034.2598,303.3432507,117.41550458786534,652.637322192566,0.3599522989347496,3243.7594273987347,60014,65187,28,"4,799",18,64,0,0.0,271,3213,74565
