park0, area00, buiilt00, ocu00, availa00
Baní,10760000,419156,402666,16490
Barahona,2621625,235592,235592,0
Bayaguana,1346587,32375,16178,16197
Bonao,2582400,390593,331615,58978
Caribbean Ind. Park,3000000,825766,825766,0
Cotuí,222796,65142,65142,0
Chemtec,900000,456206,456206,0
El Seibo,1203154,48561,16187,32374
Esperanza,4354346,679713,679713,0
Excel Boca Chica,70000,35000,24760,10240
Global,731180,199067,199067,0
Gurabo,1024990,240000,136000,104000
Haina,308400,76000,76000,0
Hainamosa,2152000,414600,384301,30299
Hato Mayor,506272,82000,66097,15903
Higuey,637788,140603,78651,61952
Itabo,6534000,1200000,1159418,40582
Jaibón,365463,75320,37660,37660
La Armería,1416919,254469,229066,25403
La Romana I,2690000,1063858,1063858,0
La Romana II,8070000,377131,377131,0
La Vega,1469998,1283873,1283873,0
Laguna Prieta,183232,16000,16000,0
Las Américas,8070000,1200000,1200000,0
Los Alcarrizos,804337,482462,482462,0
Los Minas,695237,37867,22637,15230
Moca,920583,493156,493156,0
Navarrete,810120,300000,186591,113409
Nigua,1946473,514668,413363,101305
Palmar Abajo,304078,121886,121886,0
Palmarejo,419135,134278,134278,0
Pedernales,145572,30401.06,30401,0
Pisano,2929124,673135,600006,73129
Pontezuela,84700,21000,21000,0
Puerto Plata,2762520,418591,381467,37124
Salcedo,1363054,48563,48563,0
San Fco. De Macorís,1427817,152007,107925,44082
San Isidro,5500000,900000,810944,89056
San Pedro de Macorís,3228000,2439826,2407036,32790
"Santiago I, II",7447970,3595618,3437048,158570
Santiago Jánico,298332,140000,108307,31693
Santiago Licey,1129800,155000,147250,7750
Tamboril,137725,80000,20000,60000
Villa Altagracia,2619862,202317.26,191273.93,11043.33
Villa Mella,5925922,400209,400209,0
Zofinma (Mao),4304000,38000,38000,0
