park07, area07, buiilt07, ocu07, availa07
1, Baní, 10760000.00, 380148.00, 187639.00, 192509.00
2, Barahona, 2639955.00, 276405.00, 226157.00, 50248.00
3, Bayaguana, 1949195.00, 32356.00, 16178.00, 16178.00
4, Bella Vista, 24482003.22, 486352.00, 486352.00, 0.00
5, Bonao, 2582400.00, 500155.00, 365030.00, 135125.00
6, Caribbean Ind. Park, 3782500.00, 985000.00, 931445.37, 53554.63
7, Chemtec, 1257730.00, 493802.00, 478702.00, 15100.00
8, Cibernético, 3500000.00, 100000.00, 70210.00, 29790.00
9, Cotuí, 857916.00, 82965.00, 49779.00, 33186.00
10, Don Pedro, 290386.70, 26000.00, 26000.00, 0.00
11, Dos Rios, 12266400.00, 629460.00, 629460.00, 0.00
12, El Seibo, 1581728.00, 48563.00, 32375.00, 16188.00
13, El Limonal, 236622.50, 40219.00, 40219.00, 0.00
14, Esperanza, 1500000.00, 528342.42, 415988.28, 112354.14
15, Excel Boca Chica, 161400.00, 35000.00, 35000.00, 0.00
16, Gurabo, 1179211.64, 487020.00, 451820.00, 35200.00
17, Hainamosa, 2200000.00, 481763.45, 194717.00, 287046.45
18, Hato Mayor, 505739.00, 55019.00, 55019.00, 0.00
19, Hato Nuevo, 393998.00, 149419.00, 149419.00, 0.00
20, Itabo, 4896569.60, 1713262.00, 1682262.00, 31000.00
21, Jaibón, 365463.00, 75320.00, 47000.00, 28320.00
22, La Armería, 1416919.00, 337529.00, 337529.00, 0.00
23, La Hispaniola, 217000.00, 117247.00, 72635.00, 44612.00
24, La Palma, 1306297.62, 70000.00, 46393.00, 23607.00
25, La Romana I, 12248097.78, 1128599.49, 459214.00, 669385.49
26, La Romana II, 8070000.00, 478853.00, 328813.00, 150040.00
27, La Vega, 3848081.00, 1208176.00, 1093112.00, 115064.00
28, Laguna Prieta, 183232.00, 16000.00, 16000.00, 0.00
29, Las Américas, 12605238.00, 1509756.37, 1509756.37, 0.00
30, Los Alcarrizos, 2314545.00, 563307.00, 547120.00, 16187.00
31, LosMina, 270753.00, 49106.00, 13648.00, 35458.00
32, Moca, 1838706.00, 512167.00, 512167.00, 0.00
33, Multimodal Caucedo, 8661552.52, 96302.00, 96302.00, 0.00
34, Multiparques, S.A., 550893.82, 392882.00, 392882.00, 0.00
35, Navarrete, 837386.00, 200000.00, 30000.00, 170000.00
36, Nigua, 1946473.24, 546041.00, 413041.00, 133000.00
37, Palmar Abajo, 304078.00, 121886.00, 121886.00, 0.00
38, Palmarejo, 419136.00, 386996.20, 354794.20, 32202.00
39, Pedernales, 145572.00, 60000.00, 60000.00, 0.00
40, PISANO, 2775928.00, 1014211.00, 864078.43, 150132.57
41, Puerto Plata, 2762520.00, 444629.00, 153961.00, 290668.00
42, Quisqueya, 1642445.00, 50929.00, 50929.00, 0.00
43, Salcedo, 1319768.00, 48563.00, 48563.00, 0.00
44, San Francisco de M., 1354738.00, 164584.00, 82897.00, 81687.00
45, San Isidro, 5154040.00, 1311572.06, 1193031.14, 118540.92
46, San Pedro de M., 11742115.00, 2431726.00, 2204466.00, 227260.00
47, Santiago, 7453349.00, 3705997.00, 2672118.00, 1033879.00
48, Santiago-Jánico, 1452600.00, 200000.00, 200000.00, 0.00
49, Santiago-Licey, 1129800.00, 177750.00, 79500.00, 98250.00
50, Tamboril, 910000.00, 216000.00, 88410.00, 127590.00
51, Villa Altagracia, 3970000.00, 225375.63, 212846.00, 12529.63
52, Villa Mella, 6104882.64, 362817.28, 307153.19, 55664.09
53, Zona Franca Ind. Luna, 541571.00, 80000.00, 32292.00, 47708.00
Zonas Francas Especiales, 3442813.92, 3442813.92, 0.00
