Park10, buiilt10, ocu10, availa10
Andres, 270488.00, 64560.00, 205928.00
2, Baní, 430138.00, 200133.00, 230005.00
3, Barahona, 276405.00, 223116.00, 53289.00
4, Bella Vista, 388922.96, 388922.96, 0.00
5, Bonao, 500155.00, 363553.00, 136602.00
6, Caribbean Ind. Park, 1006908.00, 707867.00, 299041.00
7, Chemtec, 493802.00, 451333.00, 42469.00
8, Cibernético, 100000.00, 80000.00, 20000.00
9, Cotuí, 82965.00, 71272.00, 11693.00
10, Dos Rios, 1716800.00, 1716800.00, 0.00
11, El Seibo, 48563.00, 16188.00, 32375.00
12, El Limonal, 40219.00, 40219.00, 0.00
13, Esperanza, 545494.34, 367372.34, 178122.00
14, Excel Boca Chica, 39000.00, 39000.00, 0.00
15, Gurabo, 500261.00, 213080.00, 287181.00
16, Hainamosa, 507400.04, 360574.43, 146825.61
17, Hato Nuevo, 149419.00, 149419.00, 0.00
18, 1764664.38, 1732420.91, 32243.47
19, interexport, La Armería, 337529.00, 321213.00, 16316.00
20, La Hispaniola, 86968.40, 86968.40, 0.00
21, La Palma, 107245.00, 107245.00, 0.00
22, La Romana I, 787190.00, 714628.00, 72562.00
23, La Romana II, 482531.00, 270091.00, 212440.00
24, La Vega, 1208176.00, 1048074.00, 160102.00
25, Las Américas, 1625617.59, 1552422.89, 73194.70
26, Los Alcarrizos, 563307.00, 563307.00, 0.00
27, Los Mina, 49106.00, 13648.00, 35458.00
28, Moca, 512167.00, 463021.00, 49146.00
29, Multimodal Caucedo, 96302.00, 96302.00, 0.00
30, Multiparques, S.A., 392882.00, 392882.00, 0.00
31, Navarrete, 200000.00, 47670.00, 152330.00
32, Nigua, 546041.00, 193000.00, 353041.00
33, Palmar Abajo, 121886.00, 30472.00, 91414.00
34, Palmarejo, 450038.00, 281168.72, 168869.28
35, Pedernales, 80000.00, 80000.00, 0.00
36, PISANO, 942262.91, 891517.59, 50745.32
37, Puerto Plata, 383353.57, 368633.57, 14720.00
38, Salcedo, 48563.00, 48563.00, 0.00
39, San Francisco de M., 164584.00, 16584.00, 148000.00
40, San Isidro, 1377095.03, 1224533.52, 152561.51
41, San Pedro de M., 2431726.00, 2336329.00, 95397.00
42, Santiago, 3709700.64, 3039789.88, 669910.76
43, Santiago-Jánico, 284071.00, 191764.00, 92307.00
44, Parque Tecnológico de Santiago, 150500.00, 77500.00, 73000.00
45, Tamboril, 216000.00, 216000.00, 0.00
46, Villa Altagracia, 240312.07, 136402.55, 103909.52
47, Villa Mella, 362817.28, 307153.19, 55664.09
Zonas Francas Especiales, 7536689.02, 7536689.02, 0.00
