Park11, buiilt11, ocu11, availa11
1, Andrés, 270488.00, 100250.00, 170238.00
2, Baní, 430138.00, 222738.00, 207400.00
3, Barahona, 276405.00, 239978.00, 36427.00
4, Bella Vista, 421816.00, 421816.00, 0.00
5, Bonao, 350390.00, 82850.00, 267540.00
6, Caribbean Ind. Park, 1006908.00, 764694.00, 242214.00
7, Chemtec, 493802.00, 435158.00, 58644.00
8, Cibernético, 100000.00, 71570.28, 28429.72
9, Dos Rios, 1716800.00, 1716800.00, 0.00
10, El Limonal, 46445.00, 46445.00, 0.00
11, El Seibo, 48563.00, 48563.00, 0.00
12, Esperanza, 545494.34, 299993.51, 245500.83
13, Excel Boca Chica, 39000.00, 39000.00, 0.00
14, Gurabo, 500261.00, 307282.60, 192978.40
15, Hainamosa, 507400.04, 202876.74, 304523.30
16, Hato Mayor, 55019.00, 55019.00, 0.00
17, Hato Nuevo, 149919.00, 149919.00, 0.00
18, Interexport Free Zone, 73382.00, 73382.00, 0.00
19, Jaibón, 42000.00, 42000.00, 0.00
20, La Armería, 337529.00, 318441.00, 19088.00
21, La Hispaniola, 86968.40, 86968.40, 0.00
22, La Palma, 107245.00, 101572.00, 5673.00
23, La Romana I, 787190.00, 643236.00, 143954.00
24, La Romana II, 482531.00, 246680.00, 235851.00
25, La Vega, 1173226.00, 1142783.00, 30443.00
26, Las Américas, 1625617.59, 1307209.33, 318408.26
27, Los Alcarrizos, 583516.00, 583516.00, 0.00
28, Moca, 512167.00, 512167.00, 0.00
29, Multimodal Caucedo, 96302.00, 96302.00, 0.00
30, Multiparques, S.A., 392882.00, 392882.00, 0.00
31, Navarrete, 200000.00, 108203.43, 91796.57
32, Nigua, 546041.00, 212590.00, 333451.00
33, Palmar Abajo, 121886.00, 30472.00, 91414.00
34, Palmarejo, 450038.00, 367614.00, 82424.00
35, Parque Tecnológico de Santiago, 150500.00, 127500.00, 23000.00
36, Parque Ind. y de Servicios Yaque, 200738.56, 200738.56, 0.00
37, Pedernales, 100457.00, 100457.00, 0.00
38, PERLAV, 232534.36, 232534.36, 0.00
39, PISANO, 942262.91, 931538.02, 10724.89
40, Pontezuela al Medio, 22955.00, 22955.00, 0.00
41, Puerto Plata, 412793.17, 289169.57, 123623.60
42, Salcedo, 48561.00, 48561.00, 0.00
43, San Cristóbal (Itabo), 1834324.09, 1834324.09, 0.00
44, San Francisco de Macorís, 164584.00, 81654.00, 82930.00
45, San Isidro, 1444060.68, 1230581.95, 213478.73
46, San Pedro de Macorís, 2431726.00, 2355714.00, 76012.00
47, Santiago, 3709700.64, 3052291.59, 657409.05
48, Santiago-Jánico, 284071.00, 191764.00, 92307.00
49, Tamboril, 388000.00, 388000.00, 0.00
50, Villa Altagracia, 240312.07, 106936.56, 133375.51
51, Villa Mella, 362817.28, 195348.20, 167469.08
-- Zonas Francas Especiales, 7206036.52, 7206036.52, 0.00
