Park15, buiilt15, ocu15, availa15
Andrés,64500.00,64500.00,0.00
Baní,430138.00,235911.00,194227.00
Barahona,275197.87,275197.87,0.00
Bella Vista,421834.00,421834.00,0.00
Bonao,400634.95,179274.59,221360.36
Caribbean Industrial Park,1225518.94,1225518.94,0.00
Chemtec,1400000.00,1332000.00,68000.00
Cibernético,200000.00,165000.00,35000.00
Conacado Industrial Park,38736.00,38736.00,0.00
Dos Ríos,1716800.00,1716800.00,0.00
El Limonal,75000.00,75000.00,0.00
El Seibo,48711.04,48711.04,0.00
Esperanza,548530.94,548530.94,0.00
Excel Boca Chica,39000.00,39000.00,0.00
Global,204440.00,192920.00,11520.00
Gurabo,500261.00,500261.00,0.00
Hainamosa,507400.04,294803.17,212596.87
Hato Mayor,88375.65,79397.60,8978.05
Hato Nuevo,168360.39,168360.39,0.00
Intercontinental,51432.00,43040.00,8392.00
Interexport Free Zone,73382.00,73382.00,0.00
La Armería,310078.93,279648.41,30430.52
La Herradura Industrial Park,120000.00,120000.00,0.00
La Hispaniola,86968.40,86968.40,0.00
La Palma,107245.00,102443.00,4802.00
La Romana I,694804.00,638819.78,55984.22
La Romana II,439431.00,439431.00,0.00
La Vega,1122197.00,1122197.00,0.00
Las Américas,1638117.54,1638117.54,0.00
Los Alcarrizos,619079.63,428063.29,191016.34
Los Rieles,72630.00,72630.00,0.00
Los Robles,35239.00,35239.00,0.00
Moca,476986.97,437107.20,39879.77
Multimodal Caucedo,96302.00,96302.00,0.00
Multiparques, S.A.,392882.00,392882.00,0.00
Navarrete,328056.65,219040.63,109016.02
Nigua,339012.00,242012.00,97000.00
Palmar Abajo,62335.96,62335.96,0.00
Palmarejo,367614.00,367614.00,0.00
Parque Ind. CDF,167992.13,167992.13,0.00
Parque Ind. CTQ,229241.80,229241.80,0.00
Parque Ind. KG Compañía Comercial,52821.00,52821.00,0.00
Parque Ind. y de Servicios Yaque,200738.56,200738.56,0.00
Parque Tecnológico de Santiago,146500.00,106450.00,40050.00
Parque Z.F. Tecnológica de Herrera,23698.25,23698.25,0.00
Pedernales,100457.00,100457.00,0.00
PERLAV,232534.36,232534.36,0.00
PISANO,1000108.85,997908.85,2200.00
Puerto Plata,447903.00,412368.00,35535.00
Quisqueya,53084.00,53084.00,0.00
San Cristóbal (Itabo),1927487.00,1927487.00,0.00
San Francisco de Macorís,168398.35,68730.94,99667.41
San Isidro,1549454.35,1290113.02,259341.33
San Pedro de Macorís,2823599.09,2793741.96,29857.13
Santiago,4362630.59,4177185.13,185445.46
Santiago-Jánico,217606.00,217606.00,0.00
Tamboril,656119.00,656119.00,0.00
Villa Altagracia,240312.07,172672.00,67640.07
Villa Mella,225242.81,225242.81,0.00
Z.F. Industrial y de Servicios Norte Infiesto,92105.60,92105.60,0.00
Zona Franca Bahia de Maimon,55143.92,55143.92,0.00
Zona Franca Industrial Emimar,153225.00,153225.00,0.00
Zona Franca Industrial SAG,66635.70,66635.70,0.00
Zona Franca Industrial del Sur,14648.00,14648.00,0.00
Zona Franca Jobo Industrial,110000.00,110000.00,0.00
