Parques,Salario Promedio Operarios,Salario Promedio Técnicos
Bani,606.8,1496.91
Barahona,800,3166.67
Bayaguana,625,1750
Bonao,579,1075
Caribbean Ind. Park,819.27,1952.05
Cotui,512.33,1141.33
El Seibo,570,850
Esperanza,794.85,1830
Excel Boca Chica,656,1269
Global,783.33,1961.67
Gurabo,698.67,800
Hainamosa,618.27,1282.13
Hato Mayor,587.33,1700
Higuey,720,1668
Itabo,821.19,2123.65
Jaibon,950,2500
La Armeria,898.9,1978.89
La Romana I,729.31,2231.4
La Romana II,713.5,1561.83
La Vega,716.77,1608.1
Laguna Prieta,800,2000
Las Americas,637.65,2002.17
Los Alcarrizos,620.42,1553.24
Los Minas,724.87,1704.99
Mao (Zofinma),765,2000
Moca,692.37,1445.94
Navarrete,816.67,1791.67
Nigua,631.31,1333.38
Nueva Z.F.(Chem Tec),694.67,1654.55
Palmarejo,1066.67,1633.33
Parque Exp.Haina,496,545
Pedernales,600,850
Pisano,787.59,1728.3
Pontezuela,1060,1490
Puerto Plata,616.94,1437.13
Salcedo,513,1200
San Fco. De Macoris,547.18,1575
San Isidro,687.24,1509.77
San Pedro de Macoris,679.22,1497.67
Santiago I II,819.91,1819.77
Santiago- Janico,705,2843.98
Santiago-Licey,862,2207.4
Tamboril,650,N/D
Villa Altagracia,702,1250
Villa Mella,825,2500
