code,Parks,Salario Operarios,Salarios Tecnicos
,Azua,700,850
,Bani,724.96,1579.92
,Barahona,738.21,1266.67
,Bayaguana,592.82,2100
,Bonao,667,2096
,Caribbean Ind. Park,860.15,1761.5
,Chemtec,719.36,1825.71
,Cibernético,N/D,N/D
,Cotuí,601.33,1565.33
,El Seibo,610,1600
,Esperanza,797,1593
,Excel Boca Chica,1159.5,3027
,Global,783.33,4416.67
,Gurabo,866.73,1576.47
,Hainamosa,667.58,1616.89
,Hato Mayor,700,3250
,Hato Nuevo,1000,2500
,Higuey,784.33,2029.33
,Itabo,711.75,1874.84
,Jaibón,880,1800
,La Armería,660.51,1623.56
,La Romana I,692.11,1864.53
,La Romana II,742.44,1969.61
,La Vega,720.88,1740.93
,Laguna Prieta,900,2000
,Las Américas,821.14,1926.11
,Los Alcarrizos,680.92,1493.82
,Los Minas,854,1000
,Montecristi,650,2000
,Moca,744.25,1369.99
,Navarrete,650,1100
,Nigua,761.68,1946.36
,Palmar Abajo,1150,N/D
,Palmarejo,736.33,1932.67
,Pedernales,575,N/D
,Pisano,963.88,1630.19
,Pontezuela,755,1415
,Puerto Plata,617,1280.55
,Salcedo,575,1300
,San Fco. De Macorís,764.92,4260
,San Isidro,721.14,1893.87
,San Pedro de Macorís,730.36,1840.88
,Santiago,885.23,1778.07
,Santiago-Janico,704.87,1600.33
,Santiago-Licey,838.82,1440.83
,Tamboril,700,1800
,Villa Altagracia,743.43,833.68
,Villa Mella,1303,4529.5
,Zofinma (Mao),802,2778
,Quisqueya,780,1100
,Luna,792.3,1242
