Parques,op02,tec02
Azua,700,850
Baní,726.12,1509.52
Barahona,800,1566.67
Bayaguana,575,755
Bonao,657.5,1256
Caribbean Ind. Park,819.88,1902
Chemtec,704.56,1279
Cibernético,800,2936
Cotuí,625,1200
Don Rafael,950,2500
El Seibo,649,1200
Esperanza,777.31,1612.8
Excel Boca Chica,1145.5,1769.5
Global,800,1322
Gurabo,867.81,1570.18
Hainamosa,792.27,1129
Hato Mayor,822,1395
Hato Nuevo,577,1813.5
Higuey,990,2150
Itabo,751.4,1523.07
Jaibón,880,1800
La Armería,621.69,1455.05
La Romana I,714.55,1707.15
La Romana II,686.61,1686.33
La Vega,779.86,1657.9
Laguna Prieta,860,1392
Las Américas,726.3,1872.13
Los Alcarrizos,653.39,1689
Los Mina,860,1500
Montecristi,537.5,875
Moca,820.12,1442.44
Multimodal Caucedo,0,1341
Navarrete,700,1200
Nigua,745.92,1649.75
Palmar Abajo,942.96,0
Palmarejo,986.33,1975.67
Pedernales,575,0
PISANO,952.32,1765
Pontezuela,925,1402
Puerto Plata,806.06,1486.49
Salcedo,402.5,1500
San Fco. De Macorís,733.6,1380
San Isidro,743.91,1815.64
San Pedro de Macorís,738.79,1651.84
Santiago,848.04,1852
Santiago- Jánico,818.75,1836
Santiago-Licey,919.38,1247
Tamboril,725,1600
Villa Altagracia,629.28,804
Villa Mella,742.33,1938
Zofinma (Mao),802,2778
Quisqueya,800,2500
Luna,627,694
