code,park,op03,op04,tec03,tec04
,Azua,809.35,850,0,0
,Baní,825.37,1056.18,1607.14,2148.95
,Barahona,975,1000,2150,2250
,Bayaguana,933,1100,1630,2150
,Bella Vista,0,1350,0,6500
,Bonao,782.19,982,1295.83,1629.17
,Caribbean Ind. Park,1095.76,1388.02,2403.13,3227.31
,Chemtec,852.46,1000.91,2008.33,2336.97
,Cibernético,1233.33,950,2437.5,3000
,Cotuí,875,949,1600,3233.33
,Don Pedro,0,950,0,1300
,Don Rafael,950,1050,2500,0
,El Seibo,844,950,2000,2100
,Esperanza,843.71,1082.56,2035,2148.08
,Excel Boca Chica,1557,1716.67,2134.69,2187
,Global,892.5,1000,1674.5,1900
,Gurabo,1200,1315.67,1838,3205.83
,Hainamosa,887.56,924.73,2383.66,2402.29
,Hato Mayor,750,821.4,2000,2100
,Hato Nuevo,973.85,1073.4,2750,3000
,Higüey,1226,1475,2562,2735
,Itabo,890.92,1160.99,1894.4,2863.27
,Jaibón,1500,1600,2000,2500
,La Armería,770.94,897.3,1912.75,2188.89
,La Canela,682.42,912.75,1179.49,1481.38
,La Palma,0,1300,0,3500
,La Romana I,957.41,1208.98,1733.41,2444.95
,La Romana II,928,995.84,2223.33,2504
,La Vega,846.96,1024.4,1769.4,2185.83
,Laguna Prieta,990,1100,1600,2500
,Las Américas,940.37,1085.49,2466.1,2613.05
,Los Alcarrizos,810.29,954.82,1729.45,2221.94
,Los Mina,1118.75,1312.5,2000,2750
,Montecristi,750,900,2000,2150
,Moca,1110.63,1122.05,1653.92,2280.81
,Multimodal Caucedo,0,1750,2086,4466.67
,Navarrete,900,1000,1600,1700
,Nigua,826.2,1474.65,2148.89,3266.6
,Palmar Abajo,1216.66,800,2426,1700
,Palmarejo,1056.28,1359.37,2244.77,2892.8
,Pedernales,847,900,2500,2600
,PEVISA,0,1000,0,2000
,PISANO,1096.9,1558.12,2603.98,3001.19
,Pontezuela,1052.74,1400,1813.26,2400
,Puerto Plata,878.92,1131.67,1720,2056.9
,Salcedo,683.33,916.67,1116.67,1800
,San Fco. De Macorís,805.8,907.15,1465.6,1840
,San Isidro,1116.47,1307.96,2642.12,3094.52
,San Pedro de Macorís,881.92,1128.62,1768.23,2263.59
,Santiago,1028.91,1167.37,2046.54,2478.12
,Santiago- Jánico,1217.98,1225,1345.01,1486.97
,Santiago-Licey,1184.29,1348.65,2499.3,3569.22
,Tamboril,1288.25,883.75,1703.46,2370
,Villa Altagracia,815.62,957.67,883.42,1966.67
,Villa Mella,1134.67,1200,2747.43,3406.75
,Quisqueya,800,1050,2500,2600
,Zona Franca Ind. Luna,633,1266.14,2000,3031.58
,ZOFINMA (Mao),1050,1319,1900,2500
