code,parks,op_2015,op_2016,tec_2015,tec_2016
DOM-AND,Andrés,3838.76,4000,6936.53,7100
DOM-BAN,Baní,2365.14,2461.5,5295.21,5286.29
DOM-BAR,Barahona,1700,1856.12,2500,2510
DOM-VIS,Bella Vista,2750,2800,4450,4500
DOM-BON,Bonao,2148.67,2251.67,3796.08,3897.67
DOM-CIP,Caribbean Industrial Park,2547.89,2639.78,3927.18,4950.82
DOM-CHE,Chemtec,2541.47,2926.96,5625.37,5899.15
DOM-CIB,Cibernético,2708,2177.57,6328.5,6130
DOM-CON,Conacado Industria Park,2909.56,2909.56,5874.94,5874.94
DOM-DOS,Dos Ríos,3820,3252.51,9000,8127.89
DOM-LIM,El Limonal,2821.85,2381.51,4340.74,4815.08
DOM-SEI,El Seibo,1937.85,1919,2875,3700
DOM-ESP,Esperanza,2351.49,2302.99,5225.38,5021.32
DOM-EXC,Excel Boca Chica,3450,2593.05,5100,5800
DOM-GLO,Global Zona Franca Industrial,2942.24,2942.24,0,0
DOM-GUR,Gurabo,2569.86,2452.83,4579.84,5962.81
DOM-HAI,Hainamosa,2427.38,3100,5675,7300
DOM-HAT,Hato Mayor,1666,1916,5000,5000
DOM-HAN,Hato Nuevo,3171.2,3712.5,4851.33,5866.67
DOM-TAL,Intercontinental,0,2296.75,5736.96,5800
DOM-INT,Interexport Free Zone *,2000,2078,4119,4119
DOM-ARM,La Armería,2354.15,2076.28,4300.9,4187.17
DOM-HIP,La Herradura Industrial Park,3475,2475,3375,3375
DOM-HIS,La Hispaniola,3250,4900,4200,5100
DOM-PAL,La Palma,2489.72,2527.41,3921.56,4129.17
DOM-ROM,La Romana I,2946.08,2735.42,4752.2,4190.25
DOM-RII,La Romana II,2186.1,2250.76,4941.45,3730.95
DOM-VEG,La Vega,2176.73,2221.09,4754.71,4671.84
DOM-LAS,Las Américas,2689.76,2990.45,4865.58,5713
DOM-ALC,Los Alcarrizos,2491.69,2746.32,4420.89,4293
DOM-RIE,Los Rieles,2450,2500,5000,6500
DOM-MOC,Moca,2597.49,2540.5,4287.64,4488.96
DOM-MUL,Multimodal Caucedo,2901.01,3823.5,3925,5514.5
DOM-MUT,Multiparques,4517,4239.06,6515.5,7995.61
DOM-NAV,Navarrete,2733.33,2523.03,4350.75,4500
DOM-NIG,Nigua,2218.46,2251.98,4260.41,4325.49
DOM-PAB,Palmar Abajo,2791.41,2847.77,0,0
DOM-PAM,Palmarejo,2724.33,2692.55,4832.09,4557.43
DOM-SUN,Parque Industrial Zona Franca Sunsea,0,2300,0,5000
DOM-CDF,Parque Industrial CDF,1958.59,2100,6693.3,6700
DOM-CTQ,Parque Industrial CTQ,1850,1875,6193.18,6340
DOM-INE,Parque Industrial INETAB,0,2165.13,0,6757.44
DOM-KGC,Parque Industrial KG Compañía Comercial,2056,2070,4200,4200
DOM-YAQ,Parque Industrial y de Servicios Yaque,2019.23,2479.82,3996.96,5841.01
DOM-SLI,Parque Tecnológico de Santiago,2433.42,3106.92,5641.67,6605
DOM-HER,Parque Z.F. Tecnológica de Herrera,0,0,6873.76,6885.26
DOM-PED,Pedernales,1800,1743.6,3500,3145
DOM-PER,PERLAV,3000,4217.67,4500,6477.5
DOM-PIS,PISANO,2569.48,2750.85,4574.58,5510.53
DOM-PUE,Puerto Plata,2260.84,2371.13,3785,4466.67
DOM-QUI,Quisqueya,2544.37,2544.37,3750,3500
DOM-CRI,San Cristóbal (Itabo),2554.39,2809.06,5270.49,5536.06
DOM-FRA,San Fco. De Macoris,1930.35,1910.43,3316.5,3316.54
DOM-ISI,San Isidro,2388.04,2485.39,5508.69,5284.14
DOM-MAC,San Pedro de Macoris,2329.66,2417.01,4704.03,5012.79
DOM-S12,Santiago,2533.83,2771.93,4730.49,5385.03
DOM-JAN,Santiago- Janico,2190.05,2231.2,6561.18,7325
DOM-TAM,Tamboril,2305.13,2393.55,4749.78,4563.17
DOM-ALT,Villa Altagracia,2906.62,3321.4,5640.68,5610
DOM-MEL,Villa Mella,2477.01,2734.5,3954.29,4235
DOM-INF,Zona Franca Industrial Norte Infiesto,2800,3818,0,4826
DOM-MAI,Zona Franca Bahía de Maimón,2298.06,2748.5,5600,5500
DOM-6NO,Zona Franca Ind. 6 de Noviembre,0,2200,0,2500
DOM-NOR,Zona Franca Industrial del Norte,0,3810.62,0,0
DOM-SUR,Zona Franca Industrial del Sur,2100,2589,0,0
DOM-EMI,Zona Franca Industrial Emimar,2146.94,2266.94,4875,4875
DOM-SAG,Zona Franca Industrial SAG,1850,2100,4745,5150
DOM-JOB,Zona Franca Jobo Industrial,2000,2208.98,3250,3630.6
